races,wins,podiums,poles,front_rows,wet_races,wet_wins,wet_podiums,gained_positions,lost_positions,collisions,points,wins_not_from_pole,starting_position,ahead
13,0,0,0,0,1,0,0,52,0,2,46,0,186,1
15,3,6,2,5,6,2,2,7,2,4,126,2,72,0
16,2,4,5,9,1,0,0,6,12,3,116,1,45,0
15,4,7,3,5,1,0,1,20,13,1,183,2,67,1
16,7,9,3,11,1,1,1,9,5,2,226,4,48,1
15,5,11,2,3,3,1,2,28,2,1,233,4,61,1
16,4,11,1,3,0,0,0,28,7,1,233,3,68,1
16,3,7,0,3,0,0,0,22,21,1,154,3,70,1
16,7,14,2,12,3,0,2,13,0,1,301,5,40,0
15,4,11,2,10,2,0,1,11,3,1,245,3,39,0
15,5,9,0,4,1,0,0,29,4,0,225,5,70,1
14,0,5,0,3,2,0,1,12,0,1,118,0,64,0
16,7,12,13,16,5,2,4,1,30,1,271,1,19,1
4,0,0,0,0,1,0,0,13,12,0,18,0,49,0
8,0,0,0,0,3,0,0,42,0,2,11,0,148,1
14,0,0,0,0,3,0,0,89,0,2,43,0,250,1
14,1,2,0,0,2,0,0,59,6,2,88,1,181,1
15,4,5,3,6,2,0,0,19,5,0,131,3,103,0
14,5,10,3,4,1,0,0,22,10,0,209,4,56,1
15,2,6,0,3,6,0,2,14,25,4,149,2,71,0
1,0,0,0,0,0,0,0,0,0,0,0,0,12,0
16,0,0,0,0,0,0,0,42,0,4,23,0,269,0
1,0,0,0,0,1,0,0,0,0,0,0,0,24,1
2,0,0,0,0,0,0,0,19,0,0,8,0,35,1
1,0,0,0,0,0,0,0,0,0,0,0,0,20,1
2,0,0,0,0,0,0,0,4,0,0,4,0,24,1
4,0,0,0,0,1,0,0,0,0,1,0,0,51,1
5,0,2,0,2,0,0,0,6,0,0,46,0,22,1
8,2,4,2,2,1,0,0,6,3,0,106,1,26,1
7,6,6,5,6,3,3,3,1,12,0,150,1,26,1
9,5,5,7,9,1,1,1,2,10,1,141,2,11,1
5,0,0,1,2,3,0,0,0,0,0,0,0,60,0
2,0,0,0,2,0,0,0,0,0,2,0,0,4,0
1,0,0,0,0,0,0,0,6,0,0,2,0,15,1
1,0,0,0,0,0,0,0,7,0,0,8,0,13,0
14,0,3,0,0,1,0,0,50,12,3,85,0,146,0
3,0,0,0,0,2,0,0,27,0,0,0,0,70,0
1,0,0,0,0,0,0,0,3,0,0,2,0,12,1
4,0,0,0,0,1,0,0,0,0,0,0,0,83,1
3,0,0,0,0,0,0,0,6,0,1,0,0,66,0
21,0,0,0,0,1,0,0,62,18,1,92,0,234,0
17,0,2,0,0,1,0,0,32,36,0,105,0,125,0
1,0,1,0,0,0,0,0,4,0,0,15,0,7,1
15,0,1,0,0,2,0,0,59,2,2,36,0,226,0
5,0,1,0,0,1,0,0,12,0,1,19,0,52,0
