"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"2016"	"2016 Abu Dhabi F1 GP"	"Sauber"	"19"	"16"	""
"2016"	"2016 Brazilian F1 GP"	"Sauber"	"21"	"9"	""
"2016"	"2016 Mexican F1 GP"	"Sauber"	"16"	"15"	""
"2016"	"2016 USA F1 GP"	"Sauber"	"21"	"15"	""
"2016"	"2016 Japanese F1 GP"	"Sauber"	"19"	"19"	""
"2016"	"2016 Malaysian F1 GP"	"Sauber"	"18"	"DNF"	"Technical"
"2016"	"2016 Singapore F1 GP"	"Sauber"	"17"	"13"	""
"2016"	"2016 Italian F1 GP"	"Sauber"	"18"	"DNF"	""
"2016"	"2016 Belgian F1 GP"	"Sauber"	"16"	"17"	""
"2016"	"2016 German F1 GP"	"Sauber"	"21"	"21"	""
"2016"	"2016 Hungarian F1 GP"	"Sauber"	"16"	"17"	""
"2016"	"2016 British F1 GP"	"Sauber"	"21"	"15"	""
"2016"	"2016 Austrian F1 GP"	"Sauber"	"21"	"13"	""
"2016"	"2016 Azerbaijan F1 GP"	"Sauber"	"15"	"12"	""
"2016"	"2016 Canadian F1 GP"	"Sauber"	"19"	"18"	""
"2016"	"2016 Monaco F1 GP"	"Sauber"	"22"	"DNF"	"Collision"
"2016"	"2016 Spanish F1 GP"	"Sauber"	"20"	"14"	""
"2016"	"2016 Russian F1 GP"	"Sauber"	"19"	"16"	""
"2016"	"2016 Chinese F1 GP"	"Sauber"	"16"	"20"	""
"2016"	"2016 Bahrain F1 GP"	"Sauber"	"22"	"14"	""
"2016"	"2016 Australian F1 GP"	"Sauber"	"17"	"15"	""
"2015"	"2015 Abu Dhabi F1 GP"	"Sauber"	"14"	"15"	""
"2015"	"2015 Brazilian F1 GP"	"Sauber"	"14"	"13"	""
"2015"	"2015 Mexican F1 GP"	"Sauber"	"15"	"DNF"	"Rear brakes"
"2015"	"2015 USA F1 GP"	"Sauber"	"9"	"9"	""
"2015"	"2015 Russian F1 GP"	"Sauber"	"12"	"6"	""
"2015"	"2015 Japanese F1 GP"	"Sauber"	"18"	"DNF"	"Mechanical"
"2015"	"2015 Singapore F1 GP"	"Sauber"	"16"	"10"	""
"2015"	"2015 Italian F1 GP"	"Sauber"	"11"	"13"	""
"2015"	"2015 Belgian F1 GP"	"Sauber"	"15"	"11"	""
"2015"	"2015 Hungarian F1 GP"	"Sauber"	"18"	"11"	""
"2015"	"2015 British F1 GP"	"Sauber"	"16"	"DNF"	"Gearbox"
"2015"	"2015 Austrian F1 GP"	"Sauber"	"8"	"11"	""
"2015"	"2015 Canadian F1 GP"	"Sauber"	"14"	"16"	""
"2015"	"2015 Monaco F1 GP"	"Sauber"	"14"	"9"	""
"2015"	"2015 Spanish F1 GP"	"Sauber"	"12"	"12"	""
"2015"	"2015 Chinese F1 GP"	"Sauber"	"9"	"8"	""
"2015"	"2015 Malaysian F1 GP"	"Sauber"	"16"	"12"	""
"2015"	"2015 Australian F1 GP"	"Sauber"	"11"	"5"	""
"2015"	"2015 Bahrain F1 GP"	"Sauber"	"12"	"12"	""
