"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1975"	"Belgium"	"Ford Cosworth"	"22"	"ab"	"Suspension"
"1975"	"Spain"	"Ford Cosworth"	"22"	"nc"	""
"1974"	"Italy"	"BRM"	"24"	"ab"	"Gearbox"
"1974"	"Britain"	"BRM"	"14"	"nc"	""
"1974"	"France"	"BRM"	"22"	"14"	""
"1974"	"Netherlands"	"BRM"	"25"	"ab"	"Gearbox"
"1974"	"Monaco"	"BRM"	"22"	"ab"	"Brakes"
"1974"	"Belgium"	"BRM"	"25"	"16"	""
"1974"	"Spain"	"BRM"	"22"	"ab"	"Engine"
"1974"	"South Africa"	"BRM"	"25"	"15"	""
"1974"	"Brazil"	"BRM"	"23"	"16"	""
"1974"	"Argentina"	"BRM"	"24"	"ab"	"Water leak"
"1972"	"Austria"	"Ford Cosworth"	"25"	"ab"	"Suspension"
