"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1997"	"Luxembourg"	"Sauber"	"19"	"9"	""
"1997"	"Austria"	"Sauber"	"13"	"9"	""
"1997"	"Italy"	"Sauber"	"18"	"12"	""
"1997"	"Belgium"	"Sauber"	"13"	"9"	""
"1997"	"Hungary"	"Sauber"	"15"	"ab"	"Engine"
"1997"	"Canada"	"Sauber"	"18"	"10"	""
"1997"	"Spain"	"Sauber"	"13"	"14"	""
"1995"	"Australia"	"Footwork"	"13"	"3"	""
"1995"	"Japan"	"Footwork"	"14"	"ab"	"Spin"
"1995"	"Pacific"	"Footwork"	"19"	"ab"	"Engine"
"1995"	"France"	"Footwork"	"16"	"14"	""
"1995"	"Canada"	"Footwork"	"13"	"6"	""
"1995"	"Monaco"	"Footwork"	"13"	"9"	""
"1995"	"Spain"	"Footwork"	"14"	"11"	""
"1995"	"San Marino"	"Footwork"	"11"	"13"
"1995"	"Argentina"	"Footwork"	"12"	"ab"	"Electrics"
"1995"	"Brazil"	"Footwork"	"13"	"ab"	"Fuel pressure"
"1994"	"Australia"	"Footwork"	"21"	"ab"	"Oil pump"
"1994"	"Japan"	"Footwork"	"12"	"ab"	"Accident"
"1994"	"Europe"	"Footwork"	"8"	"11"	""
"1994"	"Portugal"	"Footwork"	"16"	"9"	""
"1994"	"Italy"	"Footwork"	"17"	"ab"	"Collision"
"1994"	"Belgium"	"Footwork"	"14"	"6"	""
"1994"	"Hungary"	"Footwork"	"19"	"ab"	"Collision"
"1994"	"Germany"	"Footwork"	"16"	"5"	""
"1994"	"Britain"	"Footwork"	"16"	"ab"	"Fuel line"
"1994"	"France"	"Footwork"	"22"	"ab"	"Collision"
"1994"	"Canada"	"Footwork"	"11"	"ab"	"Gearbox"
"1994"	"Spain"	"Footwork"	"15"	"ab"	"Fuel line"
"1994"	"Monaco"	"Footwork"	"7"	"ab"	"Collision"
"1994"	"San Marino"	"Footwork"	"11"	"ab"	Engine"
"1994"	"Pacific"	"Footwork"	"13"	"ab"	"Engine"
"1994"	"Brazil"	"Footwork"	"6"	"ab"	"Gearbox"
"1992"	"Australia"	"Minardi"	"16"	"10"	""
"1992"	"Japan"	"Minardi"	"14"	"14"	""
"1992"	"Portugal"	"Minardi"	"18"	"14"	""
"1992"	"Italy"	"Minardi"	"12"	"ab"	"Engine"
"1992"	"Belgium"	"Minardi"	"23"	"16"	""
"1992"	"Germany"	"Minardi"	"26"	"12"	""
"1992"	"Britain"	"Minardi"	"25"	"17"	"Oil pressure"
"1992"	"France"	"Minardi"	"16"	"8"	""
"1992"	"Canada"	"Minardi"	"13"	"11"	""
"1992"	"Monaco"	"Minardi"	"12"	"ab"	"Gearbox"
"1992"	"San Marino"	"Minardi"	"21"	"ab	Engine"
"1992"	"Spain"	"Minardi"	"25"	"ab"	"Handling"
"1992"	"Brazil"	"Minardi"	"23"	"7"	""
"1992"	"Mexico"	"Minardi"	"21"	"ab"	"Spin"
"1992"	"South Africa"	"Minardi"	"19"	"ab"	"Engine"
"1991"	"Australia"	"Ferrari"	"8"	"6"	""
"1991"	"Japan"	"Minardi"	"8"	"ab"	"Wheel bearing"
"1991"	"Spain"	"Minardi"	"16"	"14"	"Collision"
"1991"	"Portugal"	"Minardi"	"13"	"9"	""
"1991"	"Italy"	"Minardi"	"17"	"9"	""
"1991"	"Belgium"	"Minardi"	"19"	"ab"	"Clutch"
"1991"	"Hungary"	"Minardi"	"23"	"13"	""
"1991"	"Germany"	"Minardi"	"19"	"ab"	"Engine"
"1991"	"Britain"	"Minardi"	"20"	"11"	""
"1991"	"France"	"Minardi"	"10"	"ab"	"Collision"
"1991"	"Mexico"	"Minardi"	"23"	"7"	""
"1991"	"Canada"	"Minardi"	"15"	"ab"	"Accident"
"1991"	"Monaco"	"Minardi"	"17"	"ab"	"Gearbox"
"1991"	"San Marino"	"Minardi"	"8"	"ab"	Transmission"
"1991"	"Brazil"	"Minardi"	"21"	"8"	""
"1991"	"USA"	"Minardi"	"26"	"ab"	"Gearbox"
"1990"	"Australia"	"Minardi"	"20"	"ab"	"Gearbox"
"1990"	"Japan"	"Minardi"	"19"	"ab"	"Spin"
"1990"	"Brazil"	"Dallara"	"16"	"14"	""
