"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1961"	"Germany"	"Porsche"	"11"	"13"	""
"1961"	"Netherlands"	"Porsche"	"12"	"15"	""
"1961"	"Monaco"	"Porsche"	"12"	"9"	""
"1960"	"Italy"	"Porsche"	"10"	"6"	""
"1959"	"Germany"	"BRM"	"11"	"ab"	"Accident"
"1959"	"Britain"	"Cooper"	"19"	"ab"	"Gearbox"
"1958"	"Morocco"	"Maserati"	"18"	"9"	""
"1958"	"Italy"	"Maserati"	"18"	"ab"	"Valve"
"1958"	"Germany"	"Maserati"	"20"	"ab"	"Engine"
"1957"	"Germany"	"Maserati"	"11"	"ab"	"Engine"
"1955"	"Argentina"	"Mercedes"	"10"	"4"	""
"1954"	"Spain"	"Mercedes"	"9"	"ab"	"Fuel pump"
"1954"	"Italy"	"Mercedes"	"8"	"4"	""
"1954"	"Switzerland"	"Mercedes"	"7"	"3"	""
"1954"	"Germany"	"Mercedes"	"4"	"ab"	"Fuel line"
"1954"	"France"	"Mercedes"	"7"	"ab"	"Engine"
"1953"	"Germany"	"Veritas"	"14"	"9"	""
