"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1955"	"Monaco"	"Lancia"	"19"	"6"	""
"1953"	"Italy"	"OSCA"	"25"	"10"	""
"1953"	"France"	"OSCA"	"25"	"15"	""
"1951"	"Spain"	"Talbot Lago"	"12"	"ab"	"Rocker"
"1951"	"Italy"	"Talbot Lago"	"17"	"ab"	"Ignition"
"1951"	"Germany"	"Talbot Lago"	"13"	"ab"	"Engine"
"1951"	"Britain"	"Talbot Lago"	"13"	"ab"	"Brakes"
"1951"	"France"	"Talbot Lago"	"8"	"6"	""
"1951"	"Belgium"	"Talbot Lago"	"9"	"ab"	"Engine"
"1951"	"Switzerland"	"Maserati"	"19"	"7"	""
"1950"	"Italy"	"Maserati"	"19"	"ab"	"Oil pressure"
"1950"	"France"	"Maserati"	"14"	"ab"	"Engine"
"1950"	"Switzerland"	"Maserati"	"16"	"9"	""
"1950"	"Monaco"	"Maserati"	"8"	"3"	""
"1950"	"Britain"	"Maserati"	"11"	"ab"	"Clutch"
