"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1987"	"1987 Australian F1 GP"	"Benetton"	"9"	"DNF"	"Brakes"
"1987"	"1987 Japanese F1 GP"	"Benetton"	"6"	"DNF"	"Engine"
"1987"	"1987 Mexican F1 GP"	"Benetton"	"6"	"5"	""
"1987"	"1987 Spanish F1 GP"	"Benetton"	"6"	"DNF"	"Brakes"
"1987"	"1987 Portuguese F1 GP"	"Benetton"	"10"	"4"	"Out of fuel"
"1987"	"1987 Italian F1 GP"	"Benetton"	"7"	"7"	""
"1987"	"1987 Hungarian F1 GP"	"Benetton"	"12"	"DNF"	"Gearbox"
"1987"	"1987 German F1 GP"	"Benetton"	"9"	"DNF"	"Engine"
"1987"	"1987 British F1 GP"	"Benetton"	"6"	"6"	""
"1987"	"1987 French F1 GP"	"Benetton"	"7"	"5"	""
"1987"	"1987 Detroit F1 GP"	"Benetton"	"8"	"DNF"	"Accident"
"1987"	"1987 Austrian F1 GP"	"Benetton"	"5"	"3"	""
"1987"	"1987 Monaco F1 GP"	"Benetton"	"12"	"8"	""
"1987"	"1987 Belgian F1 GP"	"Benetton"	"9"	"DNF"	"Engine"
"1987"	"1987 San Marino F1 GP"	"Benetton"	"4"	"DNF"	"Turbo"
"1987"	"1987 Brazilian F1 GP"	"Benetton"	"4"	"DNF"	"Turbo"
"1986"	"1986 Australian F1 GP"	"Benetton"	"13"	"10"	""
"1986"	"1986 Mexican F1 GP"	"Benetton"	"9"	"DNF"	"Engine"
"1986"	"1986 Portuguese F1 GP"	"Benetton"	"5"	"8"	""
"1986"	"1986 Italian F1 GP"	"Benetton"	"1"	"DNF"	"Puncture"
"1986"	"1986 Austrian F1 GP"	"Benetton"	"1"	"DNF"	"Engine"
"1986"	"1986 Hungarian F1 GP"	"Benetton"	"13"	"DNF"	"Transmission"
"1986"	"1986 German F1 GP"	"Benetton"	"9"	"DNF"	"Accident"
"1986"	"1986 British F1 GP"	"Benetton"	"7"	"DNF"	"Fuel system"
"1986"	"1986 French F1 GP"	"Benetton"	"6"	"DNF"	"Engine"
"1986"	"1986 Detroit F1 GP"	"Benetton"	"17"	"DNF"	"Gearbox"
"1986"	"1986 Canadian F1 GP"	"Benetton"	"15"	"DNF"	"Battery"
"1986"	"1986 Belgian F1 GP"	"Benetton"	"6"	"7"	""
"1986"	"1986 Monaco F1 GP"	"Benetton"	"16"	"DNF"	"Brakes"
"1986"	"1986 San Marino F1 GP"	"Benetton"	"10"	"DNF"	"Engine"
"1986"	"1986 Spanish F1 GP"	"Benetton"	"9"	"5"	""
"1986"	"1986 Brazilian F1 GP"	"Benetton"	"12"	"10"	""
"1985"	"1985 Australian F1 GP"	"Toleman"	"24"	"DNF"	"Engine"
"1985"	"1985 South African F1 GP"	"Toleman"	"7"	"DNF"	"Engine"
"1985"	"1985 European F1 GP"	"Toleman"	"20"	"DNF"	"Engine"
"1985"	"1985 Belgian F1 GP"	"Toleman"	"11"	"DNF"	"Throttle"
"1985"	"1985 Italian F1 GP"	"Toleman"	"15"	"12"	""
"1985"	"1985 Dutch F1 GP"	"Toleman"	"5"	"DNF"	"Wheel Bearing"
"1985"	"1985 Austrian F1 GP"	"Toleman"	"6"	"DNF"	"Electrical"
"1985"	"1985 German F1 GP"	"Toleman"	"1"	"DNF"	"Clutch"
"1985"	"1985 British F1 GP"	"Toleman"	"9"	"DNF"	"Transmission"
"1985"	"1985 French F1 GP"	"Toleman"	"19"	"14"	"Fuel System"
"1985"	"1985 Detroit F1 GP"	"Toleman"	"13"	"DNF"	"Clutch"
"1985"	"1985 Canadian F1 GP"	"Toleman"	"18"	"DNF"	"Turbo"
"1985"	"1985 Monaco F1 GP"	"Toleman"	"20"	"DNF"	"Turbo"
"1984"	"1984 European F1 GP"	"Brabham"	"10"	"DNF"	"Gearbox"
"1984"	"1984 Italian F1 GP"	"Brabham"	"5"	"DNF"	"Engine"
"1984"	"1984 Dutch F1 GP"	"Brabham"	"10"	"5"	""
"1984"	"1984 Austrian F1 GP"	"Brabham"	"7"	"4"	""
"1984"	"1984 German F1 GP"	"Brabham"	"8"	"DNF"	"Turbo"
"1984"	"1984 Detroit F1 GP"	"Brabham"	"23"	"3"	""
"1984"	"1984 French F1 GP"	"Brabham"	"17"	"9"	""
"1984"	"1984 San Marino F1 GP"	"Brabham"	"9"	"DNF"	"Turbo"
"1984"	"1984 Belgian F1 GP"	"Brabham"	"18"	"DNF"	"Spun off"
"1984"	"1984 South African F1 GP"	"Brabham"	"6"	"DNF"	"Turbo"
"1984"	"1984 Brazilian F1 GP"	"Brabham"	"15"	"DNF"	"Turbo"
"1982"	"1982 Caesars Palace F1 GP"	"Toleman"	"0"	"DNQ"	"No Time"
"1982"	"1982 Italian F1 GP"	"Toleman"	"22"	"DNF"	"Engine"
"1982"	"1982 Swiss F1 GP"	"Toleman"	"23"	"DNF"	"Engine"
"1982"	"1982 Austrian F1 GP"	"Toleman"	"17"	"DNF"	"Transmission"
"1982"	"1982 German F1 GP"	"Toleman"	"0"	"DNQ"	"No Time"
"1982"	"1982 French F1 GP"	"Toleman"	"21"	"DNF"	"Electrical"
"1982"	"1982 British F1 GP"	"Toleman"	"15"	"DNF"	"Collision"
"1982"	"1982 Dutch F1 GP"	"Toleman"	"0"	"DNQ"	"No Time"
"1982"	"1982 Monaco F1 GP"	"Toleman"	"0"	"DNPQ"	"No Time"
"1982"	"1982 Belgian F1 GP"	"Toleman"	"21"	"DNF"	"Brakes"
"1982"	"1982 San Marino F1 GP"	"Toleman"	"10"	"NC"	"Not Classified"
"1982"	"1982 USA West F1 GP"	"Toleman"	"0"	"DNQ"	"No Time"
"1982"	"1982 Brazilian F1 GP"	"Toleman"	"0"	"DNQ"	"No Time"
"1982"	"1982 South African F1 GP"	"Toleman"	"0"	"DNQ"	"No Time"
"1987"	"1987 Austrian F1 GP"	"Benetton"	"5"	"3"	""
"1984"	"1984 Detroit F1 GP"	"Brabham"	"23"	"3"	""
"1986"	"1986 Italian F1 GP"	"Benetton"	"1"	"DNF"	"Puncture"
"1986"	"1986 Austrian F1 GP"	"Benetton"	"1"	"DNF"	"Engine"
"1985"	"1985 German F1 GP"	"Toleman"	"1"	"DNF"	"Clutch"
"1984"	"Britain"	"Brabham"	"14"	"ab"	"Ignition"
