"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1995"	"1995 Japanese F1 GP"	"Ligier"	"0"	"DNS"	"Accident"
"1995"	"1995 Pacific F1 GP"	"Ligier"	"13"	"DNF"	"Spun off"
"1995"	"1995 German F1 GP"	"Ligier"	"18"	"6"	""
"1995"	"1995 San Marino F1 GP"	"Ligier"	"16"	"11"	""
"1995"	"1995 Argentine F1 GP"	"Ligier"	"19"	"DNF"	"Collision"
"1995"	"1995 Brazilian F1 GP"	"Ligier"	"15"	"8"	""
"1994"	"1994 Pacific F1 GP"	"Jordan"	"20"	"DNF"	"Steering"
"1993"	"1993 Australian F1 GP"	"Footwork"	"10"	"7"	""
"1993"	"1993 Japanese F1 GP"	"Footwork"	"9"	"DNF"	"Spun off"
"1993"	"1993 Portuguese F1 GP"	"Footwork"	"16"	"DNF"	"Gearbox"
"1993"	"1993 Italian F1 GP"	"Footwork"	"8"	"DNF"	"Collision"
"1993"	"1993 Belgian F1 GP"	"Footwork"	"6"	"DNF"	"Gearbox"
"1993"	"1993 Hungarian F1 GP"	"Footwork"	"10"	"DNF"	"Spun off"
"1993"	"1993 German F1 GP"	"Footwork"	"8"	"DNF"	"Collision"
"1993"	"1993 British F1 GP"	"Footwork"	"10"	"DNF"	"Spun off"
"1993"	"1993 French F1 GP"	"Footwork"	"13"	"12"	""
"1993"	"1993 Canadian F1 GP"	"Footwork"	"16"	"13"	""
"1993"	"1993 Monaco F1 GP"	"Footwork"	"18"	"DNF"	"Spun off"
"1993"	"1993 Spanish F1 GP"	"Footwork"	"19"	"10"	""
"1993"	"1993 San Marino F1 GP"	"Footwork"	"21"	"9"	""
"1993"	"1993 European F1 GP"	"Footwork"	"23"	"DNF"	"Gearbox"
"1993"	"1993 Brazilian F1 GP"	"Footwork"	"19"	"DNF"	"Spun off"
"1993"	"1993 South African F1 GP"	"Footwork"	"20"	"DNF"	"Collision"
"1992"	"1992 Australian F1 GP"	"Footwork"	"18"	"8"	""
"1992"	"1992 Japanese F1 GP"	"Footwork"	"16"	"8"	""
"1992"	"1992 Portuguese F1 GP"	"Footwork"	"17"	"10"	""
"1992"	"1992 Italian F1 GP"	"Footwork"	"19"	"DNF"	"Suspension"
"1992"	"1992 Belgian F1 GP"	"Footwork"	"25"	"9"	""
"1992"	"1992 Hungarian F1 GP"	"Footwork"	"14"	"DNF"	"Collision"
"1992"	"1992 German F1 GP"	"Footwork"	"15"	"DNF"	"Spun Off"
"1992"	"1992 British F1 GP"	"Footwork"	"17"	"12"	""
"1992"	"1992 French F1 GP"	"Footwork"	"15"	"DNF"	"Spun Off"
"1992"	"1992 Canadian F1 GP"	"Footwork"	"0"	"DNQ"	"No Time"
"1992"	"1992 Monaco F1 GP"	"Footwork"	"19"	"11"	""
"1992"	"San Marino Grand Prix"	"Footwork"	"11"	"10"	""
"1992"	"1992 Spanish F1 GP"	"Footwork"	"19"	"7"	""
"1992"	"1992 Brazilian F1 GP"	"Footwork"	"22"	"DNF"	"Engine"
"1992"	"1992 Mexican F1 GP"	"Footwork"	"0"	"DNQ"	"No Time"
"1992"	"1992 South African F1 GP"	"Footwork"	"16"	"8"	""
"1991"	"1991 Australian F1 GP"	"Larrousse"	"0"	"DNQ"	"No Time"
"1991"	"1991 Japanese F1 GP"	"Lola"	"25"	"DNF"	"Engine"
"1991"	"1991 Spanish F1 GP"	"Lola"	"0"	"DNQ"	"No Time"
"1991"	"1991 Portuguese F1 GP"	"Lola"	"25"	"DNF"	"Transmission"
"1991"	"1991 Italian F1 GP"	"Lola"	"0"	"DNQ"	"No Time"
"1991"	"1991 Belgian F1 GP"	"Lola"	"0"	"DNQ"	"No Time"
"1991"	"1991 Hungarian F1 GP"	"Lola"	"22"	"DNF"	"Engine"
"1991"	"1991 German F1 GP"	"Lola"	"22"	"DNF"	"Engine"
"1991"	"1991 British F1 GP"	"Lola"	"22"	"DNF"	"Collision"
"1991"	"French Grand Prix"	"Lola"	"22"	"DNF"	"Transmission"
"1991"	"1991 Mexican F1 GP"	"Lola"	"19"	"DNF"	"Gearbox"
"1991"	"1991 Canadian F1 GP"	"Lola"	"22"	"DNF"	"Fuel Leak"
"1991"	"1991 Monaco F1 GP"	"Lola"	"20"	"DNF"	"Engine"
"1991"	"1991 San Marino F1 GP"	"Lola"	"20"	"DNF"	"Spun Off"
"1991"	"1991 Brazilian F1 GP"	"Larrousse"	"17"	"DNF"	"Fuel Pump"
"1991"	"1991 USA F1 GP"	"Larrousse"	"21"	"6"	""
"1990"	"1990 Australian F1 GP"	"Larrousse"	"24"	"DNF"	"Transmission"
