"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1955"	"1955 Monaco F1 GP"	"Lancia"	"2"	"DNF"	"Accident"
"1955"	"1955 Argentine F1 GP"	"Lancia"	"2"	"DNF"	"Accident"
"1954"	"1954 Spanish F1 GP"	"Lancia"	"1"	"DNF"	"Clutch"
"1954"	"1954 Italian F1 GP"	"Ferrari"	"2"	"DNF"	"Engine"
"1954"	"1954 British F1 GP"	"Maserati"	"27"	"DNF"	"Engine"
"1954"	"1954 British F1 GP"	"Maserati"	"30"	"DNF"	"Engine"
"1954"	"1954 French F1 GP"	"Maserati"	"3"	"DNF"	"Transmission"
"1953"	"1953 Italian F1 GP"	"Ferrari"	"1"	"DNF"	"Accident"
"1953"	"1953 Swiss F1 GP"	"Ferrari"	"2"	"1"	""
"1953"	"1953 German F1 GP"	"Ferrari"	"1"	"8"	""
"1953"	"1953 German F1 GP"	"Ferrari"	"0"	"DNF"	"Engine"
"1953"	"1953 British F1 GP"	"Ferrari"	"1"	"1"	""
"1953"	"1953 French F1 GP"	"Ferrari"	"1"	"4"	""
"1953"	"1953 Belgian F1 GP"	"Ferrari"	"2"	"1"	""
"1953"	"1953 Dutch F1 GP"	"Ferrari"	"1"	"1"	""
"1953"	"1953 Argentine F1 GP"	"Ferrari"	"1"	"1"	""
"1952"	"1952 Italian F1 GP"	"Ferrari"	"1"	"1"	""
"1952"	"1952 Dutch F1 GP"	"Ferrari"	"1"	"1"	""
"1952"	"1952 German F1 GP"	"Ferrari"	"1"	"1"	""
"1952"	"1952 British F1 GP"	"Ferrari"	"2"	"1"	""
"1952"	"1952 French F1 GP"	"Ferrari"	"1"	"1"	""
"1952"	"1952 Belgian F1 GP"	"Ferrari"	"1"	"1"	""
"1952"	"1952 Indianapolis 500"	"Ferrari"	"19"	"31"	"Wheel"
"1951"	"1951 Spanish F1 GP"	"Ferrari"	"1"	"4"	""
"1951"	"1951 Italian F1 GP"	"Ferrari"	"3"	"1"	""
"1951"	"1951 German F1 GP"	"Ferrari"	"1"	"1"	""
"1951"	"1951 British F1 GP"	"Ferrari"	"4"	"DNF"	"Gearbox"
"1951"	"1951 French F1 GP"	"Ferrari"	"6"	"2"	""
"1951"	"1951 French F1 GP"	"Ferrari"	"3"	"DNF"	"Gearbox"
"1951"	"1951 Belgian F1 GP"	"Ferrari"	"4"	"2"	""
"1951"	"1951 Swiss F1 GP"	"Ferrari"	"7"	"6"	""
"1950"	"1950 Italian F1 GP"	"Ferrari"	"2"	"DNF"	"Engine"
"1950"	"1950 Italian F1 GP"	"Ferrari"	"6"	"2"	""
"1950"	"1950 French F1 GP"	"Ferrari"	"0"	"DNQ"	""
"1950"	"1950 Belgian F1 GP"	"Ferrari"	"7"	"5"	""
"1950"	"1950 Swiss F1 GP"	"Ferrari"	"5"	"DNF"	"Oil Pump"
"1950"	"1950 Monaco F1 GP"	"Ferrari"	"7"	"2"	""
"1953"	"1953 Swiss F1 GP"	"Ferrari"	"2"	"1"	""
"1953"	"1953 British F1 GP"	"Ferrari"	"1"	"1"	""
"1953"	"1953 Belgian F1 GP"	"Ferrari"	"2"	"1"	""
"1953"	"1953 Dutch F1 GP"	"Ferrari"	"1"	"1"	""
"1953"	"1953 Argentine F1 GP"	"Ferrari"	"1"	"1"	""
"1952"	"1952 Italian F1 GP"	"Ferrari"	"1"	"1"	""
"1952"	"1952 Dutch F1 GP"	"Ferrari"	"1"	"1"	""
"1952"	"1952 German F1 GP"	"Ferrari"	"1"	"1"	""
"1952"	"1952 British F1 GP"	"Ferrari"	"2"	"1"	""
"1952"	"1952 French F1 GP"	"Ferrari"	"1"	"1"	""
"1952"	"1952 Belgian F1 GP"	"Ferrari"	"1"	"1"	""
"1951"	"1951 Italian F1 GP"	"Ferrari"	"3"	"1"	""
"1951"	"1951 German F1 GP"	"Ferrari"	"1"	"1"	""
"1951"	"1951 French F1 GP"	"Ferrari"	"6"	"2"	""
"1951"	"1951 Belgian F1 GP"	"Ferrari"	"4"	"2"	""
"1950"	"1950 Italian F1 GP"	"Ferrari"	"6"	"2"	""
"1950"	"1950 Monaco F1 GP"	"Ferrari"	"7"	"2"	""
"1954"	"1954 Spanish F1 GP"	"Lancia"	"1"	"DNF"	"Clutch"
"1953"	"1953 Italian F1 GP"	"Ferrari"	"1"	"DNF"	"Accident"
"1953"	"1953 German F1 GP"	"Ferrari"	"1"	"8"	""
"1953"	"1953 British F1 GP"	"Ferrari"	"1"	"1"	""
"1953"	"1953 French F1 GP"	"Ferrari"	"1"	"4"	""
"1953"	"1953 Dutch F1 GP"	"Ferrari"	"1"	"1"	""
"1953"	"1953 Argentine F1 GP"	"Ferrari"	"1"	"1"	""
"1952"	"1952 Italian F1 GP"	"Ferrari"	"1"	"1"	""
"1952"	"1952 Dutch F1 GP"	"Ferrari"	"1"	"1"	""
"1952"	"1952 German F1 GP"	"Ferrari"	"1"	"1"	""
"1952"	"1952 French F1 GP"	"Ferrari"	"1"	"1"	""
"1952"	"1952 Belgian F1 GP"	"Ferrari"	"1"	"1"	""
"1951"	"1951 Spanish F1 GP"	"Ferrari"	"1"	"4"	""
"1951"	"1951 German F1 GP"	"Ferrari"	"1"	"1"	""
