"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1990"	"1990 Spanish F1 GP"	"Benetton"	"9"	"3"	""
"1990"	"1990 Portuguese F1 GP"	"Benetton"	"9"	"6"	""
"1990"	"1990 Italian F1 GP"	"Benetton"	"8"	"8"	""
"1990"	"1990 Belgian F1 GP"	"Benetton"	"6"	"4"	""
"1990"	"1990 Hungarian F1 GP"	"Benetton"	"7"	"DNF"	"Collision"
"1990"	"1990 German F1 GP"	"Benetton"	"9"	"2"	""
"1990"	"1990 British F1 GP"	"Benetton"	"13"	"DNF"	"Collision"
"1990"	"1990 French F1 GP"	"Benetton"	"5"	"16"	"Electrical"
"1990"	"1990 Mexican F1 GP"	"Benetton"	"14"	"4"	""
"1990"	"1990 Canadian F1 GP"	"Benetton"	"4"	"DNF"	"Spun Off"
"1990"	"1990 Monaco F1 GP"	"Benetton"	"16"	"DNF"	"Gearbox"
"1990"	"1990 San Marino F1 GP"	"Benetton"	"9"	"3"	""
"1990"	"1990 Brazilian F1 GP"	"Benetton"	"15"	"10"	"Puncture"
"1990"	"1990 USA F1 GP"	"Benetton"	"22"	"11"	""
"1989"	"1989 Australian F1 GP"	"Benetton"	"4"	"2"	""
"1989"	"1989 Japanese F1 GP"	"Benetton"	"6"	"1"	""
"1989"	"1989 Spanish F1 GP"	"Benetton"	"14"	"DNF"	"Spun Off"
"1989"	"1989 Portuguese F1 GP"	"Benetton"	"13"	"4"	""
"1989"	"1989 Italian F1 GP"	"Benetton"	"8"	"DNF"	"Brakes"
"1989"	"1989 Belgian F1 GP"	"Benetton"	"7"	"5"	""
"1989"	"1989 Hungarian F1 GP"	"Benetton"	"7"	"DNF"	"Gearbox"
"1989"	"1989 German F1 GP"	"Benetton"	"7"	"DNF"	"Electrical"
"1989"	"1989 British F1 GP"	"Benetton"	"9"	"3"	""
"1989"	"1989 French F1 GP"	"Benetton"	"4"	"DNF"	"suspension"
