"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1999"	"1999 Japanese F1 GP"	"Williams"	"8"	"DNF"	"Electrical"
"1999"	"1999 Malaysian F1 GP"	"Williams"	"16"	"10"	""
"1999"	"1999 European F1 GP"	"Williams"	"18"	"DNF"	"Collision"
"1999"	"1999 Italian F1 GP"	"Williams"	"4"	"7"	""
"1999"	"1999 Belgian F1 GP"	"Williams"	"8"	"8"	""
"1999"	"1999 Hungarian F1 GP"	"Williams"	"15"	"DNF"	"Differential"
"1999"	"1999 German F1 GP"	"Williams"	"14"	"DNF"	"Differential"
"1999"	"1999 Austrian F1 GP"	"Williams"	"14"	"DNF"	"Out of fuel"
"1999"	"1999 British F1 GP"	"Williams"	"13"	"11"	""
"1999"	"1999 French F1 GP"	"Williams"	"15"	"DNF"	"Engine"
"1999"	"1999 Canadian F1 GP"	"Williams"	"12"	"DNF"	"Brakes"
"1999"	"1999 Spanish F1 GP"	"Williams"	"17"	"DNF"	"Gearbox"
"1999"	"1999 Monaco F1 GP"	"Williams"	"11"	"8"	""
"1999"	"1999 San Marino F1 GP"	"Williams"	"10"	"11"	"Spun off"
"1999"	"1999 Brazilian F1 GP"	"Williams"	"16"	"DNF"	"Gearbox"
"1999"	"1999 Australian F1 GP"	"Williams"	"15"	"DNF"	"Spun off"
"1994"	"1994 Australian F1 GP"	"Team Lotus"	"14"	"DNF"	"Throttle"
"1994"	"1994 Japanese F1 GP"	"Team Lotus"	"17"	"13"	""
"1994"	"1994 European F1 GP"	"Team Lotus"	"21"	"16"	""
"1994"	"1994 Italian F1 GP"	"Team Lotus"	"13"	"DNF"	"Collision"
"1994"	"1994 Hungarian F1 GP"	"Team Lotus"	"22"	"13"	""
"1994"	"1994 German F1 GP"	"Team Lotus"	"21"	"DNF"	"Collision"
"1994"	"1994 British F1 GP"	"Team Lotus"	"19"	"DNF"	"Engine"
"1994"	"1994 French F1 GP"	"Team Lotus"	"23"	"DNF"	"Engine"
"1994"	"1994 Canadian F1 GP"	"Team Lotus"	"23"	"15"	""
"1994"	"1994 Spanish F1 GP"	"Team Lotus"	"23"	"9"	""
"1993"	"1993 Belgian F1 GP"	"Team Lotus"	"26"	"DNS"	"Injury"
"1993"	"1993 Hungarian F1 GP"	"Team Lotus"	"21"	"DNF"	"Gearbox"
"1993"	"1993 German F1 GP"	"Team Lotus"	"15"	"DNF"	"Spun off"
"1993"	"1993 British F1 GP"	"Team Lotus"	"14"	"DNF"	"Suspension"
"1993"	"1993 French F1 GP"	"Team Lotus"	"17"	"DNF"	"Suspension"
"1993"	"1993 Canadian F1 GP"	"Team Lotus"	"21"	"11"	""
"1993"	"1993 Monaco F1 GP"	"Team Lotus"	"20"	"7"	""
"1993"	"1993 Spanish F1 GP"	"Team Lotus"	"15"	"14"	"Engine"
"1993"	"1993 San Marino F1 GP"	"Team Lotus"	"20"	"DNF"	"Spun off"
"1993"	"1993 European F1 GP"	"Team Lotus"	"13"	"8"	""
"1993"	"1993 Brazilian F1 GP"	"Team Lotus"	"15"	"6"	""
"1993"	"1993 South African F1 GP"	"Team Lotus"	"16"	"DNF"	"Collision"
"1992"	"1992 Hungarian F1 GP"	"Minardi"	"0"	"DNQ"	"No Time"
"1992"	"1992 German F1 GP"	"Minardi"	"24"	"DNF"	"Gearbox"
"1992"	"1992 British F1 GP"	"Minardi"	"0"	"DNQ"	"No Time"
"1991"	"1991 Australian F1 GP"	"Jordan"	"16"	"9"	""
"1991"	"1991 Japanese F1 GP"	"Jordan"	"13"	"DNF"	"Gearbox"
"1991"	"1991 Spanish F1 GP"	"Jordan"	"20"	"9"	""
