"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1979"	"1979 USA F1 GP"	"Fittipaldi"	"0"	"DNQ"	"No Time"
"1979"	"1979 Canadian F1 GP"	"Fittipaldi"	"0"	"DNQ"	"No Time"
"1977"	"1977 Japanese F1 GP"	"March"	"23"	"12"	""
"1977"	"1977 Canadian F1 GP"	"March"	"23"	"8"	""
"1977"	"1977 USA F1 GP"	"March"	"23"	"15"	""
"1977"	"1977 Italian F1 GP"	"March"	"0"	"DNQ"	"No Time"
"1977"	"1977 Dutch F1 GP"	"March"	"24"	"11"	""
"1977"	"1977 Austrian F1 GP"	"March"	"0"	"DNQ"	"No Time"
"1977"	"1977 German F1 GP"	"March"	"20"	"8"	""
"1977"	"1977 British F1 GP"	"March"	"0"	"DNQ"	"No Time"
"1977"	"1977 French F1 GP"	"March"	"0"	"DNQ"	"No Time"
"1977"	"1977 Swedish F1 GP"	"March"	"0"	"DNQ"	"No Time"
"1977"	"1977 Belgian F1 GP"	"March"	"0"	"DNQ"	"No Time"
"1977"	"1977 Monaco F1 GP"	"March"	"0"	"DNQ"	"No Time"
"1977"	"1977 Spanish F1 GP"	"March"	"0"	"DNQ"	"No Time"
"1977"	"1977 USA West F1 GP"	"March"	"22"	"DNF"	"Gearbox"
"1977"	"1977 South African F1 GP"	"March"	"17"	"DNF"	"Engine"
"1977"	"1977 Brazilian F1 GP"	"March"	"21"	"DNF"	"Engine"
"1977"	"1977 Argentine F1 GP"	"March"	"20"	"DNF"	"Transmission"
"1976"	"1976 USA F1 GP"	"Hesketh"	"22"	"12"	""
