"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"2002"	"2002 Japanese F1 GP"	"Minardi"	"20"	"DNF"	"Spun off"
"2002"	"2002 USA F1 GP"	"Minardi"	"20"	"DNF"	"Engine"
"2002"	"2002 Italian F1 GP"	"Minardi"	"20"	"13"	""
"2002"	"2002 German F1 GP"	"Minardi"	"0"	"DNQ"	""
"2002"	"2002 French F1 GP"	"Minardi"	"19"	"10"	""
"2002"	"2002 British F1 GP"	"Minardi"	"0"	"DNQ"	""
"2002"	"2002 European F1 GP"	"Minardi"	"22"	"DNF"	"Hydraulics"
"2002"	"2002 Canadian F1 GP"	"Minardi"	"22"	"14"	""
"2002"	"2002 Monaco F1 GP"	"Minardi"	"22"	"DNF"	"Accident"
"2002"	"2002 Austrian F1 GP"	"Minardi"	"22"	"DNF"	"Engine"
"2002"	"2002 Spanish F1 GP"	"Minardi"	"21"	"DNS"	"Safety"
"2002"	"2002 San Marino F1 GP"	"Minardi"	"0"	"DNQ"	""
"2002"	"2002 Brazilian F1 GP"	"Minardi"	"22"	"13"	""
"2002"	"2002 Malaysian F1 GP"	"Minardi"	"22"	"DNF"	"Gearbox"
"2002"	"2002 Australian F1 GP"	"Minardi"	"21"	"7"	""
"2001"	"2001 Japanese F1 GP"	"Minardi"	"22"	"16"	""
"2001"	"2001 USA F1 GP"	"Minardi"	"22"	"DNF"	"Gearbox"
"2001"	"2001 Italian F1 GP"	"Minardi"	"22"	"DNF"	"Spun off"
