"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"2020"	"2020 Abu Dhabi F1 GP"	"Red Bull"	"5"	"4"	""
"2020"	"2020 Sakhir F1 GP"	"Red Bull"	"12"	"6"	""
"2020"	"2020 Bahrain F1 GP"	"Red Bull"	"4"	"3"	""
"2020"	"2020 Turkish F1 GP"	"Red Bull"	"4"	"7"	""
"2020"	"2020 E. Romagna F1 GP"	"Red Bull"	"6"	"15"	""
"2020"	"2020 Portuguese F1 GP"	"Red Bull"	"6"	"12"	""
"2020"	"2020 Eifel F1 GP"	"Red Bull"	"5"	"DNF"	"Cooling"
"2020"	"2020 Russian F1 GP"	"Red Bull"	"15"	"10"	""
"2020"	"2020 Tuscan F1 GP"	"Red Bull"	"4"	"3"	""
"2020"	"2020 Italian F1 GP"	"Red Bull"	"9"	"15"	""
"2020"	"2020 Belgian F1 GP"	"Red Bull"	"5"	"6"	""
"2020"	"2020 Spanish F1 GP"	"Red Bull"	"6"	"8"	""
"2020"	"70th Anniversary F1 GP"	"Red Bull"	"9"	"5"	""
"2020"	"2020 British F1 GP"	"Red Bull"	"12"	"8"	""
"2020"	"2020 Hungarian F1 GP"	"Red Bull"	"13"	"5"	""
"2020"	"2020 Styrian F1 GP"	"Red Bull"	"6"	"4"	""
"2020"	"2020 Austrian F1 GP"	"Red Bull"	"4"	"13"	"Electrics"
"2019"	"2019 Abu Dhabi F1 GP"	"Red Bull"	"5"	"6"	""
"2019"	"2019 Brazilian F1 GP"	"Red Bull"	"5"	"14"	""
"2019"	"2019 USA F1 GP"	"Red Bull"	"6"	"5"	""
"2019"	"2019 Mexican F1 GP"	"Red Bull"	"5"	"5"	""
"2019"	"2019 Japanese F1 GP"	"Red Bull"	"6"	"4"	""
"2019"	"2019 Russian F1 GP"	"Red Bull"	"20"	"5"	""
"2019"	"2019 Singapore F1 GP"	"Red Bull"	"6"	"6"	""
"2019"	"2019 Italian F1 GP"	"Red Bull"	"8"	"6"	""
"2019"	"2019 Belgian F1 GP"	"Red Bull"	"18"	"5"	""
"2019"	"2019 Hungarian F1 GP"	"Toro Rosso"	"12"	"10"	""
"2019"	"2019 German F1 GP"	"Toro Rosso"	"16"	"6"	""
"2019"	"2019 British F1 GP"	"Toro Rosso"	"9"	"12"	""
"2019"	"2019 Austrian F1 GP"	"Toro Rosso"	"18"	"15"	""
"2019"	"2019 French F1 GP"	"Toro Rosso"	"11"	"15"	""
"2019"	"2019 Canadian F1 GP"	"Toro Rosso"	"13"	"DNF"	"Collision damage"
"2019"	"2019 Monaco F1 GP"	"Toro Rosso"	"9"	"8"	""
"2019"	"2019 Spanish F1 GP"	"Toro Rosso"	"11"	"11"	""
"2019"	"2019 Azerbaijan F1 GP"	"Toro Rosso"	"11"	"11"	""
"2019"	"2019 Chinese F1 GP"	"Toro Rosso"	"20"	"10"	""
"2019"	"2019 Bahrain F1 GP"	"Toro Rosso"	"12"	"9"	""
"2019"	"2019 Australian F1 GP"	"Toro Rosso"	"13"	"14"	""
"2020"	"2020 Bahrain F1 GP"	"Red Bull"	"4"	"3"	""
"2020"	"2020 Tuscan F1 GP"	"Red Bull"	"4"	"3"	""
