"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"2008"	"2008 Spanish F1 GP"	"Super Aguri"	"21"	"DNF"	"Holed radiator"
"2008"	"2008 Bahrain F1 GP"	"Super Aguri"	"21"	"16"	""
"2008"	"2008 Malaysian F1 GP"	"Super Aguri"	"21"	"15"	""
"2008"	"2008 Australian F1 GP"	"Super Aguri"	"21"	"DNF"	"Collision"
"2007"	"2007 Brazilian F1 GP"	"Super Aguri"	"20"	"14"	""
"2007"	"2007 Chinese F1 GP"	"Super Aguri"	"14"	"DNF"	"Brakes"
"2007"	"2007 Japanese F1 GP"	"Super Aguri"	"19"	"DNF"	"Throttle"
"2007"	"2007 Belgian F1 GP"	"Super Aguri"	"20"	"16"	""
"2007"	"2007 Italian F1 GP"	"Super Aguri"	"14"	"14"	""
"2007"	"2007 Turkish F1 GP"	"Super Aguri"	"11"	"14"	""
"2007"	"2007 Hungarian F1 GP"	"Super Aguri"	"15"	"DNF"	"Accident"
"2007"	"2007 European F1 GP"	"Super Aguri"	"15"	"12"	""
"2007"	"2007 British F1 GP"	"Super Aguri"	"19"	"DNF"	"Mechanical"
"2007"	"2007 French F1 GP"	"Super Aguri"	"19"	"DNF"	"Collision"
"2007"	"2007 USA F1 GP"	"Super Aguri"	"16"	"11"	""
"2007"	"2007 Canadian F1 GP"	"Super Aguri"	"17"	"11"	""
"2007"	"2007 Monaco F1 GP"	"Super Aguri"	"17"	"18"	""
"2007"	"2007 Spanish F1 GP"	"Super Aguri"	"15"	"11"	""
"2007"	"2007 Bahrain F1 GP"	"Super Aguri"	"13"	"16"	"Engine"
"2007"	"2007 Malaysian F1 GP"	"Super Aguri"	"18"	"16"	""
"2007"	"2007 Australian F1 GP"	"Super Aguri"	"11"	"16"	""
"2005"	"2005 Malaysian F1 GP"	"BAR"	"15"	"DNF"	"Engine"
"2002"	"2002 Belgian F1 GP"	"Minardi"	"20"	"DNF"	"Spin"
"2002"	"2002 Hungarian F1 GP"	"Minardi"	"20"	"DNF"	"Spin"
