"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"2021"	"2021 Abu Dhabi F1 GP"	"Alfa Romeo"	"14"	"DNF"	"Gearbox"
"2021"	"2021 Saudi Arabian F1 GP"	"Alfa Romeo"	"10"	"9"	""
"2021"	"2021 Qatar F1 GP"	"Alfa Romeo"	"18"	"15"	""
"2021"	"2021 Brazilian F1 GP"	"Alfa Romeo"	"13"	"14"	""
"2021"	"2021 Mexico F1 GP"	"Alfa Romeo"	"11"	"11"	""
"2021"	"2021 USA F1 GP"	"Alfa Romeo"	"12"	"11"	""
"2021"	"2021 Turkish F1 GP"	"Alfa Romeo"	"16"	"11"	""
"2021"	"2021 Russian F1 GP"	"Alfa Romeo"	"17"	"16"	""
"2021"	"2021 Italian F1 GP"	"Alfa Romeo"	"7"	"13"	""
"2021"	"2021 Dutch F1 GP"	"Alfa Romeo"	"7"	"14"	""
"2021"	"2021 Belgian F1 GP"	"Alfa Romeo"	"13"	"13"	""
"2021"	"2021 Hungarian F1 GP"	"Alfa Romeo"	"14"	"13"	""
"2021"	"2021 British F1 GP"	"Alfa Romeo"	"15"	"13"	""
"2021"	"2021 Austrian F1 GP"	"Alfa Romeo"	"15"	"14"	""
"2021"	"2021 Styrian F1 GP"	"Alfa Romeo"	"15"	"15"	""
"2021"	"2021 French F1 GP"	"Alfa Romeo"	"13"	"15"	""
"2021"	"2021 Azerbaijan F1 GP"	"Alfa Romeo"	"20"	"11"	""
"2021"	"2021 Monaco F1 GP"	"Alfa Romeo"	"9"	"10"	""
"2021"	"2021 Spanish F1 GP"	"Alfa Romeo"	"14"	"15"	""
"2021"	"2021 Portuguese F1 GP"	"Alfa Romeo"	"12"	"12"	""
"2021"	"2021 E. Romagna F1 GP"	"Alfa Romeo"	"17"	"14"	""
"2021"	"2021 Bahrain F1 GP"	"Alfa Romeo"	"12"	"12"	""
"2020"	"2020 Abu Dhabi F1 GP"	"Alfa Romeo"	"14"	"16"	""
"2020"	"2020 Sakhir F1 GP"	"Alfa Romeo"	"14"	"13"	""
"2020"	"2020 Bahrain F1 GP"	"Alfa Romeo"	"16"	"16"	""
"2020"	"2020 Turkish F1 GP"	"Alfa Romeo"	"10"	"DNF"	"Gearbox"
"2020"	"2020 E. Romagna F1 GP"	"Alfa Romeo"	"20"	"10"	""
"2020"	"2020 Portuguese F1 GP"	"Alfa Romeo"	"17"	"15"	""
"2020"	"2020 Eifel F1 GP"	"Alfa Romeo"	"14"	"10"	""
"2020"	"2020 Russian F1 GP"	"Alfa Romeo"	"17"	"11"	""
"2020"	"2020 Tuscan F1 GP"	"Alfa Romeo"	"17"	"DNF"	"Crashed"
"2020"	"2020 Italian F1 GP"	"Alfa Romeo"	"18"	"16"	""
"2020"	"2020 Belgian F1 GP"	"Alfa Romeo"	"18"	"DNF"	"Spun off"
"2020"	"2020 Spanish F1 GP"	"Alfa Romeo"	"20"	"16"	""
"2020"	"70th Anniversary F1 GP"	"Alfa Romeo"	"19"	"17"	""
"2020"	"2020 British F1 GP"	"Alfa Romeo"	"15"	"14"	""
"2020"	"2020 Hungarian F1 GP"	"Alfa Romeo"	"19"	"17"	""
"2020"	"2020 Styrian F1 GP"	"Alfa Romeo"	"19"	"14"	""
"2020"	"2020 Austrian F1 GP"	"Alfa Romeo"	"18"	"9"	""
"2019"	"2019 Abu Dhabi F1 GP"	"Alfa Romeo"	"16"	"16"	""
"2019"	"2019 Brazilian F1 GP"	"Alfa Romeo"	"12"	"5"	""
"2019"	"2019 USA F1 GP"	"Alfa Romeo"	"16"	"14"	""
"2019"	"2019 Mexican F1 GP"	"Alfa Romeo"	"15"	"14"	""
"2019"	"2019 Japanese F1 GP"	"Alfa Romeo"	"11"	"14"	""
"2019"	"2019 Russian F1 GP"	"Alfa Romeo"	"12"	"15"	""
"2019"	"2019 Singapore F1 GP"	"Alfa Romeo"	"10"	"10"	""
"2019"	"2019 Italian F1 GP"	"Alfa Romeo"	"10"	"9"	""
"2019"	"2019 Belgian F1 GP"	"Alfa Romeo"	"13"	"DNF"	"Spun off"
"2019"	"2019 Hungarian F1 GP"	"Alfa Romeo"	"17"	"18"	""
"2019"	"2019 German F1 GP"	"Alfa Romeo"	"11"	"13"	""
"2019"	"2019 British F1 GP"	"Alfa Romeo"	"11"	"DNF"	"Spun off"
"2019"	"2019 Austrian F1 GP"	"Alfa Romeo"	"7"	"10"	""
"2019"	"2019 French F1 GP"	"Alfa Romeo"	"10"	"16"	""
"2019"	"2019 Canadian F1 GP"	"Alfa Romeo"	"12"	"13"	""
"2019"	"2019 Monaco F1 GP"	"Alfa Romeo"	"18"	"19"	""
"2019"	"2019 Spanish F1 GP"	"Alfa Romeo"	"18"	"16"	""
"2019"	"2019 Azerbaijan F1 GP"	"Alfa Romeo"	"17"	"12"	""
"2019"	"2019 Chinese F1 GP"	"Alfa Romeo"	"19"	"15"	""
"2019"	"2019 Bahrain F1 GP"	"Alfa Romeo"	"16"	"11"	""
"2019"	"2019 Australian F1 GP"	"Alfa Romeo"	"14"	"15"	""
"2017"	"2017 Chinese F1 GP"	"Sauber"	"18"	"DNF"	"Crashed"
"2017"	"2017 Australian F1 GP"	"Sauber"	"16"	"12"	""
