"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"2005"	"2005 Chinese F1 GP"	"Williams"	"13"	"13"	"Tyre puncture"
"2005"	"2005 Japanese F1 GP"	"Williams"	"12"	"DNF"	"Accident"
"2005"	"2005 Brazilian F1 GP"	"Williams"	"13"	"DNF"	"Accident"
"2005"	"2005 Belgian F1 GP"	"Williams"	"15"	"15"	"Collision"
"2005"	"2005 Italian F1 GP"	"Williams"	"16"	"7"	""
"2004"	"2004 Italian F1 GP"	"Williams"	"8"	"7"	""
"2004"	"2004 Belgian F1 GP"	"Williams"	"14"	"DNF"	"Gearbox"
"2004"	"2004 Hungarian F1 GP"	"Williams"	"6"	"7"	""
"2004"	"2004 German F1 GP"	"Williams"	"10"	"7"	""
"2003"	"2003 British F1 GP"	"Jaguar"	"10"	"DNF"	"Engine"
"2003"	"2003 French F1 GP"	"Jaguar"	"11"	"10"	""
"2003"	"2003 European F1 GP"	"Jaguar"	"16"	"10"	""
"2003"	"2003 Canadian F1 GP"	"Jaguar"	"13"	"10"	""
"2003"	"2003 Monaco F1 GP"	"Jaguar"	"13"	"DNF"	"Electrical"
"2003"	"2003 Austrian F1 GP"	"Jaguar"	"8"	"9"	""
"2003"	"2003 Spanish F1 GP"	"Jaguar"	"16"	"DNF"	"Launch control"
"2003"	"2003 San Marino F1 GP"	"Jaguar"	"15"	"14"	""
"2003"	"2003 Brazilian F1 GP"	"Jaguar"	"17"	"DNF"	"Accident"
"2003"	"2003 Malaysian F1 GP"	"Jaguar"	"15"	"DNF"	"Spin"
"2003"	"2003 Australian F1 GP"	"Jaguar"	"18"	"13"	"Suspension"
