"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1979"	"1979 USA F1 GP"	"Merzario"	"0"	"DNQ"	"No Time"
"1979"	"1979 Canadian F1 GP"	"Merzario"	"0"	"DNQ"	"No Time"
"1979"	"1979 Italian F1 GP"	"Merzario"	"0"	"DNQ"	"No Time"
"1979"	"1979 Dutch F1 GP"	"Merzario"	"0"	"DNQ"	"No Time"
"1979"	"1979 Austrian F1 GP"	"Merzario"	"0"	"DNQ"	"No Time"
"1979"	"1979 German F1 GP"	"Merzario"	"0"	"DNQ"	"No Time"
"1979"	"1979 British F1 GP"	"Merzario"	"0"	"DNQ"	"No Time"
"1979"	"1979 French F1 GP"	"Merzario"	"0"	"DNQ"	"No Time"
"1979"	"1979 Belgian F1 GP"	"Merzario"	"0"	"DNQ"	"No Time"
"1979"	"1979 Spanish F1 GP"	"Merzario"	"0"	"DNQ"	"No Time"
"1979"	"1979 USA West F1 GP"	"Merzario"	"22"	"DNF"	"Engine"
"1979"	"1979 South African F1 GP"	"Merzario"	"0"	"DNQ"	"No Time"
"1979"	"1979 Brazilian Grand F1 GP"	"Merzario"	"0"	"DNQ"	"No Time"
"1979"	"1979 Argentine F1 GP"	"Merzario"	"22"	"DNF"	"Collision"
"1978"	"1978 Canadian F1 GP"	"Merzario"	"0"	"DNQ"	"No Time"
"1978"	"1978 USA F1 GP"	"Merzario"	"26"	"DNF"	"Gearbox"
"1978"	"1978 Italian F1 GP"	"Merzario"	"22"	"DNF"	"Engine"
"1978"	"1978 Dutch F1 GP"	"Merzario"	"26"	"DNF"	"Engine"
"1978"	"1978 Austrian F1 GP"	"Merzario"	"0"	"DNQ"	"No Time"
"1978"	"1978 German F1 GP"	"Merzario"	"0"	"DNQ"	"No Time"
"1978"	"1978 British F1 GP"	"Merzario"	"23"	"DNF"	"Fuel System"
"1978"	"1978 French F1 GP"	"Merzario"	"0"	"DNQ"	"No Time"
"1978"	"1978 Swedish F1 GP"	"Merzario"	"22"	"NC"	""
"1978"	"1978 Spanish F1 GP"	"Merzario"	"0"	"DNQ"	"No Time"
"1978"	"1978 Belgian F1 GP"	"Merzario"	"0"	"DNPQ"	"No Time"
"1978"	"1978 Monaco F1 GP"	"Merzario"	"0"	"DNPQ"	"No Time"
"1978"	"1978 USA West F1 GP"	"Merzario"	"21"	"DNF"	"Gearbox"
"1978"	"1978 South African F1 GP"	"Merzario"	"26"	"DNF"	"Suspension"
"1978"	"1978 Brazilian F1 GP"	"Merzario"	"0"	"DNQ"	"No Time"
"1978"	"1978 Argentine F1 GP"	"Merzario"	"20"	"DNF"	"Differential"
"1977"	"1977 Dutch F1 GP"	"March"	"0"	"DNQ"	"No Time"
"1977"	"1977 Austrian F1 GP"	"Shadow"	"21"	"DNF"	"Gearbox"
"1977"	"1977 German F1 GP"	"March"	"0"	"DNQ"	"No Time"
"1977"	"1977 British F1 GP"	"March"	"17"	"DNF"	"Transmission"
"1977"	"1977 French F1 GP"	"March"	"18"	"DNF"	"Gearbox"
"1977"	"1977 Belgian F1 GP"	"March"	"14"	"14"	""
"1977"	"1977 Monaco F1 GP"	"March"	"0"	"DNQ"	"No Time"
"1977"	"1977 Spanish F1 GP"	"March"	"21"	"DNF"	"Suspension"
"1976"	"1976 Japanese F1 GP"	"Wolf-Williams"	"19"	"DNF"	"Gearbox"
"1976"	"1976 USA F1 GP"	"Wolf-Williams"	"25"	"DNF"	"Accident"
"1976"	"1976 Canadian F1 GP"	"Wolf-Williams"	"24"	"DNF"	"Accident"
"1976"	"1976 Italian F1 GP"	"Wolf-Williams"	"0"	"DNS"	"Withdrew"
"1976"	"1976 Dutch F1 GP"	"Wolf-Williams"	"23"	"DNF"	"Accident"
"1976"	"1976 Austrian F1 GP"	"Wolf-Williams"	"21"	"DNF"	"Accident"
"1976"	"1976 German F1 GP"	"Wolf-Williams"	"21"	"DNF"	"Brakes"
"1976"	"1976 British F1 GP"	"March"	"9"	"DNF"	"Engine"
"1976"	"1976 French F1 GP"	"March"	"20"	"9"	""
"1976"	"1976 Swedish F1 GP"	"March"	"19"	"14"	"Engine"
"1976"	"1976 Monaco F1 GP"	"March"	"0"	"DNQ"	"No Time"
"1976"	"1976 Belgian F1 GP"	"March"	"21"	"DNF"	"Engine"
"1976"	"1976 Spanish F1 GP"	"March"	"18"	"DNF"	"Gearbox"
"1976"	"1976 USA West F1 GP"	"March"	"0"	"DNQ"	"No Time"
"1975"	"1975 Italian F1 GP"	"Fittipaldi"	"26"	"11"	""
"1975"	"1975 Belgian F1 GP"	"Williams"	"19"	"DNF"	"Clutch"
"1975"	"1975 Monaco F1 GP"	"Williams"	"0"	"DNQ"	"No Time"
"1975"	"1975 Spanish F1 GP"	"Williams"	"25"	"DNF"	"Withdrew"
"1975"	"1975 South African F1 GP"	"Williams"	"15"	"DNF"	"Engine"
"1975"	"1975 Brazilian F1 GP"	"Williams"	"11"	"DNF"	"Fuel System"
"1975"	"1975 Argentine F1 GP"	"Williams"	"20"	"NC"	"Not Classified"
"1974"	"1974 USA F1 GP"	"Iso Marlboro"	"15"	"DNF"	"Electrical"
"1974"	"1974 Canadian F1 GP"	"Iso Marlboro"	"19"	"DNF"	"Handling"
"1974"	"1974 Italian F1 GP"	"Iso Marlboro"	"15"	"4"	""
"1974"	"1974 Austrian F1 GP"	"Iso Marlboro"	"9"	"DNF"	"Fuel System"
"1974"	"1974 German F1 GP"	"Iso Marlboro"	"16"	"DNF"	"Throttle"
"1974"	"1974 British F1 GP"	"Iso Marlboro"	"15"	"DNF"	"Engine"
"1974"	"1974 French F1 GP"	"Iso Marlboro"	"15"	"9"	""
"1974"	"1974 Dutch F1 GP"	"Iso Marlboro"	"21"	"DNF"	"Gearbox"
"1974"	"1974 Monaco F1 GP"	"Iso Marlboro"	"14"	"DNF"	"Collision"
"1974"	"1974 Belgian F1 GP"	"Iso Marlboro"	"6"	"DNF"	"Transmission"
"1974"	"1974 Spanish F1 GP"	"Iso Marlboro"	"7"	"DNF"	"Accident"
"1974"	"1974 South African F1 GP"	"Iso Marlboro"	"3"	"6"	""
"1974"	"1974 Brazilian F1 GP"	"Iso Marlboro"	"9"	"DNF"	"Throttle"
"1974"	"1974 Argentine F1 GP"	"Iso Marlboro"	"13"	"DNF"	"Overheating"
"1973"	"1973 USA F1 GP"	"Ferrari"	"11"	"16"	""
"1973"	"1973 Canadian F1 GP"	"Ferrari"	"20"	"15"	""
"1973"	"1973 Italian F1 GP"	"Ferrari"	"7"	"DNF"	"Suspension"
"1973"	"1973 Austrian F1 GP"	"Ferrari"	"6"	"7"	""
"1973"	"1973 French F1 GP"	"Ferrari"	"10"	"7"	""
"1973"	"1973 Monaco F1 GP"	"Ferrari"	"16"	"DNF"	"Oil Pressure"
"1973"	"1973 South African F1 GP"	"Ferrari"	"15"	"4"	""
"1973"	"1973 Brazilian F1 GP"	"Ferrari"	"17"	"4"	""
"1973"	"1973 Argentine F1 GP"	"Ferrari"	"14"	"9"	""
"1972"	"1972 German F1 GP"	"Ferrari"	"22"	"12"	""
"1972"	"1972 British F1 GP"	"Ferrari"	"9"	"6"	""
