"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1976"	"1976 British F1 GP"	"Brabham"	"22"	"DNF"	"Gearbox"
"1976"	"1976 USA West F1 GP"	"Team Lotus"	"0"	"DNQ"	"No Time"
"1976"	"1976 South African F1 GP"	"Team Lotus"	"23"	"10"	""
"1975"	"1975 Italian F1 GP"	"BRM"	"20"	"DNF"	"Electrical"
"1975"	"1975 Austrian F1 GP"	"BRM"	"24"	"DNF"	"Engine"
"1975"	"1975 French F1 GP"	"BRM"	"25"	"17"	""
"1975"	"1975 Dutch F1 GP"	"BRM"	"20"	"DNF"	"Differential"
"1975"	"1975 Swedish F1 GP"	"BRM"	"23"	"13"	""
"1975"	"1975 Belgian F1 GP"	"BRM"	"20"	"9"	""
"1975"	"1975 Monaco F1 GP"	"BRM"	"0"	"DNQ"	"No Time"
"1975"	"1975 Spanish F1 GP"	"BRM"	"23"	"DNF"	"Fuel System"
"1975"	"1975 South African F1 GP"	"BRM"	"24"	"15"	""
