"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"2018"	"2018 Abu Dhabi F1 GP"	"Toro Rosso"	"16"	"12"	""
"2018"	"2018 Brazilian F1 GP"	"Toro Rosso"	"16"	"11"	""
"2018"	"2018 Mexican F1 GP"	"Toro Rosso"	"14"	"14"	""
"2018"	"2018 USA F1 GP"	"Toro Rosso"	"20"	"9"	""
"2018"	"2018 Japanese F1 GP"	"Toro Rosso"	"6"	"13"	""
"2018"	"2018 Russian F1 GP"	"Toro Rosso"	"20"	"DNF"	"Brakes"
"2018"	"2018 Singapore F1 GP"	"Toro Rosso"	"17"	"17"	""
"2018"	"2018 Italian F1 GP"	"Toro Rosso"	"16"	"DNF"	"Collisiion damage"
"2018"	"2018 Belgian F1 GP"	"Toro Rosso"	"11"	"14"	""
"2018"	"2018 Hungarian F1 GP"	"Toro Rosso"	"8"	"11"	""
"2018"	"2018 German F1 GP"	"Toro Rosso"	"16"	"10"	""
"2018"	"2018 British F1 GP"	"Toro Rosso"	"20"	"DNF"	"Power Unit connector"
"2018"	"2018 Austrian F1 GP"	"Toro Rosso"	"19"	"DNF"	"Rear suspension"
"2018"	"2018 French F1 GP"	"Toro Rosso"	"20"	"14"	""
"2018"	"2018 Canadian F1 GP"	"Toro Rosso"	"12"	"DNF"	"Collision Stroll"
"2018"	"2018 Monaco F1 GP"	"Toro Rosso"	"15"	"19"	"Collision"
"2018"	"2018 Spanish F1 GP"	"Toro Rosso"	"20"	"12"	""
"2018"	"2018 Azerbijan F1 GP"	"Toro Rosso"	"19"	"10"	""
"2018"	"2018 Chinese F1 GP"	"Toro Rosso"	"15"	"DNF"	"Gearbox"
"2018"	"2018 Bahrain F1 GP"	"Toro Rosso"	"11"	"17"	""
"2018"	"2018 Australian F1 GP"	"Toro Rosso"	"16"	"15"	""
"2017"	"2017 Abu Dhabi F1 GP"	"Toro Rosso"	"20"	"15"	""
"2017"	"2017 Brazilian F1 GP"	"Toro Rosso"	"18"	"DNF"	"Power unit"
"2017"	"2017 Mexican F1 GP"	"Toro Rosso"	"17"	"DNF"	"Power unit"
"2017"	"2017 USA F1 GP"	"Toro Rosso"	"19"	"13"	""
