"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1978"	"1978 USA F1 GP"	"Ensign"	"24"	"13"	""
"1978"	"1978 Italian F1 GP"	"McLaren"	"21"	"DNF"	"Accident"
"1978"	"1978 Dutch F1 GP"	"McLaren"	"21"	"DNF"	"Engine"
"1978"	"1978 Austrian F1 GP"	"McLaren"	"17"	"8"	""
"1978"	"1978 German F1 GP"	"McLaren"	"0"	"DNPQ"	"No Time"
"1978"	"1978 British F1 GP"	"McLaren"	"24"	"8"	""
"1978"	"1978 French F1 GP"	"McLaren"	"24"	"DNF"	"Engine"
"1978"	"1978 Swedish F1 GP"	"McLaren"	"0"	"DNQ"	"No Time"
"1978"	"1978 Spanish F1 GP"	"McLaren"	"0"	"DNQ"	"No Time"
"1978"	"1978 Belgian F1 GP"	"McLaren"	"24"	"7"	""
"1978"	"1978 Monaco F1 GP"	"McLaren"	"0"	"DNPQ"	"No Time"
"1978"	"1978 USA West F1 GP"	"McLaren"	"0"	"DNQ"	"No Time"
"1978"	"1978 South African F1 GP"	"McLaren"	"20"	"11"	""
"1978"	"1978 Brazilian F1 GP"	"McLaren"	"13"	"DNF"	"Overheating"
"1978"	"1978 Argentine F1 GP"	"McLaren"	"24"	"13"	""
"1977"	"1977 Canadian F1 GP"	"McLaren"	"20"	"11"	"Engine"
"1977"	"1977 USA F1 GP"	"McLaren"	"17"	"10"	""
"1977"	"1977 Italian F1 GP"	"McLaren"	"19"	"DNF"	"Engine"
"1977"	"1977 Dutch F1 GP"	"McLaren"	"20"	"9"	""
"1977"	"1977 Austrian F1 GP"	"McLaren"	"17"	"10"	""
"1977"	"1977 German F1 GP"	"McLaren"	"21"	"DNF"	"Accident"
"1977"	"1977 British F1 GP"	"McLaren"	"19"	"13"	""
"1977"	"1977 French F1 GP"	"McLaren"	"0"	"DNQ"	"No Time"
"1977"	"1977 Swedish F1 GP"	"McLaren"	"22"	"11"	""
"1977"	"1977 Spanish F1 GP"	"March"	"28"	"10"	""
"1977"	"1977 USA West F1 GP"	"March"	"21"	"DNF"	"Accident"
"1977"	"1977 South African F1 GP"	"March"	"23"	"14"	""
"1976"	"1976 USA F1 GP"	"Surtees"	"24"	"11"	""
"1976"	"1976 Canadian F1 GP"	"Surtees"	"22"	"15"	""
"1976"	"1976 Italian F1 GP"	"Surtees"	"24"	"14"	""
"1976"	"1976 Austrian F1 GP"	"Surtees"	"16"	"10"	"Accident"
"1976"	"1976 German F1 GP"	"Surtees"	"24"	"DNF"	"Accident in first race"
"1976"	"1976 British F1 GP"	"Surtees"	"18"	"DNF"	"Gearbox"
"1976"	"1976 French F1 GP"	"Surtees"	"23"	"16"	""
"1976"	"1976 Swedish F1 GP"	"Surtees"	"24"	"15"	""
"1976"	"1976 Belgian F1 GP"	"Surtees"	"26"	"DNF"	"Electrical"
"1976"	"1976 Spanish F1 GP"	"Surtees"	"0"	"DNQ"	"No Time"
"1976"	"1976 USA West F1 GP"	"Surtees"	"0"	"DNQ"	"No Time"
"1976"	"1976 South African F1 GP"	"Surtees"	"20"	"11"	""
"1975"	"1975 USA F1 GP"	"Hesketh"	"18"	"DNF"	"Accident"
"1975"	"1975 Italian F1 GP"	"Hesketh"	"21"	"10"	""
"1975"	"1975 Austrian F1 GP"	"Hesketh"	"17"	"13"	""
