"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1974"	"1974 Monaco F1 GP"	"Shadow"	"16"	"DNF"	"Collision"
"1974"	"1974 Belgian F1 GP"	"Shadow"	"18"	"18"	"engine"
"1974"	"1974 Spanish F1 GP"	"Shadow"	"21"	"7"	""
"1973"	"1973 USA F1 GP"	"Shadow"	"13"	"DSQ"	"Received outside assistance"
"1972"	"1972 USA F1 GP"	"BRM"	"24"	"DNF"	"Engine"
"1972"	"1972 German F1 GP"	"McLaren"	"19"	"5"	""
"1972"	"1972 French F1 GP"	"McLaren"	"13"	"9"	""
"1972"	"1972 Monaco F1 GP"	"McLaren"	"10"	"5"	""
"1971"	"1971 South African F1 GP"	"Surtees"	"17"	"7"	""
"1970"	"1970 German F1 GP"	"De Tomaso"	"0"	"DNQ"	"No Time"
"1968"	"1968 Belgian F1 GP"	"Cooper-BRM"	"11"	"DNF"	"Spun Off"
"1968"	"1968 Spanish F1 GP"	"Cooper-BRM"	"13"	"3"	""
"1968"	"1968 South African F1 GP"	"Cooper-Maserati"	"21"	"DNF"	"Oil Leak"
"1968"	"1968 Spanish F1 GP"	"Cooper-BRM"	"13"	"3"	""
