"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1970"	"1970 Monaco F1 GP"	"McLaren"	"10"	"DNF"	"Suspension"
"1970"	"1970 Spanish F1 GP"	"McLaren"	"11"	"2"	""
"1970"	"1970 South African F1 GP"	"McLaren"	"10"	"DNF"	"Engine"
"1969"	"1969 Mexican F1 GP"	"McLaren"	"7"	"DNS"	"Non Starter"
"1969"	"1969 USA F1 GP"	"McLaren"	"6"	"DNF"	"Engine"
"1969"	"1969 Canadian F1 GP"	"McLaren"	"13"	"DNF"	"Oil Pressure"
"1969"	"1969 Canadian F1 GP"	"McLaren"	"9"	"5"	""
"1969"	"1969 Italian F1 GP"	"McLaren"	"5"	"4"	""
"1969"	"1969 German F1 GP"	"McLaren"	"8"	"3"	""
"1969"	"1969 British F1 GP"	"McLaren"	"7"	"3"	""
"1969"	"1969 French F1 GP"	"McLaren"	"7"	"4"	""
"1969"	"1969 Dutch F1 GP"	"McLaren"	"6"	"DNF"	"Suspension"
"1969"	"1969 Monaco F1 GP"	"McLaren"	"11"	"5"	""
"1969"	"1969 Spanish F1 GP"	"McLaren"	"13"	"2"	""
"1969"	"1969 South African F1 GP"	"McLaren"	"8"	"5"	""
"1968"	"1968 Mexican F1 GP"	"McLaren"	"9"	"2"	""
"1968"	"1968 USA F1 GP"	"McLaren"	"10"	"6"	""
"1968"	"1968 Canadian F1 GP"	"McLaren"	"8"	"2"	""
"1968"	"1968 Italian F1 GP"	"McLaren"	"2"	"DNF"	"Oil Leak"
"1968"	"1968 German F1 GP"	"McLaren"	"16"	"13"	""
"1968"	"1968 British F1 GP"	"McLaren"	"10"	"7"	""
"1968"	"1968 French F1 GP"	"McLaren"	"6"	"8"	""
"1968"	"1968 Dutch F1 GP"	"McLaren"	"8"	"DNF"	"Accident"
"1968"	"1968 Belgian F1 GP"	"McLaren"	"6"	"1"	""
"1968"	"1968 Monaco F1 GP"	"McLaren"	"7"	"DNF"	"Accident"
"1968"	"1968 Spanish F1 GP"	"McLaren"	"4"	"DNF"	"Oil Leak"
"1967"	"1967 Mexican F1 GP"	"McLaren"	"8"	"DNF"	"Oil Pressure"
"1967"	"1967 USA F1 GP"	"McLaren"	"9"	"DNF"	"Water Leak"
"1967"	"1967 Italian F1 GP"	"McLaren"	"3"	"DNF"	"Engine"
"1967"	"1967 Canadian F1 GP"	"McLaren"	"6"	"7"	""
"1967"	"1967 German F1 GP"	"Eagle"	"5"	"DNF"	"Oil Leak"
"1967"	"1967 British F1 GP"	"Eagle"	"10"	"DNF"	"Engine"
"1967"	"1967 French F1 GP"	"Eagle"	"5"	"DNF"	"Ignition"
"1967"	"1967 Dutch F1 GP"	"McLaren"	"14"	"DNF"	"Accident"
"1967"	"1967 Monaco F1 GP"	"McLaren"	"10"	"4"	""
"1966"	"1966 Mexican F1 GP"	"McLaren"	"14"	"DNF"	"Engine"
"1966"	"1966 USA F1 GP"	"McLaren"	"11"	"5"	""
"1966"	"1966 British F1 GP"	"McLaren"	"13"	"6"	""
"1966"	"1966 Belgian F1 GP"	"McLaren"	"0"	"DNS"	"Wheel bearing in practice"
"1966"	"1966 Monaco F1 GP"	"McLaren"	"10"	"DNF"	"Oil Leak"
"1965"	"1965 Mexican F1 GP"	"Cooper-Climax"	"15"	"DNF"	"Gearbox"
"1965"	"1965 USA F1 GP"	"Cooper-Climax"	"2"	"DNF"	"Oil Pressure"
"1965"	"1965 Italian F1 GP"	"Cooper-Climax"	"11"	"5"	""
"1965"	"1965 German F1 GP"	"Cooper-Climax"	"10"	"DNF"	"Gearbox"
"1965"	"1965 Dutch F1 GP"	"Cooper-Climax"	"9"	"DNF"	"Differential"
"1965"	"1965 British F1 GP"	"Cooper-Climax"	"11"	"10"	""
"1965"	"1965 French F1 GP"	"Cooper-Climax"	"9"	"DNF"	"Suspension"
"1965"	"1965 Belgian F1 GP"	"Cooper-Climax"	"9"	"3"	""
"1965"	"1965 Monaco F1 GP"	"Cooper-Climax"	"7"	"5"	""
"1965"	"1965 South African F1 GP"	"Cooper-Climax"	"8"	"5"	""
"1964"	"1964 Mexican F1 GP"	"Cooper-Climax"	"10"	"7"	""
"1964"	"1964 USA F1 GP"	"Cooper-Climax"	"5"	"DNF"	"Engine"
"1964"	"1964 Italian F1 GP"	"Cooper-Climax"	"5"	"2"	""
"1964"	"1964 Austrian F1 GP"	"Cooper-Climax"	"9"	"DNF"	"Engine"
"1964"	"1964 German F1 GP"	"Cooper-Climax"	"7"	"DNF"	"Engine"
"1964"	"1964 British F1 GP"	"Cooper-Climax"	"6"	"DNF"	"Gearbox"
"1964"	"1964 French F1 GP"	"Cooper-Climax"	"7"	"6"	""
"1964"	"1963 Belgian F1 GP"	"Cooper-Climax"	"7"	"2"	""
