"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1990"	"1990 Spanish F1 GP"	"Life"	"0"	"DNPQ"	"No Time"
"1990"	"1990 Portuguese F1 GP"	"Life"	"0"	"DNPQ"	"No Time"
"1990"	"1990 Italian F1 GP"	"Life"	"0"	"DNPQ"	"No Time"
"1990"	"1990 Belgian F1 GP"	"Life"	"0"	"DNPQ"	"No Time"
"1990"	"1990 Hungarian F1 GP"	"Life"	"0"	"DNPQ"	"No Time"
"1990"	"1990 German F1 GP"	"Life"	"0"	"DNPQ"	"No Time"
"1990"	"1990 British F1 GP"	"Life"	"0"	"DNPQ"	"No Time"
"1990"	"1990 French F1 GP"	"Life"	"0"	"DNPQ"	"No Time"
"1990"	"1990 Mexican F1 GP"	"Life"	"0"	"DNPQ"	"No Time"
"1990"	"1990 Canadian F1 GP"	"Life"	"0"	"DNPQ"	"No Time"
"1990"	"1990 Monaco F1 GP"	"Life"	"0"	"DNPQ"	"No Time"
"1990"	"1990 San Marino F1 GP"	"Life"	"0"	"DNPQ"	"No Time"
"1983"	"1983 South African F1 GP"	"Toleman"	"16"	"DNF"	"Turbo"
"1983"	"1983 European F1 GP"	"Toleman"	"12"	"6"	""
"1983"	"1983 Italian F1 GP"	"Toleman"	"14"	"7"	""
"1983"	"1983 Dutch F1 GP"	"Toleman"	"13"	"13"	"Spun Off"
"1983"	"1983 Austrian F1 GP"	"Toleman"	"7"	"DNF"	"Radiator"
"1983"	"1983 German F1 GP"	"Toleman"	"10"	"DNF"	"Turbo"
"1983"	"1983 British F1 GP"	"Toleman"	"12"	"DNF"	"Turbo"
"1983"	"1983 Canadian F1 GP"	"Toleman"	"10"	"DNF"	"Engine"
"1983"	"1983 Detroit F1 GP"	"Toleman"	"17"	"9"	""
"1983"	"1983 Belgian F1 GP"	"Toleman"	"16"	"8"	""
"1983"	"1983 Monaco F1 GP"	"Toleman"	"0"	"DNQ"	"No Time"
"1983"	"1983 San Marino F1 GP"	"Toleman"	"17"	"DNF"	"Suspension"
"1983"	"1983 French F1 GP"	"Toleman"	"13"	"13"	"Gearbox"
"1983"	"1983 USA West F1 GP"	"Toleman"	"14"	"DNF"	"Battery"
"1983"	"1983 Brazilian F1 GP"	"Toleman"	"15"	"DNF"	"Spun Off"
"1982"	"1982 Caesars Palace F1 GP"	"Alfa Romeo"	"16"	"10"	""
"1982"	"1982 Italian F1 GP"	"Alfa Romeo"	"8"	"DNF"	"Handling"
"1982"	"1982 Swiss F1 GP"	"Alfa Romeo"	"9"	"12"	""
"1982"	"1982 Austrian F1 GP"	"Alfa Romeo"	"13"	"DNF"	"Collision"
"1982"	"1982 German F1 GP"	"Alfa Romeo"	"11"	"5"	""
"1982"	"1982 French F1 GP"	"Alfa Romeo"	"8"	"9"	""
"1982"	"1982 British F1 GP"	"Alfa Romeo"	"14"	"7"	""
"1982"	"1982 Dutch F1 GP"	"Alfa Romeo"	"8"	"11"	""
"1982"	"1982 Canadian F1 GP"	"Alfa Romeo"	"5"	"DNF"	"Collision"
"1982"	"1982 Detroit F1 GP"	"Alfa Romeo"	"6"	"DNF"	"Collision"
"1982"	"1982 Monaco F1 GP"	"Alfa Romeo"	"3"	"DNF"	"Halfshaft"
"1982"	"1982 Belgian F1 GP"	"Alfa Romeo"	"15"	"DNF"	"Collision"
"1982"	"1982 San Marino F1 GP"	"Alfa Romeo"	"6"	"DNF"	"Engine"
"1982"	"1982 USA West F1 GP"	"Alfa Romeo"	"5"	"DNF"	"Collision"
"1982"	"1982 Brazilian F1 GP"	"Alfa Romeo"	"16"	"DNF"	"Clutch"
"1982"	"1982 South African F1 GP"	"Alfa Romeo"	"19"	"11"	""
"1981"	"1981 Caesars Palace F1 GP"	"Alfa Romeo"	"8"	"3"	""
"1981"	"1981 Canadian F1 GP"	"Alfa Romeo"	"15"	"4"	""
"1981"	"1981 Italian F1 GP"	"Alfa Romeo"	"10"	"8"	""
"1981"	"1981 Dutch F1 GP"	"Alfa Romeo"	"14"	"DNF"	"Tyre"
"1981"	"1981 Austrian F1 GP"	"Alfa Romeo"	"16"	"DNF"	"Fire"
"1981"	"1981 German F1 GP"	"Alfa Romeo"	"17"	"15"	""
"1981"	"1981 British F1 GP"	"Alfa Romeo"	"12"	"DNF"	"Transmission"
"1981"	"1981 French F1 GP"	"Alfa Romeo"	"12"	"15"	""
"1981"	"1981 Spanish F1 GP"	"Alfa Romeo"	"6"	"10"	""
"1981"	"1981 Monaco F1 GP"	"Alfa Romeo"	"18"	"DNF"	"Collision"
"1981"	"1981 Belgian F1 GP"	"Alfa Romeo"	"17"	"9"	""
"1981"	"1981 San Marino F1 GP"	"Alfa Romeo"	"11"	"DNF"	"Collision"
"1981"	"1981 Argentine F1 GP"	"Alfa Romeo"	"22"	"10"	"Out of Fuel"
"1981"	"1981 Brazilian F1 GP"	"Alfa Romeo"	"6"	"NC"	"Not Classified"
"1981"	"1981 USA West F1 GP"	"Alfa Romeo"	"9"	"DNF"	"Collision"
"1980"	"1980 USA F1 GP"	"Alfa Romeo"	"1"	"DNF"	"Electrical"
"1980"	"1980 Canadian F1 GP"	"Alfa Romeo"	"4"	"DNF"	"Chassis"
"1980"	"1980 Italian F1 GP"	"Alfa Romeo"	"4"	"DNF"	"Puncture"
"1980"	"1980 Dutch F1 GP"	"Alfa Romeo"	"8"	"DNF"	"Accident"
"1980"	"1980 Austrian F1 GP"	"Alfa Romeo"	"8"	"DNF"	"Wheel"
"1980"	"1980 German F1 GP"	"Alfa Romeo"	"19"	"5"	""
"1980"	"1980 British F1 GP"	"Alfa Romeo"	"6"	"DNF"	"Spun Off"
"1980"	"1980 French F1 GP"	"Alfa Romeo"	"9"	"DNF"	"Handling"
"1980"	"1980 Monaco F1 GP"	"Alfa Romeo"	"8"	"DNF"	"Accident"
"1980"	"1980 Belgian F1 GP"	"Alfa Romeo"	"18"	"DNF"	"Suspension"
"1980"	"1980 USA West F1 GP"	"Alfa Romeo"	"6"	"DNF"	"Accident"
"1980"	"1980 South African F1 GP"	"Alfa Romeo"	"12"	"DNF"	"Engine"
"1980"	"1980 Brazilian F1 GP"	"Alfa Romeo"	"17"	"13"	""
"1980"	"1980 Argentine F1 GP"	"Alfa Romeo"	"20"	"5"	""
"1979"	"1979 USA F1 GP"	"Alfa Romeo"	"18"	"DNF"	"Spun Off"
"1979"	"1979 Italian F1 GP"	"Alfa Romeo"	"18"	"DNF"	"Spun Off"
"1979"	"1979 French F1 GP"	"Alfa Romeo"	"17"	"17"	""
"1979"	"1979 Belgian F1 GP"	"Alfa Romeo"	"14"	"DNF"	"Accident"
"1978"	"1978 Italian F1 GP"	"McLaren"	"20"	"14"	""
"1978"	"1978 Dutch F1 GP"	"McLaren"	"19"	"DNF"	"Spun Off"
"1978"	"1978 British F1 GP"	"McLaren"	"16"	"7"	""
"1978"	"1978 French F1 GP"	"McLaren"	"22"	"DNF"	"Engine"
