"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1964"	"1964 Dutch F1 GP"	"Porsche"	"17"	"DNF"	"Engine"
"1963"	"1963 South African F1 GP"	"Porsche"	"20"	"10"	""
"1963"	"1963 Mexican F1 GP"	"Porsche"	"18"	"10"	""
"1963"	"1963 USA F1 GP"	"Porsche"	"19"	"6"	""
"1963"	"1963 Italian F1 GP"	"Porsche"	"0"	"DNQ"	"No Time"
"1963"	"1963 German F1 GP"	"Porsche"	"17"	"DNF"	"Wheel"
"1963"	"1963 British F1 GP"	"Porsche"	"21"	"10"	""
"1963"	"1963 Dutch F1 GP"	"Porsche"	"19"	"9"	""
"1963"	"1963 Belgian F1 GP"	"Porsche"	"18"	"6"	""
"1963"	"1963 Monaco F1 GP"	"Porsche"	"0"	"WD"	"No Time"
"1962"	"1962 South African F1 GP"	"Porsche"	"16"	"11"	"Fuel system"
"1962"	"1962 USA F1 GP"	"Porsche"	"14"	"DNF"	"Accident"
"1962"	"1962 Italian F1 GP"	"Porsche"	"20"	"10"	""
"1962"	"1962 German F1 GP"	"Porsche"	"8"	"13"	""
"1962"	"1962 British F1 GP"	"Porsche"	"17"	"14"	""
"1962"	"1962 French F1 GP"	"Porsche"	"17"	"6"	""
"1962"	"1962 Belgian F1 GP"	"Porsche"	"13"	"7"	""
"1962"	"1962 Monaco F1 GP"	"Porsche"	"0"	"DNQ"	"No Time"
"1962"	"19625 Dutch F1 GP"	"Porsche"	"14"	"6"	""
"1961"	"1961 Italian F1 GP"	"Porsche"	"15"	"7"	""
"1961"	"1961 German F1 GP"	"Porsche"	"17"	"14"	""
"1961"	"1961 British F1 GP"	"Porsche"	"18"	"16"	""
"1961"	"1961 French F1 GP"	"Porsche"	"17"	"DNF"	"Overheating"
"1961"	"1961 Belgian F1 GP"	"Porsche"	"14"	"11"	""
"1961"	"1961 Dutch F1 GP"	"Porsche"	"17"	"14"	""
"1960"	"1960 Dutch F1 GP"	"Cooper-Climax"	"18"	"8"	""
"1959"	"1959 French F1 GP"	"Maserati"	"20"	"9"	""
"1959"	"1959 Dutch F1 GP"	"Porsche"	"14"	"10"	""
"1958"	"1958 German F1 GP"	"Porsche"	"15"	"DNF"	"Engine"
"1958"	"1958 Dutch F1 GP"	"Porsche"	"17"	"11"	""
"1957"	"1957 German F1 GP"	"Porsche"	"20"	"14"	""
