"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1960"	"1960 Argentine F1 GP"	"Cooper-Maserati"	"12"	"4"	""
"1958"	"1958 Argentine F1 GP"	"Maserati"	"6"	"7"	""
"1957"	"1957 British F1 GP"	"Maserati"	"11"	"DNF"	"Transmission"
"1957"	"1957 French F1 GP"	"Maserati"	"9"	"DNF"	"Engine"
"1957"	"1957 Monaco F1 GP"	"Maserati"	"7"	"DNF"	"Spun Off"
"1957"	"1957 Argentine F1 GP"	"Maserati"	"8"	"3"	""
"1956"	"1956 Argentine F1 GP"	"Maserati"	"6"	"DNF"	"Halfshaft"
"1955"	"1955 Italian F1 GP"	"Maserati"	"16"	"5"	""
"1955"	"1955 Argentine F1 GP"	"Maserati"	"13"	"DNF"	"Accident"
"1955"	"1955 Argentine F1 GP"	"Maserati"	"20"	"DNF"	"Fuel Pressure"
"1954"	"1954 Argentine F1 GP"	"Maserati"	"9"	"DNS"	"Non Starter, Engine"
"1953"	"1953 Argentine F1 GP"	"Gordini"	"10"	"DNF"	"Gearbox"
"1957"	"1957 Argentine F1 GP"	"Maserati"	"8"	"3"	""
