"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"2021"	"2021 Abu Dhabi F1 GP"	"Ferrari"	"5"	"3"	""
"2021"	"2021 Saudi Arabian F1 GP"	"Ferrari"	"15"	"8"	""
"2021"	"2021 Qatar F1 GP"	"Ferrari"	"5"	"7"	""
"2021"	"2021 Brazilian F1 GP"	"Ferrari"	"3"	"6"	""
"2021"	"2021 Mexico F1 GP"	"Ferrari"	"6"	"6"	""
"2021"	"2021 USA F1 GP"	"Ferrari"	"5"	"7"	""
"2021"	"2021 Turkish F1 GP"	"Ferrari"	"19"	"8"	""
"2021"	"2021 Russian F1 GP"	"Ferrari"	"2"	"3"	""
"2021"	"2021 Italian F1 GP"	"Ferrari"	"6"	"6"	""
"2021"	"2021 Dutch F1 GP"	"Ferrari"	"6"	"7"	""
"2021"	"2021 Belgian F1 GP"	"Ferrari"	"10"	"10"	""
"2021"	"2021 Hungarian F1 GP"	"Ferrari"	"15"	"3"	""
"2021"	"2021 British F1 GP"	"Ferrari"	"10"	"6"	""
"2021"	"2021 Austrian F1 GP"	"Ferrari"	"10"	"5"	""
"2021"	"2021 Styrian F1 GP"	"Ferrari"	"12"	"6"	""
"2021"	"2021 French F1 GP"	"Ferrari"	"5"	"11"	""
"2021"	"2021 Azerbaijan F1 GP"	"Ferrari"	"5"	"8"	""
"2021"	"2021 Monaco F1 GP"	"Ferrari"	"3"	"2"	""
"2021"	"2021 Spanish F1 GP"	"Ferrari"	"6"	"7"	""
"2021"	"2021 Portuguese F1 GP"	"Ferrari"	"5"	"11"	""
"2021"	"2021 E. Romagna F1 GP"	"Ferrari"	"11"	"5"	""
"2021"	"2021 Bahrain F1 GP"	"Ferrari"	"8"	"8"	""
"2020"	"2020 Abu Dhabi F1 GP"	"McLaren"	"6"	"6"	""
"2020"	"2020 Sakhir F1 GP"	"McLaren"	"8"	"4"	""
"2020"	"2020 Bahrain F1 GP"	"McLaren"	"15"	"5"	""
"2020"	"2020 Turkish F1 GP"	"McLaren"	"16"	"5"	""
"2020"	"2020 E. Romagna F1 GP"	"McLaren"	"10"	"7"	""
"2020"	"2020 Portuguese F1 GP"	"McLaren"	"7"	"6"	""
"2020"	"2020 Eifel F1 GP"	"McLaren"	"10"	"5"	""
"2020"	"2020 Russian F1 GP"	"McLaren"	"6"	"DNF"	"Crashed"
"2020"	"2020 Tuscan F1 GP"	"McLaren"	"9"	"DNF"	"Crashed"
"2020"	"2020 Italian F1 GP"	"McLaren"	"3"	"2"	""
"2020"	"2020 Belgian F1 GP"	"McLaren"	"7"	"DNS"	"Engine"
"2020"	"2020 Spanish F1 GP"	"McLaren"	"7"	"6"	""
"2020"	"70th Anniversary F1 GP"	"McLaren"	"12"	"13"	""
"2020"	"2020 British F1 GP"	"McLaren"	"7"	"13"	""
"2020"	"2020 Hungarian F1 GP"	"McLaren"	"9"	"9"	""
"2020"	"2020 Styrian F1 GP"	"McLaren"	"3"	"9"	""
"2020"	"2020 Austrian F1 GP"	"McLaren"	"8"	"5"	""
"2019"	"2019 Abu Dhabi F1 GP"	"McLaren"	"8"	"10"	""
"2019"	"2019 Brazilian F1 GP"	"McLaren"	"20"	"3"	""
"2019"	"2019 USA F1 GP"	"McLaren"	"7"	"8"	""
"2019"	"2019 Mexican F1 GP"	"McLaren"	"7"	"13"	""
"2019"	"2019 Japanese F1 GP"	"McLaren"	"7"	"5"	""
"2019"	"2019 Russian F1 GP"	"McLaren"	"5"	"6"	""
"2019"	"2019 Singapore F1 GP"	"McLaren"	"7"	"12"	""
"2019"	"2019 Italian F1 GP"	"McLaren"	"7"	"DNF"	"Wheel nut"
"2019"	"2019 Belgian F1 GP"	"McLaren"	"16"	"DNF"	"Technical"
"2019"	"2019 Hungarian F1 GP"	"McLaren"	"8"	"5"	""
"2019"	"2019 German F1 GP"	"McLaren"	"7"	"5"	""
"2019"	"2019 British F1 GP"	"McLaren"	"13"	"6"	""
"2019"	"2019 Austrian F1 GP"	"McLaren"	"19"	"8"	""
"2019"	"2019 French F1 GP"	"McLaren"	"6"	"6"	""
"2019"	"2019 Canadian F1 GP"	"McLaren"	"11"	"11"	""
"2019"	"2019 Monaco F1 GP"	"McLaren"	"9"	"6"	""
"2019"	"2019 Spanish F1 GP"	"McLaren"	"12"	"8"	""
"2019"	"2019 Azerbaijan F1 GP"	"McLaren"	"9"	"7"	""
"2019"	"2019 Chinese F1 GP"	"McLaren"	"14"	"14"	""
"2019"	"2019 Bahrain F1 GP"	"McLaren"	"7"	"19"	"Technical"
"2019"	"2019 Australian F1 GP"	"McLaren"	"18"	"DNF"	"MGU-K"
"2018"	"2018 Abu Dhabi F1 GP"	"Renault"	"11"	"6"	""
"2018"	"2018 Brazilian F1 GP"	"Renault"	"15"	"12"	""
"2018"	"2018 Mexican F1 GP"	"Renault"	"8"	"DNF"	"Battery"
"2018"	"2018 USA F1 GP"	"Renault"	"11"	"7"	""
"2018"	"2018 Japanese F1 GP"	"Renault"	"13"	"10"	""
"2018"	"2018 Russian F1 GP"	"Renault"	"11"	"17"	""
"2018"	"2018 Singapore F1 GP"	"Renault"	"12"	"8"	""
"2018"	"2018 Italian F1 GP"	"Renault"	"7"	"8"	""
"2018"	"2018 Belgian F1 GP"	"Renault"	"19"	"11"	""
"2018"	"2018 Hungarian F1 GP"	"Renault"	"7"	"9"	""
"2018"	"2018 German F1 GP"	"Renault"	"8"	"12"	""
"2018"	"2018 British F1 GP"	"Renault"	"16"	"DNF"	"Collision with Grosjean"
"2018"	"2018 Austrian F1 GP"	"Renault"	"9"	"12"	""
"2018"	"2018 French F1 GP"	"Renault"	"7"	"8"	""
"2018"	"2018 Canadian F1 GP"	"Renault"	"9"	"8"	""
"2018"	"2018 Monaco F1 GP"	"Renault"	"8"	"10"	""
"2018"	"2018 Spanish F1 GP"	"Renault"	"9"	"7"	""
"2018"	"2018 Azerbijan F1 GP"	"Renault"	"9"	"5"	""
"2018"	"2018 Chinese F1 GP"	"Renault"	"9"	"9"	""
"2018"	"2018 Bahrain F1 GP"	"Renault"	"10"	"11"	""
"2018"	"2018 Australian F1 GP"	"Renault"	"9"	"10"	""
"2017"	"2017 Abu Dhabi F1 GP"	"Renault"	"12"	"DNF"	"Wheelnut"
"2017"	"2017 Brazilian F1 GP"	"Renault"	"8"	"11"	""
"2017"	"2017 Mexican F1 GP"	"Renault"	"8"	"DNF"	"Steering"
"2017"	"2017 USA F1 GP"	"Renault"	"7"	"7"	""
"2017"	"2017 Japanese F1 GP"	"Toro Rosso"	"19"	"DNF"	"Spun off"
"2017"	"2017 Malaysian F1 GP"	"Toro Rosso"	"14"	"DNF"	"Power unit"
"2017"	"2017 Singapore F1 GP"	"Toro Rosso"	"10"	"4"	""
"2017"	"2017 Italian F1 GP"	"Toro Rosso"	"15"	"14"	""
"2017"	"2017 Belgian F1 GP"	"Toro Rosso"	"13"	"10"	""
"2017"	"2017 Hungarian F1 GP"	"Toro Rosso"	"9"	"7"	""
"2017"	"2017 British F1 GP"	"Toro Rosso"	"13"	"DNF"	"Collision with Kvyat"
"2017"	"2017 Austrian F1 GP"	"Toro Rosso"	"10"	"DNF"	"Engine"
"2017"	"2017 Azerbaijan F1 GP"	"Toro Rosso"	"15"	"8"	""
"2017"	"2017 Canadian F1 GP"	"Toro Rosso"	"13"	"DNF"	"Collision"
"2017"	"2017 Monaco F1 GP"	"Toro Rosso"	"6"	"6"	""
"2017"	"2017 Spanish F1 GP"	"Toro Rosso"	"12"	"7"	""
"2017"	"2017 Russian F1 GP"	"Toro Rosso"	"14"	"10"	""
"2017"	"2017 Bahrain F1 GP"	"Toro Rosso"	"16"	"DNF"	"Collision"
"2017"	"2017 Chinese F1 GP"	"Toro Rosso"	"11"	"7"	""
"2017"	"2017 Australian F1 GP"	"Toro Rosso"	"8"	"8"	""
"2016"	"2016 Abu Dhabi F1 GP"	"Toro Rosso"	"21"	"DNF"	"Collision damage"
"2016"	"2016 Brazilian F1 GP"	"Toro Rosso"	"15"	"6"	""
"2016"	"2016 Mexican F1 GP"	"Toro Rosso"	"10"	"16"	""
"2016"	"2016 USA F1 GP"	"Toro Rosso"	"10"	"6"	""
"2016"	"2016 Japanese F1 GP"	"Toro Rosso"	"14"	"17"	""
"2016"	"2016 Malaysian F1 GP"	"Toro Rosso"	"16"	"11"	""
"2016"	"2016 Singapore F1 GP"	"Toro Rosso"	"6"	"14"	""
"2016"	"2016 Italian F1 GP"	"Toro Rosso"	"15"	"15"	""
"2016"	"2016 Belgian F1 GP"	"Toro Rosso"	"14"	"DNF"	"Puncture"
"2016"	"2016 German F1 GP"	"Toro Rosso"	"13"	"14"	""
"2016"	"2016 Hungarian F1 GP"	"Toro Rosso"	"6"	"8"	""
"2016"	"2016 British F1 GP"	"Toro Rosso"	"7"	"8"	""
"2016"	"2016 Austrian F1 GP"	"Toro Rosso"	"15"	"8"	""
