"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"2021"	"2021 Abu Dhabi F1 GP"	"Ferrari"	"7"	"10"	""
"2021"	"2021 Saudi Arabian F1 GP"	"Ferrari"	"4"	"7"	""
"2021"	"2021 Qatar F1 GP"	"Ferrari"	"13"	"8"	""
"2021"	"2021 Brazilian F1 GP"	"Ferrari"	"6"	"5"	""
"2021"	"2021 Mexico F1 GP"	"Ferrari"	"8"	"5"	""
"2021"	"2021 USA F1 GP"	"Ferrari"	"4"	"4"	""
"2021"	"2021 Turkish F1 GP"	"Ferrari"	"3"	"4"	""
"2021"	"2021 Russian F1 GP"	"Ferrari"	"19"	"15"	""
"2021"	"2021 Italian F1 GP"	"Ferrari"	"5"	"4"	""
"2021"	"2021 Dutch F1 GP"	"Ferrari"	"5"	"5"	""
"2021"	"2021 Belgian F1 GP"	"Ferrari"	"8"	"8"	""
"2021"	"2021 Hungarian F1 GP"	"Ferrari"	"7"	"DNF"	"Collision"
"2021"	"2021 British F1 GP"	"Ferrari"	"4"	"2"	""
"2021"	"2021 Austrian F1 GP"	"Ferrari"	"12"	"8"	""
"2021"	"2021 Styrian F1 GP"	"Ferrari"	"7"	"7"	""
"2021"	"2021 French F1 GP"	"Ferrari"	"7"	"16"	""
"2021"	"2021 Azerbaijan F1 GP"	"Ferrari"	"1"	"4"	""
"2021"	"2021 Monaco F1 GP"	"Ferrari"	"1"	"DNS"	"Driveshaft"
"2021"	"2021 Spanish F1 GP"	"Ferrari"	"4"	"4"	""
"2021"	"2021 Portuguese F1 GP"	"Ferrari"	"8"	"6"	""
"2021"	"2021 E. Romagna F1 GP"	"Ferrari"	"4"	"4"	""
"2021"	"2021 Bahrain F1 GP"	"Ferrari"	"4"	"6"	""
"2020"	"2020 Abu Dhabi F1 GP"	"Ferrari"	"12"	"13"	""
"2020"	"2020 Sakhir F1 GP"	"Ferrari"	"4"	"DNF"	"Collision damage"
"2020"	"2020 Bahrain F1 GP"	"Ferrari"	"12"	"10"	""
"2020"	"2020 Turkish F1 GP"	"Ferrari"	"12"	"4"	""
"2020"	"2020 E. Romagna F1 GP"	"Ferrari"	"7"	"5"	""
"2020"	"2020 Portuguese F1 GP"	"Ferrari"	"4"	"4"	""
"2020"	"2020 Eifel F1 GP"	"Ferrari"	"7"	"7"	""
"2020"	"2020 Russian F1 GP"	"Ferrari"	"10"	"6"	""
"2020"	"2020 Tuscan F1 GP"	"Ferrari"	"5"	"8"	""
"2020"	"2020 Italian F1 GP"	"Ferrari"	"13"	"DNF"	"Crashed"
"2020"	"2020 Belgian F1 GP"	"Ferrari"	"13"	"14"	""
"2020"	"2020 Spanish F1 GP"	"Ferrari"	"9"	"DNF"	"electrical"
"2020"	"70th Anniversary F1 GP"	"Ferrari"	"8"	"4"	""
"2020"	"2020 British F1 GP"	"Ferrari"	"4"	"3"	""
"2020"	"2020 Hungarian F1 GP"	"Ferrari"	"6"	"11"	""
"2020"	"2020 Styrian F1 GP"	"Ferrari"	"14"	"DNF"	"Collision damage"
"2020"	"2020 Austrian F1 GP"	"Ferrari"	"7"	"2"	""
"2019"	"2019 Abu Dhabi F1 GP"	"Ferrari"	"3"	"3"	""
"2019"	"2019 Brazilian F1 GP"	"Ferrari"	"14"	"18"	"Collision damage"
"2019"	"2019 USA F1 GP"	"Ferrari"	"4"	"4"	""
"2019"	"2019 Mexican F1 GP"	"Ferrari"	"1"	"4"	""
"2019"	"2019 Japanese F1 GP"	"Ferrari"	"2"	"6"	""
"2019"	"2019 Russian F1 GP"	"Ferrari"	"1"	"3"	""
"2019"	"2019 Singapore F1 GP"	"Ferrari"	"1"	"2"	""
"2019"	"2019 Italian F1 GP"	"Ferrari"	"1"	"1"	""
"2019"	"2019 Belgian F1 GP"	"Ferrari"	"1"	"1"	""
