"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"2013"	"2013 Brazilian F1 GP"	"Caterham"	"18"	"DNF"	"Suspension"
"2013"	"2013 USA F1 GP"	"Caterham"	"22"	"20"	""
"2013"	"2013 Abu Dhabi F1 GP"	"Caterham"	"19"	"19"	""
"2013"	"2013 Indian F1 GP"	"Caterham"	"21"	"DNF"	"Hydraulics"
"2013"	"2013 Japanese F1 GP"	"Caterham"	"20"	"18"	""
"2013"	"2013 Korean F1 GP"	"Caterham"	"19"	"14"	""
"2013"	"2013 Singapore F1 GP"	"Caterham"	"19"	"19"	""
"2013"	"2013 Italian F1 GP"	"Caterham"	"20"	"17"	""
"2013"	"2013 Belgian F1 GP"	"Caterham"	"22"	"DNF"	"Oil leak"
"2013"	"2013 Hungarian F1 GP"	"Caterham"	"19"	"15"	""
"2013"	"2013 German F1 GP"	"Caterham"	"22"	"17"	""
"2013"	"2013 British F1 GP"	"Caterham"	"18"	"15"	""
"2013"	"2013 Canadian F1 GP"	"Caterham"	"18"	"18"	""
"2013"	"2013 Monaco F1 GP"	"Caterham"	"18"	"DNF"	"Engine"
"2013"	"2013 Spanish F1 GP"	"Caterham"	"22"	"17"	""
"2013"	"2013 Bahrain F1 GP"	"Caterham"	"18"	"17"	""
"2013"	"2013 Chinese F1 GP"	"Caterham"	"20"	"16"	""
"2013"	"2013 Malaysian F1 GP"	"Caterham"	"20"	"14"	""
"2013"	"2013 Australian F1 GP"	"Caterham"	"22"	"16"	""
"2012"	"2012 Brazilian F1 GP"	"Manor"	"22"	"12"	""
"2012"	"2012 USA F1 GP"	"Manor"	"20"	"20"	""
"2012"	"2012 Abu Dhabi F1 GP"	"Manor"	"19"	"DNF"	"Engine"
"2012"	"2012 Indian F1 GP"	"Manor"	"24"	"19"	""
"2012"	"2012 Korean F1 GP"	"Manor"	"21"	"19"	""
"2012"	"2012 Japanese F1 GP"	"Manor"	"21"	"DNF"	"Technical"
"2012"	"2012 Singapore F1 GP"	"Manor"	"22"	"16"	""
"2012"	"2012 Italian F1 GP"	"Manor"	"21"	"16"	""
"2012"	"2012 Belgian F1 GP"	"Manor"	"22"	"16"	""
"2012"	"2012 Hungarian F1 GP"	"Manor"	"21"	"20"	""
"2012"	"2012 German F1 GP"	"Manor"	"20"	"20"	""
"2012"	"2012 British F1 GP"	"Manor"	"24"	"19"	""
"2012"	"2012 European F1 GP"	"Manor"	"23"	"15"	""
"2012"	"2012 Canadian F1 GP"	"Manor"	"20"	"20"	""
"2012"	"2012 Monaco F1 GP"	"Manor"	"21"	"DNF"	"Driveshaft failure"
"2012"	"2012 Spanish F1 GP"	"Manor"	"20"	"DNF"	"Halfshaft"
"2012"	"2012 Bahrain F1 GP"	"Manor"	"19"	"DNF"	"Engine"
"2012"	"2012 Chinese F1 GP"	"Manor"	"21"	"20"	""
"2012"	"2012 Malaysian F1 GP"	"Manor"	"21"	"20"	""
"2012"	"2012 Australian F1 GP"	"Manor"	"21"	"15"	"Oil pressure"
