"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1983"	"1983 Monaco F1 GP"	"Arrows"	"15"	"7"	""
"1983"	"1983 San Marino F1 GP"	"Arrows"	"20"	"8"	""
"1983"	"1983 French F1 GP"	"Arrows"	"26"	"DNF"	"Gearbox"
"1983"	"1983 Brazilian F1 GP"	"Arrows"	"23"	"9"	""
"1982"	"1982 Caesars Palace F1 GP"	"Fittipaldi"	"0"	"DNQ"	"No Time"
"1982"	"1982 Italian F1 GP"	"Fittipaldi"	"26"	"11"	""
"1982"	"1982 Swiss F1 GP"	"Fittipaldi"	"0"	"DNQ"	"No Time"
"1982"	"1982 Austrian F1 GP"	"Fittipaldi"	"20"	"7"	""
"1982"	"1982 German F1 GP"	"Fittipaldi"	"25"	"11"	""
"1982"	"1982 British F1 GP"	"Fittipaldi"	"21"	"DNF"	"Collision"
"1982"	"1982 Dutch F1 GP"	"Fittipaldi"	"19"	"DNF"	"Fuel System"
"1982"	"1982 Canadian F1 GP"	"Fittipaldi"	"0"	"DNQ"	"No Time"
"1982"	"1982 Detroit F1 GP"	"Fittipaldi"	"26"	"11"	""
"1982"	"1982 Monaco F1 GP"	"Fittipaldi"	"0"	"DNPQ"	"No Time"
"1982"	"1982 Belgian F1 GP"	"Fittipaldi"	"23"	"6"	""
"1982"	"1982 USA West F1 GP"	"Fittipaldi"	"0"	"DNQ"	"No Time"
"1982"	"1982 Brazilian F1 GP"	"Fittipaldi"	"25"	"DNF"	"Suspension"
"1982"	"1982 South African F1 GP"	"Fittipaldi"	"25"	"17"	""
"1981"	"1981 Caesars Palace F1 GP"	"Fittipaldi"	"0"	"DNQ"	"No Time"
"1981"	"1981 Canadian F1 GP"	"Fittipaldi"	"0"	"DNQ"	"No Time"
"1981"	"1981 Italian F1 GP"	"Fittipaldi"	"0"	"DNQ"	"No Time"
"1981"	"1981 Dutch F1 GP"	"Fittipaldi"	"0"	"DNQ"	"No Time"
"1981"	"1981 German F1 GP"	"Fittipaldi"	"0"	"DNQ"	"No Time"
"1981"	"1981 British F1 GP"	"Fittipaldi"	"0"	"DNQ"	"No Time"
"1981"	"1981 French F1 GP"	"Fittipaldi"	"24"	"DNS"	"Non starter"
"1981"	"1981 Spanish F1 GP"	"Fittipaldi"	"21"	"11"	""
"1981"	"1981 Monaco F1 GP"	"Fittipaldi"	"0"	"DNQ"	"No Time"
"1981"	"1981 Belgian F1 GP"	"Fittipaldi"	"20"	"DNF"	"Engine"
"1981"	"1981 San Marino F1 GP"	"Fittipaldi"	"0"	"DNQ"	"No Time"
"1981"	"1981 Argentine F1 GP"	"Fittipaldi"	"20"	"DNF"	"Gearbox"
"1981"	"1981 Brazilian F1 GP"	"Fittipaldi"	"22"	"DNF"	"Collision"
"1981"	"1981 USA West F1 GP"	"Fittipaldi"	"18"	"7"	""
