"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1976"	"1976 Canadian F1 GP"	"Wolf-Williams"	"0"	"DNS"	"Practice accident"
"1976"	"1976 German F1 GP"	"Ensign"	"17"	"DNF"	"Withdrew after first race"
"1976"	"1976 British F1 GP"	"Ensign"	"6"	"DNF"	"Water leak"
"1976"	"1976 Swedish F1 GP"	"Ensign"	"3"	"DNF"	"Accident"
"1976"	"1976 Monaco F1 GP"	"Ensign"	"0"	"13"	""
"1976"	"1976 Belgian F1 GP"	"Ensign"	"8"	"DNF"	"Accident"
"1976"	"1976 Spanish F1 GP"	"Ensign"	"10"	"5"	""
"1976"	"1976 USA West F1 GP"	"Ensign"	"17"	"8"	""
"1976"	"1976 South African F1 GP"	"Ensign"	"18"	"14"	""
"1975"	"1975 Italian F1 GP"	"Ensign"	"19"	"12"	""
"1975"	"1975 Austrian F1 GP"	"Ensign"	"23"	"12"	""
"1974"	"1974 USA F1 GP"	"BRM"	"12"	"9"	""
"1974"	"1974 Canadian F1 GP"	"BRM"	"25"	"NC"	"Not Classified"
"1974"	"1974 Italian F1 GP"	"Amon"	"0"	"DNQ"	"No Time"
"1974"	"1974 German F1 GP"	"Amon"	"0"	"DNQ"	"No Time"
"1974"	"1974 Monaco F1 GP"	"Amon"	"20"	"DNS"	"No Time"
"1974"	"1974 Spanish F1 GP"	"Amon"	"23"	"DNF"	"Brakes"
"1973"	"1973 USA F1 GP"	"Tyrrell"	"12"	"WD"	"Withdrew"
"1973"	"1973 Canadian F1 GP"	"Tyrrell"	"11"	"10"	""
"1973"	"1973 Dutch F1 GP"	"Tecno"	"19"	"DNF"	"Fuel System"
"1973"	"1973 British F1 GP"	"Tecno"	"29"	"DNF"	"Fuel system"
"1973"	"1973 Monaco F1 GP"	"Tecno"	"12"	"DNF"	"Overheating"
"1973"	"1973 Belgian F1 GP"	"Tecno"	"15"	"6"	""
"1972"	"1972 USA F1 GP"	"Matra"	"7"	"15"	""
"1972"	"1972 Canadian F1 GP"	"Matra"	"10"	"6"	""
"1972"	"1972 Italian F1 GP"	"Matra"	"2"	"DNF"	"Brakes"
"1972"	"1972 Austrian F1 GP"	"Matra"	"6"	"5"	""
