"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1967"	"1967 Mexican F1 GP"	"BRM"	"15"	"DNF"	"Oil Leak"
"1967"	"1967 USA F1 GP"	"BRM"	"14"	"DNF"	"Engine"
"1967"	"1967 Italian F1 GP"	"BRM"	"16"	"DNF"	"Injection"
"1967"	"1967 Canadian F1 GP"	"BRM"	"11"	"DNF"	"Spun Off"
"1967"	"1967 German F1 GP"	"BRM"	"15"	"9"	""
"1967"	"1967 British F1 GP"	"BRM"	"13"	"7"	""
"1967"	"1967 French F1 GP"	"BRM"	"9"	"5"	"Engine"
"1967"	"1967 Belgian F1 GP"	"BRM"	"15"	"DNF"	"Engine"
"1967"	"1967 Dutch F1 GP"	"Team Lotus"	"13"	"7"	""
"1966"	"1966 British F1 GP"	"Brabham"	"12"	"7"	""
