"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1994"	"1994 Australian F1 GP"	"Footwork"	"19"	"8"	""
"1994"	"1994 Japanese F1 GP"	"Footwork"	"18"	"8"	""
"1994"	"1994 European F1 GP"	"Footwork"	"19"	"17"	""
"1994"	"1994 Portuguese F1 GP"	"Footwork"	"11"	"8"	""
"1994"	"1994 Italian F1 GP"	"Footwork"	"19"	"DNF"	"Engine"
"1994"	"1994 Belgian F1 GP"	"Footwork"	"24"	"DNF"	"Engine"
"1994"	"1994 Hungarian F1 GP"	"Footwork"	"16"	"14"	"Transmission"
"1994"	"1994 German F1 GP"	"Footwork"	"17"	"4"	""
"1994"	"1994 British F1 GP"	"Footwork"	"20"	"9"	""
"1994"	"1994 French F1 GP"	"Footwork"	"18"	"8"	""
"1994"	"1994 Canadian F1 GP"	"Footwork"	"16"	"DSQ"	"Disqualified"
"1994"	"1994 Spanish F1 GP"	"Footwork"	"21"	"DNF"	"Engine"
"1994"	"1994 Monaco F1 GP"	"Footwork"	"6"	"DNF"	"Gearbox"
"1994"	"1994 San Marino F1 GP"	"Footwork"	"16"	"13"	"Spun off"
"1994"	"1994 Pacific F1 GP"	"Footwork"	"9"	"4"	""
"1994"	"1994 Brazilian F1 GP"	"Footwork"	"11"	"DNF"	"Gearbox"
"1993"	"1993 Portuguese F1 GP"	"Minardi"	"24"	"9"	""
"1993"	"1993 Italian F1 GP"	"Minardi"	"24"	"8"	""
"1993"	"1993 Belgian F1 GP"	"Minardi"	"22"	"DNF"	"Spun off"
"1993"	"1993 Hungarian F1 GP"	"Minardi"	"14"	"DNF"	"Suspension"
"1993"	"1993 German F1 GP"	"Minardi"	"20"	"11"	""
"1993"	"1993 British F1 GP"	"Minardi"	"19"	"12"	"Gearbox"
"1993"	"1993 French F1 GP"	"Minardi"	"23"	"8"	""
"1993"	"1993 Canadian F1 GP"	"Minardi"	"17"	"9"	""
"1993"	"1993 Monaco F1 GP"	"Minardi"	"17"	"5"	""
"1993"	"1993 Spanish F1 GP"	"Minardi"	"20"	"8"	""
"1993"	"1993 San Marino F1 GP"	"Minardi"	"23"	"DNF"	"Steering"
"1993"	"1993 European F1 GP"	"Minardi"	"16"	"7"	""
"1993"	"1993 Brazilian F1 GP"	"Minardi"	"20"	"DNF"	"Collision"
"1993"	"1993 South African F1 GP"	"Minardi"	"13"	"4"	""
"1992"	"1992 Australian F1 GP"	"Minardi"	"17"	"9"	""
"1992"	"1992 Japanese F1 GP"	"Minardi"	"12"	"6"	""
"1992"	"1992 Portuguese F1 GP"	"Minardi"	"26"	"12"	""
"1992"	"1992 Italian F1 GP"	"Minardi"	"0"	"DNQ"	"No Time"
"1992"	"1992 Belgian F1 GP"	"Minardi"	"0"	"DNQ"	"No Time"
"1992"	"1992 French F1 GP"	"Minardi"	"0"	"DNQ"	"No Time"
"1992"	"1992 Canadian F1 GP"	"Minardi"	"25"	"13"	""
"1992"	"1992 Monaco F1 GP"	"Minardi"	"17"	"8"	""
"1992"	"San Marino Grand Prix"	"Minardi"	"25"	"DNF"	"Gearbox"
"1992"	"1992 Spanish F1 GP"	"Minardi"	"22"	"11"	""
"1992"	"1992 Brazilian F1 GP"	"Minardi"	"20"	"DNF"	"Gearbox"
"1992"	"1992 Mexican F1 GP"	"Minardi"	"17"	"DNF"	"Spun Off"
"1992"	"1992 South African F1 GP"	"Minardi"	"20"	"DNF"	"Alternator"
