"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"2010"	"2010 Abu Dhabi F1 GP"	"HRT"	"24"	"20"	""
"2010"	"2010 Brazilian F1 GP"	"HRT"	"23"	"22"	""
"2010"	"2010 Singapore F1 GP"	"HRT"	"22"	"DNF"	"Hydraulics"
"2006"	"2006 Italian F1 GP"	"Red Bull"	"16"	"11"	""
"2006"	"2006 Turkish F1 GP"	"Red Bull"	"10"	"11"	""
"2006"	"2006 Hungarian F1 GP"	"Red Bull"	"13"	"DNF"	"Spin"
"2006"	"2006 German F1 GP"	"Red Bull"	"12"	"8"	""
"2006"	"2006 French F1 GP"	"Red Bull"	"12"	"12"	""
"2006"	"2006 USA F1 GP"	"Red Bull"	"16"	"DNF"	"Accident"
"2006"	"2006 Canadian F1 GP"	"Red Bull"	"12"	"11"	""
"2006"	"2006 British F1 GP"	"Red Bull"	"14"	"14"	""
"2006"	"2006 Monaco F1 GP"	"Red Bull"	"11"	"DNF"	"Transmission"
"2006"	"2006 Spanish F1 GP"	"Red Bull"	"14"	"13"	""
"2006"	"2006 European F1 GP"	"Red Bull"	"15"	"DNF"	"Gearbox"
"2006"	"2006 San Marino F1 GP"	"Red Bull"	"17"	"DNF"	"Hydraulics"
"2006"	"2006 Australian F1 GP"	"Red Bull"	"13"	"DNF"	"Accident"
"2006"	"2006 Malaysian F1 GP"	"Red Bull"	"8"	"DNF"	"Hydraulics"
"2006"	"2006 Bahrain F1 GP"	"Red Bull"	"8"	"8"	""
"2005"	"2005 Chinese F1 GP"	"Red Bull"	"14"	"5"	""
"2005"	"2005 Japanese F1 GP"	"Red Bull"	"4"	"9"	""
"2005"	"2005 Brazilian F1 GP"	"Red Bull"	"6"	"9"	""
"2005"	"2005 Belgian F1 GP"	"Red Bull"	"16"	"9"	""
"2005"	"2005 Italian F1 GP"	"Red Bull"	"13"	"13"	""
"2005"	"2005 Turkish F1 GP"	"Red Bull"	"10"	"8"	""
"2005"	"2005 Hungarian F1 GP"	"Red Bull"	"11"	"DNF"	"Accident"
"2005"	"2005 German F1 GP"	"Red Bull"	"10"	"9"	""
"2005"	"2005 British F1 GP"	"Red Bull"	"15"	"15"	""
"2005"	"2005 French F1 GP"	"Red Bull"	"16"	"DNF"	"Fuel Pressure"
"2005"	"2005 USA F1 GP"	"Red Bull"	"14"	"DNS"	"Withdrew"
"2005"	"2005 Canadian F1 GP"	"Red Bull"	"16"	"8"	""
"2005"	"2005 Bahrain F1 GP"	"Red Bull"	"7"	"DNS"	"Electrical"
"2005"	"2005 Malaysian F1 GP"	"Red Bull"	"7"	"8"	""
"2005"	"2005 Australian F1 GP"	"Red Bull"	"6"	"7"	""
"2004"	"2004 Brazilian F1 GP"	"Jaguar"	"15"	"14"	""
"2004"	"2004 Japanese F1 GP"	"Jaguar"	"14"	"12"	""
"2004"	"2004 Chinese F1 GP"	"Jaguar"	"15"	"DNF"	"Collision"
"2004"	"2004 Italian F1 GP"	"Jaguar"	"14"	"13"	""
"2004"	"2004 Belgian F1 GP"	"Jaguar"	"13"	"6"	""
"2004"	"2004 Hungarian F1 GP"	"Jaguar"	"14"	"13"	""
"2004"	"2004 German F1 GP"	"Jaguar"	"12"	"10"	""
"2004"	"2004 British F1 GP"	"Jaguar"	"13"	"14"	""
"2004"	"2004 French F1 GP"	"Jaguar"	"13"	"11"	""
"2004"	"2004 USA F1 GP"	"Jaguar"	"13"	"DNF"	"Collision"
"2004"	"2004 Canadian F1 GP"	"Jaguar"	"10"	"9"	""
"2004"	"2004 European F1 GP"	"Jaguar"	"12"	"12"	""
"2004"	"2004 Monaco F1 GP"	"Jaguar"	"14"	"DNF"	"Accident"
"2004"	"2004 Spanish F1 GP"	"Jaguar"	"16"	"DNF"	"Throttle"
"2004"	"2004 San Marino F1 GP"	"Jaguar"	"14"	"14"	""
"2004"	"2004 Bahrain F1 GP"	"Jaguar"	"12"	"14"	""
"2004"	"2004 Malaysian F1 GP"	"Jaguar"	"13"	"10"	""
"2004"	"2004 Australian F1 GP"	"Jaguar"	"19"	"11"	""
