"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"2007"	"2007 British F1 GP"	"Spyker"	"22"	"15"	""
"2007"	"2007 French F1 GP"	"Spyker"	"20"	"DNF"	"Refuelling"
"2007"	"2007 USA F1 GP"	"Spyker"	"22"	"15"	""
"2007"	"2007 Canadian F1 GP"	"Spyker"	"21"	"DNF"	"Front-wing"
"2007"	"2007 Monaco F1 GP"	"Spyker"	"22"	"19"	"Driveshaft"
"2007"	"2007 Spanish F1 GP"	"Spyker"	"21"	"14"	""
"2007"	"2007 Bahrain F1 GP"	"Spyker"	"22"	"14"	""
"2007"	"2007 Malaysian F1 GP"	"Spyker"	"20"	"DNF"	"Engine"
"2007"	"2007 Australian F1 GP"	"Spyker"	"21"	"DNF"	"Accident"
"2006"	"2006 Brazilian F1 GP"	"Spyker"	"17"	"14"	""
"2006"	"2006 Japanese F1 GP"	"Spyker"	"16"	"DNF"	"Driveshaft"
"2006"	"2006 Chinese F1 GP"	"Spyker"	"22"	"15"	""
"2006"	"2006 Italian F1 GP"	"Spyker"	"18"	"17"	""
"2006"	"2006 Turkish F1 GP"	"Midland"	"22"	"DNF"	"Spin"
"2006"	"2006 Hungarian F1 GP"	"Midland"	"22"	"10"	""
"2006"	"2006 German F1 GP"	"Midland"	"21"	"21"	""
"2006"	"2006 French F1 GP"	"Midland"	"15"	"15"	""
"2006"	"2006 USA F1 GP"	"Midland"	"14"	"DNF"	"Transmission"
"2006"	"2006 Canadian F1 GP"	"Midland"	"19"	"DNF"	"Accident"
"2006"	"2006 British F1 GP"	"Midland"	"18"	"15"	""
"2006"	"2006 Monaco F1 GP"	"Midland"	"16"	"12"	""
"2006"	"2006 Spanish F1 GP"	"Midland"	"18"	"DNF"	"Broken wing"
"2006"	"2006 European F1 GP"	"Midland"	"16"	"13"	""
"2006"	"2006 San Marino F1 GP"	"Midland"	"20"	"DNF"	"Accident"
"2006"	"2006 Australian F1 GP"	"Midland"	"17"	"11"	""
"2006"	"2006 Malaysian F1 GP"	"Midland"	"15"	"12"	""
"2006"	"2006 Bahrain F1 GP"	"Midland"	"18"	"DNF"	"Driveshaft"
"2005"	"2005 Chinese F1 GP"	"Minardi"	"18"	"16"	"Wheel nut"
"2005"	"2005 Japanese F1 GP"	"Minardi"	"13"	"16"	""
"2005"	"2005 Brazilian F1 GP"	"Minardi"	"16"	"14"	""
"2005"	"2005 Belgian F1 GP"	"Minardi"	"18"	"12"	""
"2005"	"2005 Italian F1 GP"	"Minardi"	"20"	"19"	""
"2005"	"2005 Turkish F1 GP"	"Minardi"	"15"	"DNF"	"Retired"
"2005"	"2005 Hungarian F1 GP"	"Minardi"	"17"	"NC"	""
"2005"	"2005 German F1 GP"	"Minardi"	"16"	"13"	""
"2005"	"2005 British F1 GP"	"Minardi"	"18"	"18"	""
"2005"	"2005 French F1 GP"	"Minardi"	"20"	"DNF"	"Puncture"
"2005"	"2005 USA F1 GP"	"Minardi"	"18"	"5"	""
"2005"	"2005 Canadian F1 GP"	"Minardi"	"15"	"11"	""
"2005"	"2005 European F1 GP"	"Minardi"	"20"	"17"	""
"2005"	"2005 Monaco F1 GP"	"Minardi"	"14"	"14"	""
"2005"	"2005 Spanish F1 GP"	"Minardi"	"14"	"DNF"	"Gearbox"
"2005"	"2005 San Marino F1 GP"	"Minardi"	"20"	"DNF"	"Hydraulics"
"2005"	"2005 Bahrain F1 GP"	"Minardi"	"18"	"13"	""
"2005"	"2005 Malaysian F1 GP"	"Minardi"	"19"	"13"	""
"2005"	"2005 Australian F1 GP"	"Minardi"	"17"	"DNF"	"Gearbox"
