"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1984"	"1984 British F1 GP"	"Brabham"	"14"	"DNF"	"Electrical"
"1984"	"1984 Dallas F1 GP"	"Brabham"	"11"	"7"	""
"1984"	"1984 Canadian F1 GP"	"Brabham"	"16"	"DNF"	"Turbo"
"1984"	"1984 Monaco F1 GP"	"Brabham"	"15"	"DNF"	"Electrical"
"1983"	"1983 South African F1 GP"	"Osella"	"25"	"DNF"	"Engine"
"1983"	"1983 European F1 GP"	"Osella"	"0"	"DNQ"	"No Time"
"1983"	"1983 Italian F1 GP"	"Osella"	"25"	"DNF"	"Engine"
"1983"	"1983 Dutch F1 GP"	"Osella"	"25"	"11"	"Engine"
"1983"	"1983 Austrian F1 GP"	"Osella"	"26"	"10"	""
"1983"	"1983 German F1 GP"	"Osella"	"0"	"DNQ"	"No Time"
"1983"	"1983 British F1 GP"	"Osella"	"0"	"DNQ"	"No Time"
"1983"	"1983 Canadian F1 GP"	"Osella"	"25"	"DNF"	"Engine"
"1983"	"1983 Detroit F1 GP"	"Osella"	"0"	"DNF"	"No Time"
"1983"	"1983 Belgian F1 GP"	"Osella"	"24"	"DNF"	"Wheel"
"1983"	"1983 Monaco F1 GP"	"Osella"	"0"	"DNQ"	"No Time"
"1983"	"1983 San Marino F1 GP"	"Osella"	"26"	"DNF"	"Spun off"
"1983"	"1983 French F1 GP"	"Osella"	"23"	"DNF"	"Engine"
"1983"	"1983 USA West F1 GP"	"Osella"	"0"	"DNQ"	"No Time"
"1983"	"1983 Brazilian F1 GP"	"Osella"	"24"	"DNF"	"Engine"
