"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"2004"	"2004 German F1 GP"	"Toyota"	"15"	"DNF"	"Puncture"
"2004"	"2004 British F1 GP"	"Toyota"	"12"	"13"	""
"2004"	"2004 French F1 GP"	"Toyota"	"11"	"14"	""
"2004"	"2004 USA F1 GP"	"Toyota"	"11"	"DNF"	"Gearbox"
"2004"	"2004 Canadian F1 GP"	"Toyota"	"12"	"DSQ"	"Disqualified"
"2004"	"2004 European F1 GP"	"Toyota"	"11"	"DNF"	"Collision"
"2004"	"2004 Monaco F1 GP"	"Toyota"	"15"	"6"	""
"2004"	"2004 Spanish F1 GP"	"Toyota"	"11"	"13"	""
"2004"	"2004 San Marino F1 GP"	"Toyota"	"10"	"DNF"	"Accident"
"2004"	"2004 Bahrain F1 GP"	"Toyota"	"9"	"10"	""
"2004"	"2004 Malaysian F1 GP"	"Toyota"	"10"	"9"	""
"2004"	"2004 Australian F1 GP"	"Toyota"	"13"	"12"	""
"2003"	"2003 Japanese F1 GP"	"Toyota"	"3"	"7"	""
"2003"	"2003 USA F1 GP"	"Toyota"	"9"	"9"	""
"2003"	"2003 Italian F1 GP"	"Toyota"	"12"	"DNF"	"Tyre"
"2003"	"2003 Hungarian F1 GP"	"Toyota"	"15"	"11"	""
"2003"	"2003 German F1 GP"	"Toyota"	"9"	"6"	""
"2003"	"2003 British F1 GP"	"Toyota"	"6"	"7"	""
"2003"	"2003 French F1 GP"	"Toyota"	"13"	"11"	""
"2003"	"2003 European F1 GP"	"Toyota"	"10"	"DNF"	"Engine"
"2003"	"2003 Canadian F1 GP"	"Toyota"	"9"	"11"	""
"2003"	"2003 Monaco F1 GP"	"Toyota"	"10"	"9"	""
"2003"	"2003 Austrian F1 GP"	"Toyota"	"13"	"10"	""
"2003"	"2003 Spanish F1 GP"	"Toyota"	"13"	"6"	""
"2003"	"2003 San Marino F1 GP"	"Toyota"	"13"	"12"	""
"2003"	"2003 Brazilian F1 GP"	"Toyota"	"18"	"10"	""
"2003"	"2003 Malaysian F1 GP"	"Toyota"	"11"	"11"	""
"2003"	"2003 Australian F1 GP"	"Toyota"	"16"	"DNF"	"Spin"
