"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1970"	"1970 British F1 GP"	"McLaren"	"11"	"DNF"	"Oil Pressure"
"1970"	"1970 French F1 GP"	"McLaren"	"17"	"6"	""
"1970"	"1970 Dutch F1 GP"	"McLaren"	"19"	"DNF"	"Engine"
"1968"	"1968 Mexican F1 GP"	"McLaren"	"5"	"DNF"	"Suspension"
"1968"	"1968 USA F1 GP"	"McLaren"	"7"	"4"	""
"1968"	"1968 Canadian F1 GP"	"McLaren"	"4"	"DNF"	"Radiator"
"1968"	"1968 Italian F1 GP"	"Eagle"	"12"	"DNF"	"Engine"
"1968"	"1968 German F1 GP"	"Eagle"	"10"	"9"	""
"1968"	"1968 British F1 GP"	"Eagle"	"6"	"DNF"	"Fuel Pump"
"1968"	"1968 Dutch F1 GP"	"Brabham"	"12"	"DNF"	"Throttle"
"1968"	"1968 Monaco F1 GP"	"Eagle"	"16"	"DNF"	"Engine"
"1968"	"1968 South African F1 GP"	"Eagle"	"12"	"DNF"	"Oil Leak"
"1967"	"1967 Mexican F1 GP"	"Eagle"	"3"	"DNF"	"Radiator"
"1967"	"1967 USA F1 GP"	"Eagle"	"3"	"DNF"	"Suspension"
"1967"	"1967 Italian F1 GP"	"Eagle"	"5"	"DNF"	"Engine"
"1967"	"1967 Canadian F1 GP"	"Eagle"	"5"	"3"	""
"1967"	"1967 German F1 GP"	"Eagle"	"4"	"DNF"	"Halfshaft"
"1967"	"1967 British F1 GP"	"Eagle"	"5"	"DNF"	"Clutch"
"1967"	"1967 French F1 GP"	"Eagle"	"3"	"DNF"	"Fuel Leak"
"1967"	"1967 Belgian F1 GP"	"Eagle"	"2"	"1"	""
"1967"	"1967 Dutch F1 GP"	"Eagle"	"2"	"DNF"	"Injection"
"1967"	"1967 Monaco F1 GP"	"Eagle"	"7"	"DNF"	"Fuel Pump"
"1967"	"1967 South African F1 GP"	"Eagle"	"11"	"DNF"	"Suspension"
"1966"	"1966 Mexican F1 GP"	"Eagle"	"9"	"5"	""
"1966"	"1966 USA F1 GP"	"Eagle"	"14"	"DNF"	"Clutch"
"1966"	"1966 Italian F1 GP"	"Eagle"	"19"	"DNF"	"Engine"
"1966"	"1966 German F1 GP"	"Eagle"	"8"	"7"	"Electrical"
"1966"	"1966 Dutch F1 GP"	"Eagle"	"4"	"DNF"	"Oil Leak"
"1966"	"1966 British F1 GP"	"Eagle"	"3"	"DNF"	"Engine"
"1966"	"1966 French F1 GP"	"Eagle"	"14"	"5"	""
"1966"	"1966 Belgian F1 GP"	"Eagle"	"15"	"NC"	"Not Classified"
"1965"	"1965 Mexican F1 GP"	"Brabham"	"2"	"2"	""
"1965"	"1965 USA F1 GP"	"Brabham"	"8"	"2"	""
"1965"	"1965 Italian F1 GP"	"Brabham"	"9"	"3"	""
"1965"	"1965 German F1 GP"	"Brabham"	"5"	"3"	""
"1965"	"1965 Dutch F1 GP"	"Brabham"	"5"	"3"	""
"1965"	"1965 British F1 GP"	"Brabham"	"7"	"6"	""
"1965"	"1965 French F1 GP"	"Brabham"	"5"	"DNF"	"Engine"
"1965"	"1965 Belgian F1 GP"	"Brabham"	"5"	"10"	""
"1965"	"1965 South African F1 GP"	"Brabham"	"9"	"DNF"	"Ignition"
"1964"	"1964 Mexican F1 GP"	"Brabham"	"2"	"1"	""
"1964"	"1964 USA F1 GP"	"Brabham"	"3"	"DNF"	"Oil Pressure"
"1964"	"1964 Italian F1 GP"	"Brabham"	"2"	"10"	""
"1964"	"1964 Austrian F1 GP"	"Brabham"	"4"	"DNF"	"Suspension"
"1964"	"1964 German F1 GP"	"Brabham"	"3"	"10"	""
"1964"	"1964 British F1 GP"	"Brabham"	"3"	"13"	""
"1964"	"1964 French F1 GP"	"Brabham"	"2"	"1"	""
"1964"	"1963 Belgian F1 GP"	"Brabham"	"1"	"6"	"Out of Fuel"
"1964"	"1964 Dutch F1 GP"	"Brabham"	"1"	"DNF"	"Steering"
"1964"	"1964 Monaco F1 GP"	"Brabham"	"5"	"DNF"	"Gearbox"
"1963"	"1963 South African F1 GP"	"Brabham"	"3"	"2"	""
"1963"	"1963 Mexican F1 GP"	"Brabham"	"4"	"6"	""
"1963"	"1963 USA F1 GP"	"Brabham"	"6"	"DNF"	"Chassis"
"1963"	"1963 Italian F1 GP"	"Brabham"	"5"	"14"	"Fuel System"
"1963"	"1963 German F1 GP"	"Brabham"	"13"	"DNF"	"Gearbox"
"1963"	"1963 British F1 GP"	"Brabham"	"2"	"DNF"	"Engine"
"1963"	"1963 French F1 GP"	"Brabham"	"3"	"5"	""
"1963"	"1963 Dutch F1 GP"	"Brabham"	"14"	"2"	""
"1963"	"1963 Belgian F1 GP"	"Brabham"	"2"	"3"	""
"1963"	"1963 Monaco F1 GP"	"Brabham"	"6"	"DNF"	"Differential"
"1962"	"1962 USA F1 GP"	"Porsche"	"4"	"5"	""
"1962"	"1962 Italian F1 GP"	"Porsche"	"7"	"13"	"Differential"
"1962"	"1962 German F1 GP"	"Porsche"	"1"	"3"	""
"1962"	"1962 British F1 GP"	"Porsche"	"6"	"9"	""
"1962"	"1962 French F1 GP"	"Porsche"	"6"	"1"	""
"1962"	"1962 Belgian F1 GP"	"Team Lotus"	"0"	"DNS"	"Seidel's car - unraceworthy"
"1962"	"1962 Monaco F1 GP"	"Porsche"	"5"	"DNF"	"Accident"
"1962"	"19625 Dutch F1 GP"	"Porsche"	"8"	"DNF"	"Gearbox"
"1961"	"1961 USA F1 GP"	"Porsche"	"7"	"2"	""
"1961"	"1961 Italian F1 GP"	"Porsche"	"12"	"2"	""
"1961"	"1961 German F1 GP"	"Porsche"	"7"	"7"	""
"1961"	"1961 British F1 GP"	"Porsche"	"12"	"7"	""
"1961"	"1961 French F1 GP"	"Porsche"	"5"	"2"	""
"1961"	"1961 Belgian F1 GP"	"Porsche"	"10"	"6"	""
"1961"	"1961 Dutch F1 GP"	"Porsche"	"6"	"10"	""
"1961"	"1961 Monaco F1 GP"	"Porsche"	"11"	"5"	""
"1960"	"1960 USA F1 GP"	"BRM"	"3"	"DNF"	"Blown core plug"
"1960"	"1960 Portuguese F1 GP"	"BRM"	"2"	"DNF"	"Engine"
"1960"	"1960 British F1 GP"	"BRM"	"6"	"10"	""
"1960"	"1960 French F1 GP"	"BRM"	"6"	"DNF"	"Engine"
"1960"	"1960 Belgian F1 GP"	"BRM"	"12"	"DNF"	"Engine"
"1960"	"1960 Dutch F1 GP"	"BRM"	"6"	"DNF"	"Accident"
"1960"	"1960 Monaco F1 GP"	"BRM"	"14"	"DNF"	"Suspension"
"1959"	"1959 Italian F1 GP"	"Ferrari"	"4"	"4"	""
"1959"	"1959 Portuguese F1 GP"	"Ferrari"	"6"	"3"	""
"1959"	"1959 German F1 GP"	"Ferrari"	"3"	"2"	""
"1959"	"1959 French F1 GP"	"Ferrari"	"12"	"DNF"	"Radiator"
"1967"	"1967 Canadian F1 GP"	"Eagle"	"5"	"3"	""
"1967"	"1967 Belgian F1 GP"	"Eagle"	"2"	"1"	""
"1965"	"1965 Mexican F1 GP"	"Brabham"	"2"	"2"	""
"1965"	"1965 USA F1 GP"	"Brabham"	"8"	"2"	""
"1965"	"1965 Italian F1 GP"	"Brabham"	"9"	"3"	""
"1965"	"1965 German F1 GP"	"Brabham"	"5"	"3"	""
"1965"	"1965 Dutch F1 GP"	"Brabham"	"5"	"3"	""
"1964"	"1964 Mexican F1 GP"	"Brabham"	"2"	"1"	""
"1964"	"1964 French F1 GP"	"Brabham"	"2"	"1"	""
"1963"	"1963 South African F1 GP"	"Brabham"	"3"	"2"	""
"1963"	"1963 Dutch F1 GP"	"Brabham"	"14"	"2"	""
"1963"	"1963 Belgian F1 GP"	"Brabham"	"2"	"3"	""
"1962"	"1962 German F1 GP"	"Porsche"	"1"	"3"	""
"1962"	"1962 French F1 GP"	"Porsche"	"6"	"1"	""
"1961"	"1961 USA F1 GP"	"Porsche"	"7"	"2"	""
"1961"	"1961 Italian F1 GP"	"Porsche"	"12"	"2"	""
"1961"	"1961 French F1 GP"	"Porsche"	"5"	"2"	""
"1959"	"1959 Portuguese F1 GP"	"Ferrari"	"6"	"3"	""
"1959"	"1959 German F1 GP"	"Ferrari"	"3"	"2"	""
"1964"	"1963 Belgian F1 GP"	"Brabham"	"1"	"6"	"Out of Fuel"
"1964"	"1964 Dutch F1 GP"	"Brabham"	"1"	"DNF"	"Steering"
"1962"	"1962 German F1 GP"	"Porsche"	"1"	"3"	""
