"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"2021"	"2021 Abu Dhabi F1 GP"	"McLaren"	"10"	"12"	""
"2021"	"2021 Saudi Arabian F1 GP"	"McLaren"	"11"	"5"	""
"2021"	"2021 Qatar F1 GP"	"McLaren"	"14"	"12"	""
"2021"	"2021 Brazilian F1 GP"	"McLaren"	"11"	"DNF"	"Power unit"
"2021"	"2021 Mexico F1 GP"	"McLaren"	"7"	"12"	""
"2021"	"2021 USA F1 GP"	"McLaren"	"6"	"5"	""
"2021"	"2021 Turkish F1 GP"	"McLaren"	"20"	"13"	""
"2021"	"2021 Russian F1 GP"	"McLaren"	"5"	"4"	""
"2021"	"2021 Italian F1 GP"	"McLaren"	"2"	"1"	""
"2021"	"2021 Dutch F1 GP"	"McLaren"	"10"	"11"	""
"2021"	"2021 Belgian F1 GP"	"McLaren"	"4"	"4"	""
"2021"	"2021 Hungarian F1 GP"	"McLaren"	"11"	"11"	""
"2021"	"2021 British F1 GP"	"McLaren"	"6"	"5"	""
"2021"	"2021 Austrian F1 GP"	"McLaren"	"13"	"7"	""
"2021"	"2021 Styrian F1 GP"	"McLaren"	"13"	"13"	""
"2021"	"2021 French F1 GP"	"McLaren"	"10"	"6"	""
"2021"	"2021 Azerbaijan F1 GP"	"McLaren"	"13"	"9"	""
"2021"	"2021 Monaco F1 GP"	"McLaren"	"11"	"12"	""
"2021"	"2021 Spanish F1 GP"	"McLaren"	"7"	"6"	""
"2021"	"2021 Portuguese F1 GP"	"McLaren"	"16"	"9"	""
"2021"	"2021 E. Romagna F1 GP"	"McLaren"	"6"	"6"	""
"2021"	"2021 Bahrain F1 GP"	"McLaren"	"6"	"7"	""
"2020"	"2020 Abu Dhabi F1 GP"	"Renault"	"11"	"7"	""
"2020"	"2020 Sakhir F1 GP"	"Renault"	"7"	"5"	""
"2020"	"2020 Bahrain F1 GP"	"Renault"	"6"	"7"	""
"2020"	"2020 Turkish F1 GP"	"Renault"	"5"	"10"	""
"2020"	"2020 E. Romagna F1 GP"	"Renault"	"5"	"3"	""
"2020"	"2020 Portuguese F1 GP"	"Renault"	"10"	"9"	""
"2020"	"2020 Eifel F1 GP"	"Renault"	"6"	"3"	""
"2020"	"2020 Russian F1 GP"	"Renault"	"5"	"5"	""
"2020"	"2020 Tuscan F1 GP"	"Renault"	"8"	"4"	""
"2020"	"2020 Italian F1 GP"	"Renault"	"7"	"6"	""
"2020"	"2020 Belgian F1 GP"	"Renault"	"4"	"4"	""
"2020"	"2020 Spanish F1 GP"	"Renault"	"13"	"11"	""
"2020"	"70th Anniversary F1 GP"	"Renault"	"5"	"14"	""
"2020"	"2020 British F1 GP"	"Renault"	"8"	"4"	""
"2020"	"2020 Hungarian F1 GP"	"Renault"	"11"	"8"	""
"2020"	"2020 Styrian F1 GP"	"Renault"	"8"	"8"	""
"2020"	"2020 Austrian F1 GP"	"Renault"	"10"	"DNF"	"Gearbox"
"2019"	"2019 Abu Dhabi F1 GP"	"Renault"	"7"	"11"	""
"2019"	"2019 Brazilian F1 GP"	"Renault"	"11"	"6"	""
"2019"	"2019 USA F1 GP"	"Renault"	"9"	"6"	""
"2019"	"2019 Mexican F1 GP"	"Renault"	"14"	"8"	""
"2019"	"2019 Japanese F1 GP"	"Renault"	"16"	"DSQ"	""
"2019"	"2019 Russian F1 GP"	"Renault"	"10"	"DNF"	"Collision damage"
"2019"	"2019 Singapore F1 GP"	"Renault"	"20"	"14"	""
"2019"	"2019 Italian F1 GP"	"Renault"	"5"	"4"	""
"2019"	"2019 Belgian F1 GP"	"Renault"	"10"	"14"	""
"2019"	"2019 Hungarian F1 GP"	"Renault"	"20"	"14"	""
"2019"	"2019 German F1 GP"	"Renault"	"13"	"DNF"	"Exhaust failure"
"2019"	"2019 British F1 GP"	"Renault"	"7"	"7"	""
"2019"	"2019 Austrian F1 GP"	"Renault"	"12"	"12"	""
"2019"	"2019 French F1 GP"	"Renault"	"8"	"11"	""
"2019"	"2019 Canadian F1 GP"	"Renault"	"4"	"6"	""
