"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"2020"	"2020 Abu Dhabi F1 GP"	"AlphaTauri"	"7"	"11"	""
"2020"	"2020 Sakhir F1 GP"	"AlphaTauri"	"6"	"7"	""
"2020"	"2020 Bahrain F1 GP"	"AlphaTauri"	"10"	"11"	""
"2020"	"2020 Turkish F1 GP"	"AlphaTauri"	"17"	"12"	""
"2020"	"2020 E. Romagna F1 GP"	"AlphaTauri"	"8"	"4"	""
"2020"	"2020 Portuguese F1 GP"	"AlphaTauri"	"13"	"19"	""
"2020"	"2020 Eifel F1 GP"	"AlphaTauri"	"13"	"15"	""
"2020"	"2020 Russian F1 GP"	"AlphaTauri"	"11"	"8"	""
"2020"	"2020 Tuscan F1 GP"	"AlphaTauri"	"12"	"7"	""
"2020"	"2020 Italian F1 GP"	"AlphaTauri"	"11"	"9"	""
"2020"	"2020 Belgian F1 GP"	"AlphaTauri"	"11"	"11"	""
"2020"	"2020 Spanish F1 GP"	"AlphaTauri"	"12"	"12"	""
"2020"	"70th Anniversary F1 GP"	"AlphaTauri"	"16"	"10"	""
"2020"	"2020 British F1 GP"	"AlphaTauri"	"19"	"DNF"	"Spun off"
"2020"	"2020 Hungarian F1 GP"	"AlphaTauri"	"17"	"12"	""
"2020"	"2020 Styrian F1 GP"	"AlphaTauri"	"13"	"10"	""
"2020"	"2020 Austrian F1 GP"	"AlphaTauri"	"13"	"12"	"Suspension"
"2019"	"2019 Abu Dhabi F1 GP"	"Toro Rosso"	"13"	"9"	""
"2019"	"2019 Brazilian F1 GP"	"Toro Rosso"	"16"	"10"	""
"2019"	"2019 USA F1 GP"	"Toro Rosso"	"13"	"12"	""
"2019"	"2019 Mexican F1 GP"	"Toro Rosso"	"9"	"11"	""
"2019"	"2019 Japanese F1 GP"	"Toro Rosso"	"13"	"10"	""
"2019"	"2019 Russian F1 GP"	"Toro Rosso"	"19"	"12"	""
"2019"	"2019 Singapore F1 GP"	"Toro Rosso"	"14"	"15"	""
"2019"	"2019 Italian F1 GP"	"Toro Rosso"	"12"	"DNF"	"Oil leak"
"2019"	"2019 Belgian F1 GP"	"Toro Rosso"	"19"	"7"	""
"2019"	"2019 Hungarian F1 GP"	"Toro Rosso"	"13"	"15"	""
"2019"	"2019 German F1 GP"	"Toro Rosso"	"14"	"3"	""
"2019"	"2019 British F1 GP"	"Toro Rosso"	"17"	"9"	""
"2019"	"2019 Austrian F1 GP"	"Toro Rosso"	"16"	"17"	""
"2019"	"2019 French F1 GP"	"Toro Rosso"	"19"	"14"	""
"2019"	"2019 Canadian F1 GP"	"Toro Rosso"	"10"	"10"	""
"2019"	"2019 Monaco F1 GP"	"Toro Rosso"	"8"	"7"	""
"2019"	"2019 Spanish F1 GP"	"Toro Rosso"	"9"	"9"	""
"2019"	"2019 Azerbaijan F1 GP"	"Toro Rosso"	"6"	"DNF"	"Collision damage"
"2019"	"2019 Chinese F1 GP"	"Toro Rosso"	"11"	"DNF"	"Collision damage"
"2019"	"2019 Bahrain F1 GP"	"Toro Rosso"	"15"	"12"	""
"2019"	"2019 Australian F1 GP"	"Toro Rosso"	"15"	"10"	""
"2017"	"2017 USA F1 GP"	"Toro Rosso"	"11"	"10"	""
"2017"	"2017 Singapore F1 GP"	"Toro Rosso"	"13"	"DNF"	"Crashed"
"2017"	"2017 Italian F1 GP"	"Toro Rosso"	"8"	"12"	""
"2017"	"2017 Belgian F1 GP"	"Toro Rosso"	"19"	"12"	""
"2017"	"2017 Hungarian F1 GP"	"Toro Rosso"	"16"	"11"	""
"2017"	"2017 British F1 GP"	"Toro Rosso"	"12"	"15"	""
"2017"	"2017 Austrian F1 GP"	"Toro Rosso"	"14"	"16"	""
"2017"	"2017 Azerbaijan F1 GP"	"Toro Rosso"	"10"	"DNF"	"Electrics"
"2017"	"2017 Canadian F1 GP"	"Toro Rosso"	"11"	"DNF"	"Power Unit"
"2017"	"2017 Monaco F1 GP"	"Toro Rosso"	"9"	"14"	"Collision"
"2017"	"2017 Spanish F1 GP"	"Toro Rosso"	"20"	"9"	""
"2017"	"2017 Russian F1 GP"	"Toro Rosso"	"12"	"12"	""
"2017"	"2017 Bahrain F1 GP"	"Toro Rosso"	"11"	"12"	""
"2017"	"2017 Chinese F1 GP"	"Toro Rosso"	"9"	"DNF"	"Hydraulic failure"
"2017"	"2017 Australian F1 GP"	"Toro Rosso"	"9"	"9"	""
"2016"	"2016 Abu Dhabi F1 GP"	"Toro Rosso"	"17"	"DNF"	"Gearbox"
"2016"	"2016 Brazilian F1 GP"	"Toro Rosso"	"14"	"13"	""
"2016"	"2016 Mexican F1 GP"	"Toro Rosso"	"10"	"18"	""
"2016"	"2016 USA F1 GP"	"Toro Rosso"	"13"	"11"	""
"2016"	"2016 Japanese F1 GP"	"Toro Rosso"	"13"	"13"	""
"2016"	"2016 Malaysian F1 GP"	"Toro Rosso"	"15"	"14"	""
"2016"	"2016 Singapore F1 GP"	"Toro Rosso"	"7"	"9"	""
"2016"	"2016 Italian F1 GP"	"Toro Rosso"	"16"	"DNF"	""
"2016"	"2016 Belgian F1 GP"	"Toro Rosso"	"19"	"14"	""
"2016"	"2016 German F1 GP"	"Toro Rosso"	"19"	"15"	""
"2016"	"2016 Hungarian F1 GP"	"Toro Rosso"	"12"	"16"	""
"2016"	"2016 British F1 GP"	"Toro Rosso"	"14"	"10"	""
"2016"	"2016 Austrian F1 GP"	"Toro Rosso"	"22"	"DNF"	"Mechanical"
"2016"	"2016 Azerbaijan F1 GP"	"Toro Rosso"	"6"	"DNF"	"Suspension"
"2016"	"2016 Canadian F1 GP"	"Red Bull"	"16"	"12"	""
"2016"	"2016 Monaco F1 GP"	"Red Bull"	"8"	"DNF"	"Collision"
"2016"	"2016 Spanish F1 GP"	"Toro Rosso"	"13"	"10"	""
"2016"	"2016 Russian F1 GP"	"Red Bull"	"8"	"15"	""
"2016"	"2016 Chinese F1 GP"	"Red Bull"	"6"	"3"	""
"2016"	"2016 Bahrain F1 GP"	"Red Bull"	"15"	"7"	""
"2016"	"2016 Australian F1 GP"	"Red Bull"	"18"	"DNS"	"Engine"
"2015"	"2015 Abu Dhabi F1 GP"	"Red Bull"	"9"	"10"	""
"2015"	"2015 Brazilian F1 GP"	"Red Bull"	"7"	"7"	""
"2015"	"2015 Mexican F1 GP"	"Red Bull"	"4"	"4"	""
"2015"	"2015 USA F1 GP"	"Red Bull"	"4"	"DNF"	"Spun off damage"
"2015"	"2015 Russian F1 GP"	"Red Bull"	"11"	"5"	""
"2015"	"2015 Japanese F1 GP"	"Red Bull"	"10"	"13"	""
"2015"	"2015 Singapore F1 GP"	"Red Bull"	"4"	"6"	""
"2015"	"2015 Italian F1 GP"	"Red Bull"	"18"	"10"	""
"2015"	"2015 Belgian F1 GP"	"Red Bull"	"12"	"4"	""
