"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1975"	"1975 South African F1 GP"	"McLaren"	"20"	"14"	""
"1974"	"1974 South African F1 GP"	"McLaren"	"20"	"19"	""
"1973"	"1973 South African F1 GP"	"Team Lotus"	"13"	"DNF"	"Accident"
"1972"	"1972 German F1 GP"	"Team Lotus"	"26"	"DNF"	"Physical"
"1972"	"1972 British F1 GP"	"Team Lotus"	"24"	"DNF"	"Gearbox"
"1972"	"1972 French F1 GP"	"Team Lotus"	"0"	"DNQ"	"No Time"
"1972"	"1972 South African F1 GP"	"Team Lotus"	"17"	"DNF"	"Fuel Pump"
"1971"	"1971 British F1 GP"	"Team Lotus"	"13"	"DNF"	"Engine"
"1971"	"1971 South African F1 GP"	"Brabham"	"16"	"DNF"	"Engine"
"1970"	"1970 South African F1 GP"	"Team Lotus"	"13"	"12"	"Engine"
"1968"	"1968 South African F1 GP"	"Brabham"	"14"	"DNF"	"Differential"
"1967"	"1967 South African F1 GP"	"Brabham"	"8"	"NC"	"Not Classified"
"1965"	"1965 South African F1 GP"	"Team Lotus"	"0"	"DNPQ"	"Fire in practice"
