"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"2008"	"2008 Brazilian F1 GP"	"Red Bull"	"14"	"DNF"	"Collision"
"2008"	"2008 Chinese F1 GP"	"Red Bull"	"15"	"10"	""
"2008"	"2008 Japanese F1 GP"	"Red Bull"	"11"	"DNF"	"Collision"
"2008"	"2008 Singapore F1 GP"	"Red Bull"	"14"	"7"	""
"2008"	"2008 Italian F1 GP"	"Red Bull"	"13"	"16"	""
"2008"	"2008 Belgian F1 GP"	"Red Bull"	"14"	"11"	""
"2008"	"2008 European F1 GP"	"Red Bull"	"17"	"17"	""
"2008"	"2008 Hungarian F1 GP"	"Red Bull"	"13"	"11"	""
"2008"	"2008 German F1 GP"	"Red Bull"	"10"	"13"	""
"2008"	"2008 British F1 GP"	"Red Bull"	"11"	"DNF"	"Collision"
"2008"	"2008 French F1 GP"	"Red Bull"	"7"	"9"	""
"2008"	"2008 Canadian F1 GP"	"Red Bull"	"13"	"3"	""
"2008"	"2008 Monaco F1 GP"	"Red Bull"	"15"	"DNF"	"Accident"
"2008"	"2008 Turkish F1 GP"	"Red Bull"	"10"	"9"	""
"2008"	"2008 Spanish F1 GP"	"Red Bull"	"17"	"12"	""
"2008"	"2008 Bahrain F1 GP"	"Red Bull"	"17"	"18"	""
"2008"	"2008 Malaysian F1 GP"	"Red Bull"	"12"	"9"	""
"2008"	"2008 Australian F1 GP"	"Red Bull"	"8"	"DNF"	"Collision"
"2007"	"2007 Brazilian F1 GP"	"Red Bull"	"9"	"9"	""
"2007"	"2007 Chinese F1 GP"	"Red Bull"	"5"	"8"	""
"2007"	"2007 Japanese F1 GP"	"Red Bull"	"12"	"4"	""
"2007"	"2007 Belgian F1 GP"	"Red Bull"	"11"	"DNF"	"Hydraulics"
"2007"	"2007 Italian F1 GP"	"Red Bull"	"20"	"DNF"	"Accident"
"2007"	"2007 Turkish F1 GP"	"Red Bull"	"13"	"10"	""
"2007"	"2007 Hungarian F1 GP"	"Red Bull"	"10"	"11"	""
"2007"	"2007 European F1 GP"	"Red Bull"	"20"	"5"	""
"2007"	"2007 British F1 GP"	"Red Bull"	"12"	"11"	""
"2007"	"2007 French F1 GP"	"Red Bull"	"16"	"13"	""
"2007"	"2007 USA F1 GP"	"Red Bull"	"11"	"DNF"	"Collision"
"2007"	"2007 Canadian F1 GP"	"Red Bull"	"14"	"DNF"	"Gearbox"
"2007"	"2007 Monaco F1 GP"	"Red Bull"	"13"	"14"	""
"2007"	"2007 Spanish F1 GP"	"Red Bull"	"9"	"5"	""
"2007"	"2007 Bahrain F1 GP"	"Red Bull"	"21"	"DNF"	"Driveshaft"
"2007"	"2007 Malaysian F1 GP"	"Red Bull"	"13"	"DNF"	"Brakes"
"2007"	"2007 Australian F1 GP"	"Red Bull"	"18"	"DNF"	"Collision"
"2006"	"2006 Brazilian F1 GP"	"Red Bull"	"18"	"DNF"	"Gearbox"
"2006"	"2006 Japanese F1 GP"	"Red Bull"	"17"	"DNF"	"Gearbox"
"2006"	"2006 Chinese F1 GP"	"Red Bull"	"12"	"9"	""
"2006"	"2006 Italian F1 GP"	"Red Bull"	"14"	"12"	""
"2006"	"2006 Turkish F1 GP"	"Red Bull"	"16"	"15"	"Gearbox"
"2006"	"2006 Hungarian F1 GP"	"Red Bull"	"12"	"5"	""
"2006"	"2006 German F1 GP"	"Red Bull"	"10"	"11"	""
"2006"	"2006 French F1 GP"	"Red Bull"	"9"	"9"	""
"2006"	"2006 USA F1 GP"	"Red Bull"	"17"	"7"	""
"2006"	"2006 Canadian F1 GP"	"Red Bull"	"22"	"8"	""
"2006"	"2006 British F1 GP"	"Red Bull"	"11"	"12"	""
"2006"	"2006 Monaco F1 GP"	"Red Bull"	"7"	"3"	""
"2006"	"2006 Spanish F1 GP"	"Red Bull"	"21"	"14"	""
"2006"	"2006 European F1 GP"	"Red Bull"	"12"	"DNF"	"Accident damage"
"2006"	"2006 San Marino F1 GP"	"Red Bull"	"14"	"DNF"	"Driveshaft"
"2006"	"2006 Australian F1 GP"	"Red Bull"	"11"	"8"	""
"2006"	"2006 Malaysian F1 GP"	"Red Bull"	"19"	"DNF"	"Hydraulics"
"2006"	"2006 Bahrain F1 GP"	"Red Bull"	"13"	"10"	""
