"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1974"	"1974 USA F1 GP"	"McLaren"	"17"	"DNF"	"Engine"
"1974"	"1974 Canadian F1 GP"	"McLaren"	"14"	"6"	""
"1974"	"1974 Italian F1 GP"	"McLaren"	"19"	"6"	""
"1974"	"1974 Austrian F1 GP"	"McLaren"	"10"	"2"	""
"1974"	"1974 German F1 GP"	"McLaren"	"7"	"DNF"	"Accident"
"1974"	"1974 British F1 GP"	"McLaren"	"19"	"7"	""
"1974"	"1974 French F1 GP"	"McLaren"	"11"	"6"	""
"1974"	"1974 Dutch F1 GP"	"McLaren"	"9"	"DNF"	"Ignition"
"1974"	"1974 Swedish F1 GP"	"McLaren"	"12"	"DNF"	"Suspension"
"1974"	"1974 Monaco F1 GP"	"McLaren"	"12"	"DNF"	"Collision"
"1974"	"1974 Belgian F1 GP"	"McLaren"	"12"	"6"	""
"1974"	"1974 Spanish F1 GP"	"McLaren"	"8"	"6"	""
"1974"	"1974 South African F1 GP"	"McLaren"	"9"	"9"	""
"1974"	"1974 Brazilian F1 GP"	"McLaren"	"11"	"12"	""
"1974"	"1974 Argentine F1 GP"	"McLaren"	"10"	"1"	""
"1973"	"1973 USA F1 GP"	"McLaren"	"8"	"4"	""
"1973"	"1973 Canadian F1 GP"	"McLaren"	"7"	"13"	""
"1973"	"1973 Italian F1 GP"	"McLaren"	"3"	"15"	""
"1973"	"1973 Austrian F1 GP"	"McLaren"	"3"	"8"	""
"1973"	"1973 German F1 GP"	"McLaren"	"8"	"12"	""
"1973"	"1973 Dutch F1 GP"	"McLaren"	"4"	"DNF"	"Engine"
"1973"	"1973 British F1 GP"	"McLaren"	"2"	"3"	""
"1973"	"1973 French F1 GP"	"McLaren"	"6"	"8"	""
"1973"	"1973 Swedish F1 GP"	"McLaren"	"6"	"1"	""
"1973"	"1973 Monaco F1 GP"	"McLaren"	"3"	"6"	""
"1973"	"1973 Belgian F1 GP"	"McLaren"	"2"	"7"	""
"1973"	"1973 Spanish F1 GP"	"McLaren"	"2"	"6"	""
"1973"	"1973 South African F1 GP"	"McLaren"	"1"	"5"	""
"1973"	"1973 Brazilian F1 GP"	"McLaren"	"5"	"3"	""
"1973"	"1973 Argentine F1 GP"	"McLaren"	"8"	"5"	""
"1972"	"1972 USA F1 GP"	"McLaren"	"3"	"3"	""
"1972"	"1972 Canadian F1 GP"	"McLaren"	"2"	"3"	""
"1972"	"1972 Italian F1 GP"	"McLaren"	"5"	"3"	""
"1972"	"1972 Austrian F1 GP"	"McLaren"	"7"	"2"	""
"1972"	"1972 German F1 GP"	"McLaren"	"10"	"DNF"	"Engine"
"1972"	"1972 British F1 GP"	"McLaren"	"11"	"5"	""
