"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1982"	"1982 Caesars Palace F1 GP"	"Williams"	"14"	"6"	""
"1982"	"1982 Italian F1 GP"	"Williams"	"13"	"DNF"	"Collision"
"1982"	"1982 Swiss F1 GP"	"Williams"	"7"	"9"	""
"1982"	"1982 Austrian F1 GP"	"Williams"	"9"	"DNF"	"Collision"
"1982"	"1982 German F1 GP"	"Williams"	"19"	"DNF"	"Engine"
"1982"	"1982 French F1 GP"	"Williams"	"11"	"7"	""
"1982"	"1982 British F1 GP"	"Williams"	"10"	"5"	""
"1982"	"1982 Dutch F1 GP"	"Williams"	"12"	"5"	""
"1982"	"1982 Canadian F1 GP"	"Williams"	"13"	"7"	"Out of Fuel"
"1982"	"1982 Detroit F1 GP"	"Williams"	"12"	"5"	""
"1982"	"1982 Monaco F1 GP"	"Williams"	"8"	"6"	"Gearbox"
"1982"	"1982 Belgian F1 GP"	"Williams"	"13"	"DNF"	"Spun Off"
"1982"	"1982 USA West F1 GP"	"Theodore"	"22"	"DNF"	"Spun Off"
"1982"	"1982 Brazilian F1 GP"	"Theodore"	"20"	"DNF"	"Spun Off"
"1982"	"1982 South African F1 GP"	"Theodore"	"24"	"14"	""
"1981"	"1981 Caesars Palace F1 GP"	"March"	"0"	"DNQ"	"No Time"
"1981"	"1981 Canadian F1 GP"	"March"	"20"	"8"	""
"1981"	"1981 Italian F1 GP"	"March"	"19"	"DNF"	"Gearbox"
"1981"	"1981 Dutch F1 GP"	"March"	"19"	"DNF"	"Suspension"
"1981"	"1981 Austrian F1 GP"	"March"	"19"	"11"	""
"1981"	"1981 German F1 GP"	"March"	"21"	"DNF"	"Suspension"
"1981"	"1981 British F1 GP"	"March"	"17"	"7"	""
"1981"	"1981 French F1 GP"	"March"	"20"	"DNF"	"Engine"
"1981"	"1981 Spanish F1 GP"	"March"	"22"	"16"	""
"1981"	"1981 Monaco F1 GP"	"March"	"0"	"DNQ"	"No Time"
"1981"	"1981 Belgian F1 GP"	"March"	"0"	"DNQ"	"No Time"
"1981"	"1981 San Marino F1 GP"	"March"	"0"	"DNQ"	"No Time"
"1981"	"1981 Argentine F1 GP"	"March"	"0"	"DNQ"	"No Time"
"1981"	"1981 Brazilian F1 GP"	"March"	"0"	"DNQ"	"No Time"
"1981"	"1981 USA West F1 GP"	"March"	"0"	"DNQ"	"No Time"
"1980"	"1980 USA F1 GP"	"Tyrrell"	"21"	"DNF"	"Spun Off"
"1980"	"1980 Canadian F1 GP"	"Tyrrell"	"20"	"DNF"	"Could not return to restart after accident"
"1980"	"1980 Italian F1 GP"	"Tyrrell"	"22"	"DNF"	"Accident"
"1980"	"1980 Dutch F1 GP"	"Tyrrell"	"23"	"DNF"	"Brakes"
"1980"	"1980 Austrian F1 GP"	"Tyrrell"	"10"	"DNF"	"Brakes"
"1980"	"1980 German F1 GP"	"Tyrrell"	"22"	"10"	""
"1980"	"1980 British F1 GP"	"Tyrrell"	"10"	"4"	""
"1980"	"1980 French F1 GP"	"Tyrrell"	"20"	"11"	""
"1980"	"1980 Monaco F1 GP"	"Tyrrell"	"12"	"DNF"	"Accident"
"1980"	"1980 Belgian F1 GP"	"Tyrrell"	"11"	"9"	""
"1980"	"1980 USA West F1 GP"	"Tyrrell"	"14"	"8"	""
"1980"	"1980 South African F1 GP"	"Tyrrell"	"16"	"DNF"	"Puncture"
"1980"	"1980 Brazilian F1 GP"	"Tyrrell"	"24"	"14"	""
"1980"	"1980 Argentine F1 GP"	"Tyrrell"	"22"	"4"	""
"1979"	"1979 USA F1 GP"	"Tyrrell"	"15"	"DNF"	"Spun Off"
"1979"	"1979 Canadian F1 GP"	"Tyrrell"	"24"	"DNF"	"Engine"
"1979"	"1979 Austrian F1 GP"	"Tyrrell"	"11"	"8"	""
"1979"	"1979 Monaco F1 GP"	"Ensign"	"0"	"DNQ"	"No Time"
"1979"	"1979 Belgian F1 GP"	"Ensign"	"0"	"DNQ"	"No Time"
"1979"	"1979 Spanish F1 GP"	"Ensign"	"0"	"DNQ"	"No Time"
"1979"	"1979 USA West F1 GP"	"Ensign"	"24"	"DNF"	"Accident"
"1979"	"1979 South African F1 GP"	"Ensign"	"0"	"DNQ"	"No Time"
"1979"	"1979 Brazilian Grand F1 GP"	"Ensign"	"23"	"13"	""
"1979"	"1979 Argentine F1 GP"	"Ensign"	"24"	"11"	""
"1978"	"1978 Canadian F1 GP"	"Ensign"	"15"	"6"	""
"1978"	"1978 USA F1 GP"	"Ensign"	"19"	"8"	""
"1978"	"1978 Italian F1 GP"	"Ensign"	"18"	"10"	""
"1978"	"1978 Dutch F1 GP"	"Ensign"	"16"	"DNF"	"Transmission"
"1978"	"1978 Austrian F1 GP"	"Ensign"	"19"	"DSQ"	"Pushed at Start"
"1978"	"1978 British F1 GP"	"Ensign"	"15"	"DNF"	"Wheel"
"1978"	"1978 French F1 GP"	"Ensign"	"0"	"DNQ"	"No Time"
"1978"	"1978 Belgian F1 GP"	"Hesketh"	"0"	"DNQ"	"No Time"
"1978"	"1978 Monaco F1 GP"	"Hesketh"	"0"	"DNPQ"	"No Time"
"1978"	"1978 USA West F1 GP"	"Hesketh"	"0"	"DNPQ"	"No Time"
