"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1982"	"1982 German F1 GP"	"Ferrari"	"1"	"DNS"	"Practice accident"
"1982"	"1982 French F1 GP"	"Ferrari"	"3"	"3"	""
"1982"	"1982 British F1 GP"	"Ferrari"	"4"	"2"	""
"1982"	"1982 Dutch F1 GP"	"Ferrari"	"4"	"1"	""
"1982"	"1982 Canadian F1 GP"	"Ferrari"	"1"	"9"	""
"1982"	"1982 Detroit F1 GP"	"Ferrari"	"4"	"3"	""
"1982"	"1982 Monaco F1 GP"	"Ferrari"	"5"	"2"	"Out of fuel"
"1982"	"1982 Belgian F1 GP"	"Ferrari"	"0"	"DNS"	"Withdrew"
"1982"	"1982 San Marino F1 GP"	"Ferrari"	"4"	"1"	""
"1982"	"1982 USA West F1 GP"	"Ferrari"	"9"	"DNF"	"Spun Off"
"1982"	"1982 Brazilian F1 GP"	"Ferrari"	"8"	"6"	""
"1982"	"1982 South African F1 GP"	"Ferrari"	"6"	"18"	""
"1981"	"1981 Caesars Palace F1 GP"	"Ferrari"	"18"	"9"	""
"1981"	"1981 Canadian F1 GP"	"Ferrari"	"12"	"DNF"	"Ignition"
"1981"	"1981 Italian F1 GP"	"Ferrari"	"8"	"5"	""
"1981"	"1981 Dutch F1 GP"	"Ferrari"	"12"	"DNF"	"Collision"
"1981"	"1981 Austrian F1 GP"	"Ferrari"	"8"	"9"	""
"1981"	"1981 German F1 GP"	"Ferrari"	"5"	"DNF"	"Electrical"
"1981"	"1981 British F1 GP"	"Ferrari"	"4"	"DNF"	"Turbo"
"1981"	"1981 French F1 GP"	"Ferrari"	"14"	"5"	""
"1981"	"1981 Spanish F1 GP"	"Ferrari"	"13"	"15"	""
"1981"	"1981 Monaco F1 GP"	"Ferrari"	"17"	"4"	""
"1981"	"1981 Belgian F1 GP"	"Ferrari"	"3"	"8"	""
"1981"	"1981 San Marino F1 GP"	"Ferrari"	"6"	"5"	""
"1981"	"1981 Argentine F1 GP"	"Ferrari"	"12"	"DNF"	"Engine"
"1981"	"1981 Brazilian F1 GP"	"Ferrari"	"17"	"DNF"	"Collision"
"1981"	"1981 USA West F1 GP"	"Ferrari"	"11"	"DNF"	"Fuel System"
"1980"	"1980 USA F1 GP"	"Ligier"	"7"	"3"	""
"1980"	"1980 Canadian F1 GP"	"Ligier"	"3"	"3"	""
"1980"	"1980 Italian F1 GP"	"Ligier"	"13"	"6"	""
"1980"	"1980 Dutch F1 GP"	"Ligier"	"15"	"DNF"	"Accident"
"1980"	"1980 Austrian F1 GP"	"Ligier"	"13"	"DNF"	"Handling"
