"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1986"	"1986 Monaco F1 GP"	"Brabham"	"20"	"DNF"	"Engine"
"1986"	"1986 San Marino F1 GP"	"Brabham"	"19"	"DNF"	"Engine"
"1986"	"1986 Spanish F1 GP"	"Brabham"	"15"	"DNF"	"Gearbox"
"1986"	"1986 Brazilian F1 GP"	"Brabham"	"14"	"8"	""
"1985"	"1985 Australian F1 GP"	"Team Lotus"	"10"	"DSQ"	"No Time"
"1985"	"1985 South African F1 GP"	"Team Lotus"	"6"	"DNF"	"Engine"
"1985"	"1985 European F1 GP"	"Team Lotus"	"9"	"5"	""
"1985"	"1985 Belgian F1 GP"	"Team Lotus"	"9"	"DNF"	"Turbo"
"1985"	"1985 Italian F1 GP"	"Team Lotus"	"6"	"6"	""
"1985"	"1985 Dutch F1 GP"	"Team Lotus"	"11"	"5"	""
"1985"	"1985 Austrian F1 GP"	"Team Lotus"	"7"	"5"	""
"1985"	"1985 German F1 GP"	"Team Lotus"	"7"	"DNF"	"Engine"
"1985"	"1985 British F1 GP"	"Team Lotus"	"8"	"NC"	"Not Classified"
"1985"	"1985 French F1 GP"	"Team Lotus"	"7"	"5"	""
"1985"	"1985 Detroit F1 GP"	"Team Lotus"	"8"	"5"	""
"1985"	"1985 Canadian F1 GP"	"Team Lotus"	"1"	"5"	""
"1985"	"1985 Monaco F1 GP"	"Team Lotus"	"9"	"3"	""
"1985"	"1985 San Marino F1 GP"	"Team Lotus"	"3"	"1"	""
"1985"	"1985 Portuguese F1 GP"	"Team Lotus"	"4"	"4"	""
"1985"	"1985 Brazilian F1 GP"	"Team Lotus"	"3"	"3"	""
"1984"	"1994 Portuguese F1 GP"	"Team Lotus"	"5"	"5"	""
"1984"	"1984 European F1 GP"	"Team Lotus"	"23"	"DNF"	"Turbo"
"1984"	"1984 Italian F1 GP"	"Team Lotus"	"3"	"DNF"	"Gearbox"
"1984"	"1984 Dutch F1 GP"	"Team Lotus"	"3"	"4"	""
"1984"	"1984 Austrian F1 GP"	"Team Lotus"	"3"	"DNF"	"Engine"
"1984"	"1984 German F1 GP"	"Team Lotus"	"2"	"DNF"	"Turbo"
"1984"	"1984 British F1 GP"	"Team Lotus"	"4"	"4"	""
"1984"	"1984 Dallas F1 GP"	"Team Lotus"	"2"	"3"	""
"1984"	"1984 Detroit F1 GP"	"Team Lotus"	"5"	"2"	""
"1984"	"1984 Canadian F1 GP"	"Team Lotus"	"3"	"4"	""
"1984"	"1984 Monaco F1 GP"	"Team Lotus"	"11"	"5"	""
"1984"	"1984 French F1 GP"	"Team Lotus"	"2"	"5"	""
"1984"	"1984 San Marino F1 GP"	"Team Lotus"	"11"	"3"	"Out of Fuel"
"1984"	"1984 Belgian F1 GP"	"Team Lotus"	"5"	"5"	""
"1984"	"1984 South African F1 GP"	"Team Lotus"	"7"	"7"	""
"1984"	"1984 Brazilian F1 GP"	"Team Lotus"	"1"	"3"	""
"1983"	"1983 South African F1 GP"	"Team Lotus"	"11"	"DNF"	"Engine"
"1983"	"1983 European F1 GP"	"Team Lotus"	"1"	"DNF"	"Oil Pump"
"1983"	"1983 Italian F1 GP"	"Team Lotus"	"8"	"5"	""
"1983"	"1983 Dutch F1 GP"	"Team Lotus"	"3"	"DNF"	"Electrical"
"1983"	"1983 Austrian F1 GP"	"Team Lotus"	"12"	"DNF"	"Collision"
"1983"	"1983 German F1 GP"	"Team Lotus"	"11"	"DNF"	"Engine"
"1983"	"1983 British F1 GP"	"Team Lotus"	"4"	"DNF"	"Turbo"
"1983"	"1983 Canadian F1 GP"	"Team Lotus"	"11"	"DNF"	"Throttle"
"1983"	"1983 Detroit F1 GP"	"Team Lotus"	"4"	"DNF"	"Gearbox"
"1983"	"1983 Belgian F1 GP"	"Team Lotus"	"13"	"9"	""
"1983"	"1983 Monaco F1 GP"	"Team Lotus"	"19"	"DNF"	"Halfshaft"
"1983"	"1983 San Marino F1 GP"	"Team Lotus"	"9"	"DNF"	"Handling"
