"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1983"	"1983 Belgian F1 GP"	"RAM"	"0"	"DNQ"	"No Time"
"1983"	"1983 Monaco F1 GP"	"RAM"	"0"	"DNQ"	"No Time"
"1983"	"1983 San Marino F1 GP"	"RAM"	"0"	"DNQ"	"No Time"
"1983"	"1983 French F1 GP"	"RAM"	"0"	"DNQ"	"No Time"
"1983"	"1983 USA West F1 GP"	"RAM"	"25"	"DNF"	"Gearbox"
"1983"	"1983 Brazilian F1 GP"	"RAM"	"26"	"14"	""
"1982"	"1982 Caesars Palace F1 GP"	"ATS"	"0"	"DNQ"	"No Time"
"1982"	"1982 Italian F1 GP"	"ATS"	"25"	"9"	""
"1982"	"1982 Swiss F1 GP"	"ATS"	"25"	"14"	""
"1982"	"1982 Austrian F1 GP"	"ATS"	"0"	"DNQ"	"No Time"
"1982"	"1982 German F1 GP"	"ATS"	"22"	"DNF"	"Collision"
"1982"	"1982 French F1 GP"	"ATS"	"22"	"DNF"	"Spun Off"
"1982"	"1982 British F1 GP"	"ATS"	"0"	"DNQ"	"No Time"
"1982"	"1982 Dutch F1 GP"	"ATS"	"25"	"13"	""
"1982"	"1982 Canadian F1 GP"	"ATS"	"24"	"DNF"	"Engine"
"1982"	"1982 Detroit F1 GP"	"ATS"	"25"	"DNF"	"Spun Off"
"1982"	"1982 Monaco F1 GP"	"ATS"	"20"	"DNF"	"Mechanical"
"1982"	"1982 Belgian F1 GP"	"ATS"	"18"	"DNF"	"Collision"
"1982"	"1982 San Marino F1 GP"	"ATS"	"14"	"5"	""
"1982"	"1982 USA West F1 GP"	"ATS"	"26"	"DNF"	"Collision"
"1982"	"1982 Brazilian F1 GP"	"ATS"	"18"	"DNF"	"Engine"
"1982"	"1982 South African F1 GP"	"ATS"	"12"	"9"	""
"1981"	"1981 Caesars Palace F1 GP"	"Ensign"	"24"	"NC"	"Not Classified"
"1981"	"1981 Canadian F1 GP"	"Ensign"	"24"	"DNF"	"Spun Off"
"1981"	"1981 Italian F1 GP"	"Ensign"	"24"	"DNF"	"Spun Off"
"1981"	"1981 Dutch F1 GP"	"Ensign"	"24"	"6"	""
"1981"	"1981 Austrian F1 GP"	"Ensign"	"20"	"DNF"	"Oil Pressure"
"1981"	"1981 German F1 GP"	"Ensign"	"23"	"NC"	"Not Classified"
"1981"	"1981 British F1 GP"	"Ensign"	"0"	"DNQ"	"No Time"
"1981"	"1981 French F1 GP"	"Ensign"	"22"	"DNF"	"Suspension"
"1981"	"1981 Spanish F1 GP"	"Ensign"	"24"	"14"	""
"1981"	"1981 Monaco F1 GP"	"March"	"0"	"DNQ"	"No Time"
"1981"	"1981 Belgian F1 GP"	"March"	"0"	"DNQ"	"No Time"
"1981"	"1981 San Marino F1 GP"	"March"	"23"	"DNF"	"Spun Off"
"1981"	"1981 Argentine F1 GP"	"March"	"0"	"DNQ"	"No Time"
"1981"	"1981 Brazilian F1 GP"	"Osella"	"0"	"DNQ"	"No Time"
"1981"	"1981 USA West F1 GP"	"March"	"0"	"DNQ"	"No Time"
