"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1991"	"1991 Australian F1 GP"	"Dallara"	"13"	"7"	""
"1991"	"1991 Japanese F1 GP"	"Dallara"	"16"	"DNF"	"Accident"
"1991"	"1991 Spanish F1 GP"	"Dallara"	"9"	"15"	""
"1991"	"1991 Portuguese F1 GP"	"Dallara"	"16"	"DNF"	"Engine"
"1991"	"1991 Italian F1 GP"	"Dallara"	"16"	"10"	""
"1991"	"1991 Belgian F1 GP"	"Dallara"	"25"	"8"	""
"1991"	"1991 Hungarian F1 GP"	"Dallara"	"7"	"DNF"	"Engine"
"1991"	"1991 German F1 GP"	"Dallara"	"18"	"10"	""
"1991"	"1991 British F1 GP"	"Dallara"	"18"	"10"	""
"1991"	"French Grand Prix"	"Dallara"	"0"	"DNPQ"	"No Time"
"1991"	"1991 Mexican F1 GP"	"Dallara"	"0"	"DNPQ"	"No Time"
"1991"	"1991 Canadian F1 GP"	"Dallara"	"10"	"9"	""
"1991"	"1991 Monaco F1 GP"	"Dallara"	"12"	"6"	""
"1991"	"1991 San Marino F1 GP"	"Dallara"	"0"	"DNPQ"	"No Time"
"1991"	"1991 Brazilian F1 GP"	"Dallara"	"12"	"11"	""
"1991"	"1991 USA F1 GP"	"Dallara"	"9"	"DNF"	"Gearbox"
"1990"	"1990 Australian F1 GP"	"Dallara"	"21"	"DNF"	"Engine"
"1990"	"1990 Japanese F1 GP"	"Dallara"	"19"	"DNF"	"Alternator"
"1990"	"1990 Spanish F1 GP"	"Dallara"	"16"	"DNF"	"Throttle"
"1990"	"1990 Portuguese F1 GP"	"Dallara"	"13"	"15"	""
"1990"	"1990 Italian F1 GP"	"Dallara"	"19"	"DNF"	"Spun Off"
"1990"	"1990 Belgian F1 GP"	"Dallara"	"17"	"DNF"	"Water Leak"
"1990"	"1990 Hungarian F1 GP"	"Dallara"	"13"	"10"	""
"1990"	"1990 German F1 GP"	"Dallara"	"23"	"DNF"	"Collision"
"1990"	"1990 British F1 GP"	"Dallara"	"19"	"11"	""
"1990"	"1990 French F1 GP"	"Dallara"	"24"	"DNF"	"Brakes"
"1990"	"1990 Mexican F1 GP"	"Dallara"	"18"	"DNF"	"Engine"
"1990"	"1990 Canadian F1 GP"	"Dallara"	"19"	"DNF"	"Collision"
"1990"	"1990 Monaco F1 GP"	"Dallara"	"9"	"DNF"	"Engine"
"1990"	"1990 San Marino F1 GP"	"Dallara"	"21"	"DNF"	"Spun Off"
"1989"	"1989 Australian F1 GP"	"Benetton"	"13"	"5"	""
"1989"	"1989 Japanese F1 GP"	"Benetton"	"22"	"DNF"	"Collision"
"1989"	"1989 Spanish F1 GP"	"Benetton"	"10"	"DNF"	"Spun Off"
"1989"	"1989 Portuguese F1 GP"	"Benetton"	"16"	"DNF"	"Suspension"
"1989"	"1989 Italian F1 GP"	"Benetton"	"9"	"DNF"	"Transmission"
"1989"	"1989 Belgian F1 GP"	"Benetton"	"13"	"10"	""
"1989"	"1989 Hungarian F1 GP"	"Benetton"	"25"	"8"	""
"1989"	"1989 German F1 GP"	"Benetton"	"9"	"DNF"	"Spun Off"
"1989"	"1989 British F1 GP"	"Benetton"	"26"	"11"	""
"1989"	"1989 French F1 GP"	"Benetton"	"24"	"9"	""
