"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1982"	"1982 Dutch F1 GP"	"March"	"0"	"DNPQ"	"No Time"
"1982"	"1982 Canadian F1 GP"	"March"	"0"	"DNQ"	"No Time"
"1982"	"1982 Detroit F1 GP"	"March"	"0"	"DNQ"	"No Time"
"1982"	"1982 Monaco F1 GP"	"March"	"0"	"DNPQ"	"No Time"
"1982"	"1982 Belgian F1 GP"	"March"	"0"	"DNPQ"	"No Time"
"1978"	"1978 Spanish F1 GP"	"McLaren"	"0"	"DNQ"	"No Time"
"1977"	"1977 Italian F1 GP"	"McLaren"	"0"	"DNQ"	"No Time"
"1977"	"1977 Austrian F1 GP"	"McLaren"	"26"	"17"	"Accident"
"1977"	"1977 German F1 GP"	"McLaren"	"0"	"DNQ"	"No Time"
"1977"	"1977 British F1 GP"	"McLaren"	"0"	"DNQ"	"No Time"
"1977"	"1977 Swedish F1 GP"	"McLaren"	"0"	"DNQ"	"No Time"
"1977"	"1977 Belgian F1 GP"	"McLaren"	"0"	"DNQ"	"No Time"
"1977"	"1977 Spanish F1 GP"	"McLaren"	"23"	"13"	""
"1976"	"1976 Spanish F1 GP"	"Brabham"	"0"	"DNQ"	"No Time"
