"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"2002"	"2002 German F1 GP"	"Arrows"	"18"	"DNF"	"Engine"
"2002"	"2002 French F1 GP"	"Arrows"	"0"	"DNQ"	"No Time"
"2002"	"2002 British F1 GP"	"Arrows"	"18"	"DNF"	"Driveshaft"
"2002"	"2002 European F1 GP"	"Arrows"	"21"	"11"	""
"2002"	"2002 Canadian F1 GP"	"Arrows"	"17"	"DNF"	"Suspension"
"2002"	"2002 Monaco F1 GP"	"Arrows"	"21"	"12"	""
"2002"	"2002 Austrian F1 GP"	"Arrows"	"12"	"DNF"	"Collision"
"2002"	"2002 Spanish F1 GP"	"Arrows"	"14"	"DNF"	"Hydraulics"
"2002"	"2002 San Marino F1 GP"	"Arrows"	"20"	"DNF"	"Power loss"
"2002"	"2002 Brazilian F1 GP"	"Arrows"	"21"	"DNF"	"Suspension"
"2002"	"2002 Malaysian F1 GP"	"Arrows"	"16"	"DNF"	"Fuel"
"2002"	"2002 Australian F1 GP"	"Arrows"	"17"	"DSQ"	"Disqualified"
"2001"	"2001 Japanese F1 GP"	"Arrows"	"20"	"14"	""
"2001"	"2001 USA F1 GP"	"Arrows"	"19"	"13"	""
"2001"	"2001 Italian F1 GP"	"Arrows"	"18"	"DNF"	"Crankshaft"
"2001"	"2001 Belgian F1 GP"	"Arrows"	"21"	"12"	""
"2001"	"2001 Hungarian F1 GP"	"Arrows"	"20"	"DNF"	"Spun off"
"2001"	"2001 German F1 GP"	"Arrows"	"19"	"8"	""
"2001"	"2001 British F1 GP"	"Arrows"	"20"	"14"	""
"2001"	"2001 French F1 GP"	"Arrows"	"20"	"DNF"	"Engine"
"2001"	"2001 European F1 GP"	"Arrows"	"18"	"DNF"	"Gearbox"
"2001"	"2001 Canadian F1 GP"	"Arrows"	"17"	"DNF"	"Engine"
"2001"	"2001 Monaco F1 GP"	"Arrows"	"20"	"9"	""
"2001"	"2001 Austrian F1 GP"	"Arrows"	"15"	"DNF"	"Hydraulics"
"2001"	"2001 Spanish F1 GP"	"Arrows"	"16"	"DNF"	"Fuel Pressure"
"2001"	"2001 San Marino F1 GP"	"Arrows"	"16"	"10"	""
"2001"	"2001 Brazilian F1 GP"	"Arrows"	"16"	"DNF"	"Hydraulics"
"2001"	"2001 Malaysian F1 GP"	"Arrows"	"22"	"DNF"	"Spun off"
"2001"	"2001 Australian F1 GP"	"Arrows"	"18"	"DNF"	"Spun off"
