"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1992"	"1992 Italian F1 GP"	"Fondmetal"	"25"	"DNF"	"Clutch"
"1992"	"1992 Belgian F1 GP"	"Fondmetal"	"15"	"10"	""
"1992"	"1992 Hungarian F1 GP"	"Fondmetal"	"18"	"DNF"	"Spun Off"
"1992"	"1992 German F1 GP"	"Brabham"	"0"	"DNQ"	"No Time"
"1992"	"1992 British F1 GP"	"Brabham"	"0"	"WD"	"No Time"
"1992"	"1992 French F1 GP"	"Brabham"	"0"	"DNQ"	"No Time"
"1992"	"1992 Canadian F1 GP"	"Brabham"	"0"	"DNQ"	"No Time"
"1992"	"1992 Monaco F1 GP"	"Brabham"	"0"	"DNQ"	"No Time"
"1992"	"San Marino Grand Prix"	"Brabham"	"0"	"DNQ"	"No Time"
"1992"	"1992 Spanish F1 GP"	"Brabham"	"0"	"DNQ"	"No Time"
"1992"	"1992 Brazilian F1 GP"	"Brabham"	"0"	"DNQ"	"No Time"
"1992"	"1992 Mexican F1 GP"	"Brabham"	"0"	"DNQ"	"No Time"
"1992"	"1992 South African F1 GP"	"Brabham"	"26"	"13"	""
"1991"	"1991 Australian F1 GP"	"Lambo"	"0"	"DNQ"	"No Time"
"1991"	"1991 Japanese F1 GP"	"Lambo"	"0"	"DNQ"	"No Time"
"1991"	"1991 Spanish F1 GP"	"Lambo"	"0"	"DNQ"	"No Time"
"1991"	"1991 Portuguese F1 GP"	"Lambo"	"0"	"DNQ"	"No Time"
"1991"	"1991 Italian F1 GP"	"Lambo"	"0"	"DNQ"	"No Time"
"1991"	"1991 Belgian F1 GP"	"Lambo"	"0"	"DNQ"	"No Time"
"1991"	"1991 Hungarian F1 GP"	"Lambo"	"0"	"DNQ"	"No Time"
"1991"	"1991 German F1 GP"	"Lambo"	"0"	"DNQ"	"No Time"
"1991"	"1991 British F1 GP"	"Lambo"	"0"	"DNPQ"	"No Time"
"1991"	"French Grand Prix"	"Lambo"	"0"	"DNPQ"	"No Time"
"1991"	"1991 Mexican F1 GP"	"Lambo"	"0"	"DNPQ"	"No Time"
"1991"	"1991 Canadian F1 GP"	"Lambo"	"0"	"DNPQ"	"No Time"
"1991"	"1991 Monaco F1 GP"	"Lambo"	"0"	"DNPQ"	"No Time"
"1991"	"1991 San Marino F1 GP"	"Lambo"	"21"	"9"	"Out of fuel"
"1991"	"1991 Brazilian F1 GP"	"Lambo"	"0"	"DNPQ"	"No Time"
"1991"	"1991 USA F1 GP"	"Lambo"	"0"	"DNPQ"	"No Time"
