"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"2016"	"2016 Abu Dhabi F1 GP"	"Haas"	"13"	"12"	""
"2016"	"2016 Brazilian F1 GP"	"Haas"	"12"	"DNF"	"Technical"
"2016"	"2016 Mexican F1 GP"	"Haas"	"17"	"19"	""
"2016"	"2016 USA F1 GP"	"Haas"	"14"	"DNF"	"Tecnical"
"2016"	"2016 Japanese F1 GP"	"Haas"	"10"	"20"	""
"2016"	"2016 Malaysian F1 GP"	"Haas"	"13"	"DNF"	"Wheel failure"
"2016"	"2016 Singapore F1 GP"	"Haas"	"13"	"11"	""
"2016"	"2016 Italian F1 GP"	"Haas"	"10"	"13"	""
"2016"	"2016 Belgian F1 GP"	"Haas"	"18"	"12"	""
"2016"	"2016 German F1 GP"	"Haas"	"11"	"11"	""
"2016"	"2016 Hungarian F1 GP"	"Haas"	"15"	"13"	""
"2016"	"2016 British F1 GP"	"Haas"	"14"	"16"	""
"2016"	"2016 Austrian F1 GP"	"Haas"	"11"	"11"	""
"2016"	"2016 Azerbaijan F1 GP"	"Haas"	"14"	"16"	""
"2016"	"2016 Canadian F1 GP"	"Haas"	"13"	"13"	""
"2016"	"2016 Monaco F1 GP"	"Haas"	"12"	"11"	""
"2016"	"2016 Spanish F1 GP"	"Haas"	"16"	"11"	""
"2016"	"2016 Russian F1 GP"	"Haas"	"16"	"17"	""
"2016"	"2016 Chinese F1 GP"	"Haas"	"18"	"14"	""
"2016"	"2016 Bahrain F1 GP"	"Haas"	"19"	"DNF"	"Left-front brake disc"
"2016"	"2016 Australian F1 GP"	"Haas"	"20"	"DNF"	"Hit by Alonso"
"2014"	"2014 Abu Dhabi F1 GP"	"Sauber"	"14"	"15"	""
"2014"	"2014 Brazilian F1 GP"	"Sauber"	"11"	"14"	""
"2014"	"2014 USA F1 GP"	"Sauber"	"15"	"14"	""
"2014"	"2014 Russian F1 GP"	"Sauber"	"13"	"15"	""
"2014"	"2014 Japanese F1 GP"	"Sauber"	"16"	"13"	""
"2014"	"2014 Singapore F1 GP"	"Sauber"	"14"	"DNF"	"Electrical"
"2014"	"2014 Italian F1 GP"	"Sauber"	"16"	"19"	""
"2014"	"2014 Belgian F1 GP"	"Sauber"	"20"	"15"	""
"2014"	"2014 Hungarian F1 GP"	"Sauber"	"13"	"DNF"	"ERS"
"2014"	"2014 German F1 GP"	"Sauber"	"16"	"14"	""
"2014"	"2014 British F1 GP"	"Sauber"	"19"	"DNF"	"Collision"
"2014"	"2014 Austrian F1 GP"	"Sauber"	"17"	"19"	""
"2014"	"2014 Canadian F1 GP"	"Sauber"	"22"	"14"	"Energy storage system"
"2014"	"2014 Monaco F1 GP"	"Sauber"	"17"	"DNF"	"Puncture"
"2014"	"2014 Spanish F1 GP"	"Sauber"	"14"	"16"	""
"2014"	"2014 Chinese F1 GP"	"Sauber"	"17"	"16"	""
"2014"	"2014 Bahrain F1 GP"	"Sauber"	"15"	"DNF"	"Collision"
"2014"	"2014 Malaysian F1 GP"	"Sauber"	"12"	"DNF"	"Gearbox"
"2014"	"2014 Australian F1 GP"	"Sauber"	"20"	"12"	""
"2013"	"2013 Brazilian F1 GP"	"Sauber"	"17"	"12"	""
"2013"	"2013 USA F1 GP"	"Sauber"	"20"	"13"	""
"2013"	"2013 Abu Dhabi F1 GP"	"Sauber"	"15"	"13"	""
"2013"	"2013 Indian F1 GP"	"Sauber"	"16"	"15"	""
"2013"	"2013 Japanese F1 GP"	"Sauber"	"14"	"7"	""
"2013"	"2013 Korean F1 GP"	"Sauber"	"8"	"11"	""
"2013"	"2013 Singapore F1 GP"	"Sauber"	"10"	"12"	""
"2013"	"2013 Italian F1 GP"	"Sauber"	"16"	"13"	""
"2013"	"2013 Belgian F1 GP"	"Sauber"	"21"	"14"	""
"2013"	"2013 Hungarian F1 GP"	"Sauber"	"17"	"DNF"	"Hydraulics"
"2013"	"2013 German F1 GP"	"Sauber"	"14"	"14"	""
"2013"	"2013 British F1 GP"	"Sauber"	"17"	"14"	""
"2013"	"2013 Canadian F1 GP"	"Sauber"	"15"	"20"	"Technical"
"2013"	"2013 Monaco F1 GP"	"Sauber"	"19"	"13"	""
"2013"	"2013 Spanish F1 GP"	"Sauber"	"19"	"11"	""
"2013"	"2013 Bahrain F1 GP"	"Sauber"	"22"	"18"	""
"2013"	"2013 Chinese F1 GP"	"Sauber"	"17"	"DNF"	"Collision"
"2013"	"2013 Malaysian F1 GP"	"Sauber"	"14"	"12"	""
"2013"	"2013 Australian F1 GP"	"Sauber"	"18"	"13"	""
