"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1957"	"1957 Argentine F1 GP"	"Ferrari"	"4"	"DNF"	"Wheel"
"1956"	"1956 Italian F1 GP"	"Ferrari"	"0"	"8"	""
"1956"	"1956 Italian F1 GP"	"Ferrari"	"2"	"DNF"	"Tyre"
"1956"	"1956 German F1 GP"	"Ferrari"	"3"	"DNF"	"Electrical"
"1956"	"1956 German F1 GP"	"Ferrari"	"5"	"DNF"	"Accident"
"1956"	"1956 British F1 GP"	"Ferrari"	"8"	"10"	""
"1956"	"1956 French F1 GP"	"Ferrari"	"2"	"2"	""
"1956"	"1956 Belgian F1 GP"	"Ferrari"	"5"	"DNF"	"Transmission"
"1956"	"1956 Monaco F1 GP"	"Ferrari"	"3"	"DNF"	"Clutch"
"1956"	"1956 Monaco F1 GP"	"Ferrari"	"0"	"4"	""
"1956"	"1956 Argentine F1 GP"	"Ferrari"	"2"	"DNF"	"Gearbox"
"1955"	"1955 Italian F1 GP"	"Ferrari"	"4"	"3"	""
"1955"	"1955 British F1 GP"	"Ferrari"	"10"	"DNF"	"Transmission"
"1955"	"1955 British F1 GP"	"Ferrari"	"12"	"6"	""
"1955"	"1955 Dutch F1 GP"	"Ferrari"	"9"	"5"	""
"1955"	"1955 Belgian F1 GP"	"Lancia"	"1"	"DNF"	"Gearbox"
"1955"	"1955 Monaco F1 GP"	"Lancia"	"4"	"2"	""
"1955"	"1955 Argentine F1 GP"	"Lancia"	"12"	"DNF"	"Accident"
"1956"	"1956 French F1 GP"	"Ferrari"	"2"	"2"	""
"1955"	"1955 Italian F1 GP"	"Ferrari"	"4"	"3"	""
"1955"	"1955 Monaco F1 GP"	"Lancia"	"4"	"2"	""
"1955"	"1955 Belgian F1 GP"	"Lancia"	"1"	"DNF"	"Gearbox"
