"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1953"	"1953 Italian F1 GP"	"Maserati"	"7"	"DNF"	"Out of fuel"
"1953"	"1953 Swiss F1 GP"	"Maserati"	"10"	"DNF"	"Engine"
"1953"	"1953 Swiss F1 GP"	"Maserati"	"0"	"4"	""
"1953"	"1953 German F1 GP"	"Maserati"	"7"	"4"	""
"1953"	"1953 British F1 GP"	"Maserati"	"16"	"6"	""
"1953"	"1953 French F1 GP"	"Maserati"	"2"	"DNF"	"Engine"
"1953"	"1953 Dutch F1 GP"	"Maserati"	"13"	"3"	""
"1953"	"1953 Argentine F1 GP"	"Maserati"	"15"	"DNF"	"Transmission"
"1952"	"1952 Italian F1 GP"	"Maserati"	"13"	"5"	""
"1952"	"1952 German F1 GP"	"Maserati"	"10"	"DNF"	"Disqualified"
"1951"	"1951 Spanish F1 GP"	"Alfa Romeo"	"8"	"5"	""
"1951"	"1951 Italian F1 GP"	"Alfa Romeo"	"7"	"3"	""
"1951"	"1951 German F1 GP"	"Alfa Romeo"	"10"	"DNF"	"Magneto"
"1951"	"1951 British F1 GP"	"Alfa Romeo"	"7"	"4"	""
"1950"	"1950 Italian F1 GP"	"Milano"	"23"	"DNS"	"Non Starter"
"1950"	"1950 French F1 GP"	"Maserati"	"10"	"DNF"	"Engine"
"1950"	"1950 Swiss F1 GP"	"Maserati"	"12"	"5"	""
"1953"	"1953 Dutch F1 GP"	"Maserati"	"13"	"3"	""
"1951"	"1951 Italian F1 GP"	"Alfa Romeo"	"7"	"3"	""
