"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1995"	"1995 European F1 GP"	"Tyrrell"	"19"	"14"	""
"1992"	"1992 Italian F1 GP"	"Fondmetal"	"20"	"DNF"	"Gearbox"
"1992"	"1992 Belgian F1 GP"	"Fondmetal"	"11"	"DNF"	"Engine"
"1992"	"1992 Hungarian F1 GP"	"Fondmetal"	"12"	"DNF"	"Collision"
"1992"	"1992 German F1 GP"	"Fondmetal"	"19"	"DNF"	"Engine"
"1992"	"1992 British F1 GP"	"Fondmetal"	"15"	"14"	""
"1992"	"1992 French F1 GP"	"Fondmetal"	"23"	"DNF"	"Throttle"
"1992"	"1992 Canadian F1 GP"	"Fondmetal"	"18"	"DNF"	"Transmission"
"1992"	"1992 Monaco F1 GP"	"Fondmetal"	"25"	"DNF"	"Engine"
"1992"	"San Marino Grand Prix"	"Fondmetal"	"22"	"DNF"	"Engine"
"1992"	"1992 Spanish F1 GP"	"Fondmetal"	"18"	"DNF"	"Spun Off"
"1992"	"1992 Brazilian F1 GP"	"Fondmetal"	"19"	"DNF"	"Engine"
"1992"	"1992 Mexican F1 GP"	"Fondmetal"	"14"	"DNF"	"Clutch"
"1992"	"1992 South African F1 GP"	"Fondmetal"	"15"	"DNF"	"Engine"
"1991"	"1991 Australian F1 GP"	"Fondmetal"	"0"	"DNPQ"	"No Time"
"1991"	"1991 Japanese F1 GP"	"Fondmetal"	"24"	"11"	""
"1991"	"1991 Spanish F1 GP"	"Fondmetal"	"22"	"12"	""
"1991"	"1991 Portuguese F1 GP"	"AGS"	"0"	"DNQ"	"No Time"
"1991"	"1991 Italian F1 GP"	"AGS"	"0"	"DNPQ"	"No Time"
"1991"	"1991 Belgian F1 GP"	"AGS"	"0"	"DNPQ"	"No Time"
"1991"	"1991 Hungarian F1 GP"	"AGS"	"0"	"DNPQ"	"No Time"
"1991"	"1991 German F1 GP"	"AGS"	"0"	"DNQ"	"No Time"
"1991"	"1991 British F1 GP"	"AGS"	"0"	"DNQ"	"No Time"
"1991"	"French Grand Prix"	"AGS"	"0"	"DNQ"	"No Time"
"1991"	"1991 Mexican F1 GP"	"AGS"	"0"	"DNQ"	"No Time"
"1991"	"1991 Canadian F1 GP"	"AGS"	"0"	"DNQ"	"No Time"
"1991"	"1991 Monaco F1 GP"	"AGS"	"24"	"DNF"	"Gearbox"
"1991"	"1991 San Marino F1 GP"	"AGS"	"0"	"DNQ"	"No Time"
"1991"	"1991 Brazilian F1 GP"	"AGS"	"24"	"DNF"	"Suspension"
"1991"	"1991 USA F1 GP"	"AGS"	"22"	"8"	""
"1990"	"1990 Australian F1 GP"	"AGS"	"26"	"DNF"	"Engine"
"1990"	"1990 Japanese F1 GP"	"AGS"	"0"	"DNQ"	"No Time"
"1990"	"1990 Spanish F1 GP"	"AGS"	"22"	"DNF"	"Engine"
"1990"	"1990 Portuguese F1 GP"	"AGS"	"0"	"DNQ"	"No Time"
"1990"	"1990 Italian F1 GP"	"AGS"	"0"	"DNQ"	"No Time"
"1990"	"1990 Belgian F1 GP"	"AGS"	"0"	"DNQ"	"No Time"
"1990"	"1990 Hungarian F1 GP"	"AGS"	"24"	"13"	""
"1990"	"1990 German F1 GP"	"AGS"	"0"	"DNPQ"	"No Time"
"1990"	"1990 British F1 GP"	"AGS"	"26"	"DNF"	"Engine"
"1990"	"1990 French F1 GP"	"AGS"	"0"	"DNQ"	"No Time"
"1990"	"1990 Mexican F1 GP"	"AGS"	"0"	"DNPQ"	"No Time"
"1990"	"1990 Canadian F1 GP"	"AGS"	"0"	"DNPQ"	"No Time"
"1990"	"1990 Monaco F1 GP"	"AGS"	"0"	"DNPQ"	"No Time"
"1990"	"1990 San Marino F1 GP"	"AGS"	"0"	"DNPQ"	"No Time"
"1990"	"1990 Brazilian F1 GP"	"AGS"	"0"	"DNPQ"	"No Time"
"1990"	"1990 USA F1 GP"	"AGS"	"0"	"DNPQ"	"No Time"
"1989"	"1989 Spanish F1 GP"	"AGS"	"0"	"DNPQ"	"No Time"
"1989"	"1989 Portuguese F1 GP"	"AGS"	"0"	"DNPQ"	"No Time"
"1989"	"1989 Italian F1 GP"	"AGS"	"0"	"DNPQ"	"No Time"
"1989"	"1989 Belgian F1 GP"	"AGS"	"0"	"DNPQ"	"No Time"
"1989"	"1989 Hungarian F1 GP"	"AGS"	"0"	"DNPQ"	"No Time"
"1989"	"1989 German F1 GP"	"AGS"	"0"	"DNPQ"	"No Time"
"1989"	"1989 British F1 GP"	"AGS"	"0"	"DNQ"	"No Time"
"1989"	"1989 French F1 GP"	"AGS"	"21"	"DNF"	"Engine"
"1989"	"1989 Canadian F1 GP"	"AGS"	"25"	"DNF"	"Spun Off"
"1989"	"1989 USA F1 GP"	"AGS"	"24"	"7"	"Engine"
"1989"	"1989 Mexican F1 GP"	"AGS"	"17"	"6"	""
"1989"	"1989 Monaco F1 GP"	"AGS"	"13"	"DNF"	"Electrical"
"1989"	"1989 San Marino F1 GP"	"AGS"	"18"	"8"	""
"1988"	"1988 Australian F1 GP"	"Coloni"	"0"	"DNQ"	"No Time"
"1988"	"1988 Japanese F1 GP"	"Coloni"	"0"	"DNPQ"	"No Time"
"1988"	"1988 Spanish F1 GP"	"Coloni"	"0"	"DNPQ"	"No Time"
"1988"	"1988 Portuguese F1 GP"	"Coloni"	"26"	"11"	""
"1988"	"1988 Italian F1 GP"	"Coloni"	"0"	"DNQ"	"No Time"
"1988"	"1988 Belgian F1 GP"	"Coloni"	"22"	"DNF"	"Steering"
"1988"	"1988 Hungarian F1 GP"	"Coloni"	"22"	"13"	""
"1988"	"1988 German F1 GP"	"Coloni"	"0"	"DNPQ"	"No Time"
"1988"	"1988 British F1 GP"	"Coloni"	"0"	"DNPQ"	"No Time"
"1988"	"1988 French F1 GP"	"Coloni"	"0"	"DNPQ"	"No Time"
"1988"	"1988 Detroit F1 GP"	"Coloni"	"0"	"DNQ"	"No Time"
"1988"	"1988 Canadian F1 GP"	"Coloni"	"26"	"8"	""
"1988"	"1988 Mexican F1 GP"	"Coloni"	"21"	"14"	""
"1988"	"1988 Monaco F1 GP"	"Coloni"	"24"	"DNF"	"Suspension"
"1988"	"1988 San Marino F1 GP"	"Coloni"	"17"	"DNF"	"Fuel System"
"1988"	"1988 Brazilian F1 GP"	"Coloni"	"25"	"DNF"	"Suspension"
"1987"	"1987 San Marino F1 GP"	"Osella"	"25"	"DNF"	"Gearbox"
