"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1982"	"1982 French F1 GP"	"Team Lotus"	"24"	"12"	""
"1982"	"1982 Canadian F1 GP"	"Theodore"	"25"	"DNF"	"Collision on first start"
"1980"	"1980 USA F1 GP"	"Williams"	"0"	"DNQ"	"No Time"
"1980"	"1980 Italian F1 GP"	"Ensign"	"0"	"DNQ"	"No Time"
"1980"	"1980 Dutch F1 GP"	"Ensign"	"24"	"DNF"	"Accident"
"1980"	"1980 French F1 GP"	"Shadow"	"0"	"DNQ"	"No Time"
"1980"	"1980 Monaco F1 GP"	"Shadow"	"0"	"DNQ"	"No Time"
"1980"	"1980 Belgian F1 GP"	"Shadow"	"0"	"DNQ"	"No Time"
"1980"	"1980 USA West F1 GP"	"Shadow"	"0"	"DNQ"	"No Time"
"1980"	"1980 South African F1 GP"	"Shadow"	"24"	"13"	"Suspension"
"1979"	"1979 German F1 GP"	"Tyrrell"	"16"	"7"	""
"1978"	"1978 British F1 GP"	"Ensign"	"0"	"DNQ"	"No Time"
