"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1971"	"1971 Canadian F1 GP"	"BRM"	"21"	"15"	""
"1970"	"1970 USA F1 GP"	"BRM"	"14"	"DNF"	"Engine"
"1970"	"1970 Canadian F1 GP"	"BRM"	"9"	"10"	""
"1970"	"1970 Italian F1 GP"	"BRM"	"20"	"DNF"	"Overheating"
"1970"	"1970 Austrian F1 GP"	"BRM"	"23"	"11"	""
"1970"	"1970 British F1 GP"	"BRM"	"16"	"DNF"	"Oil Pressure"
"1970"	"1970 French F1 GP"	"BRM"	"19"	"12"	""
"1970"	"1970 Dutch F1 GP"	"BRM"	"18"	"DNF"	"Oil Leak"
"1970"	"1970 Monaco F1 GP"	"BRM"	"0"	"DNQ"	"No Time"
"1970"	"1970 Spanish F1 GP"	"BRM"	"0"	"DNQ"	"No Time"
"1970"	"1970 South African F1 GP"	"BRM"	"23"	"DNF"	"Engine"
"1969"	"1969 Mexican F1 GP"	"BRM"	"17"	"DNF"	"Gearbox"
"1969"	"1969 USA F1 GP"	"BRM"	"9"	"DNF"	"Engine"
