"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1973"	"1973 USA F1 GP"	"Shadow"	"20"	"14"	""
"1973"	"1973 Canadian F1 GP"	"Shadow"	"13"	"17"	""
"1973"	"1973 Italian F1 GP"	"Shadow"	"21"	"10"	""
"1973"	"1973 Austrian F1 GP"	"Shadow"	"20"	"DNF"	"Differential"
"1973"	"1973 German F1 GP"	"Shadow"	"21"	"DNF"	"Accident"
"1973"	"1973 Dutch F1 GP"	"Shadow"	"22"	"10"	""
"1973"	"1973 British F1 GP"	"Shadow"	"25"	"DNF"	"Collision"
"1973"	"1973 French F1 GP"	"Shadow"	"20"	"DNF"	"Fuel System"
"1973"	"1973 Swedish F1 GP"	"Shadow"	"19"	"14"	""
"1973"	"1973 Belgian F1 GP"	"Shadow"	"11"	"DNF"	"Throttle"
"1973"	"1973 Spanish F1 GP"	"Shadow"	"14"	"3"	""
"1973"	"1973 South African F1 GP"	"Shadow"	"21"	"6"	""
