"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"2021"	"2021 Abu Dhabi F1 GP"	"Williams"	"17"	"DNF"	"Gearbox"
"2021"	"2021 Saudi Arabian F1 GP"	"Williams"	"14"	"DNF"	"Collision"
"2021"	"2021 Qatar F1 GP"	"Williams"	"15"	"17"	""
"2021"	"2021 Brazilian F1 GP"	"Williams"	"17"	"13"	""
"2021"	"2021 Mexico F1 GP"	"Williams"	"16"	"16"	""
"2021"	"2021 USA F1 GP"	"Williams"	"20"	"14"	""
"2021"	"2021 Turkish F1 GP"	"Williams"	"13"	"15"	""
"2021"	"2021 Russian F1 GP"	"Williams"	"3"	"10"	""
"2021"	"2021 Italian F1 GP"	"Williams"	"14"	"9"	""
"2021"	"2021 Dutch F1 GP"	"Williams"	"11"	"DNF"	"Gearbox"
"2021"	"2021 Belgian F1 GP"	"Williams"	"2"	"2"	""
"2021"	"2021 Hungarian F1 GP"	"Williams"	"17"	"8"	""
"2021"	"2021 British F1 GP"	"Williams"	"12"	"12"	""
"2021"	"2021 Austrian F1 GP"	"Williams"	"8"	"11"	""
"2021"	"2021 Styrian F1 GP"	"Williams"	"10"	"DNF"	"Hydraulics"
"2021"	"2021 French F1 GP"	"Williams"	"14"	"12"	""
"2021"	"2021 Azerbaijan F1 GP"	"Williams"	"15"	"DNF"	"Technical"
"2021"	"2021 Monaco F1 GP"	"Williams"	"14"	"14"	""
"2021"	"2021 Spanish F1 GP"	"Williams"	"15"	"14"	""
"2021"	"2021 Portuguese F1 GP"	"Williams"	"11"	"16"	""
"2021"	"2021 E. Romagna F1 GP"	"Williams"	"12"	"DNF"	"Collision"
"2021"	"2021 Bahrain F1 GP"	"Williams"	"15"	"14"	""
"2020"	"2020 Abu Dhabi F1 GP"	"Williams"	"16"	"15"	""
"2020"	"2020 Sakhir F1 GP"	"Mercedes"	"2"	"9"	""
"2020"	"2020 Bahrain F1 GP"	"Williams"	"14"	"12"	""
"2020"	"2020 Turkish F1 GP"	"Williams"	"20"	"16"	""
"2020"	"2020 E. Romagna F1 GP"	"Williams"	"13"	"DNF"	"Spun off"
"2020"	"2020 Portuguese F1 GP"	"Williams"	"14"	"14"	""
"2020"	"2020 Eifel F1 GP"	"Williams"	"17"	"DNF"	"Collision damage"
"2020"	"2020 Russian F1 GP"	"Williams"	"13"	"18"	""
"2020"	"2020 Tuscan F1 GP"	"Williams"	"18"	"11"	""
"2020"	"2020 Italian F1 GP"	"Williams"	"19"	"14"	""
"2020"	"2020 Belgian F1 GP"	"Williams"	"15"	"DNF"	"Crashed"
"2020"	"2020 Spanish F1 GP"	"Williams"	"18"	"17"	""
"2020"	"70th Anniversary F1 GP"	"Williams"	"15"	"18"	""
"2020"	"2020 British F1 GP"	"Williams"	"20"	"12"	""
"2020"	"2020 Hungarian F1 GP"	"Williams"	"12"	"18"	""
"2020"	"2020 Styrian F1 GP"	"Williams"	"11"	"16"	""
"2020"	"2020 Austrian F1 GP"	"Williams"	"17"	"DNF"	"Gearbox"
"2019"	"2019 Abu Dhabi F1 GP"	"Williams"	"18"	"17"	""
"2019"	"2019 Brazilian F1 GP"	"Williams"	"18"	"12"	""
"2019"	"2019 USA F1 GP"	"Williams"	"18"	"17"	""
"2019"	"2019 Mexican F1 GP"	"Williams"	"19"	"16"	""
"2019"	"2019 Japanese F1 GP"	"Williams"	"18"	"16"	""
"2019"	"2019 Russian F1 GP"	"Williams"	"17"	"DNF"	"Front Axle"
"2019"	"2019 Singapore F1 GP"	"Williams"	"18"	"DNF"	"Collision damage"
"2019"	"2019 Italian F1 GP"	"Williams"	"14"	"14"	""
"2019"	"2019 Belgian F1 GP"	"Williams"	"15"	"15"	""
"2019"	"2019 Hungarian F1 GP"	"Williams"	"15"	"16"	""
"2019"	"2019 German F1 GP"	"Williams"	"17"	"11"	""
"2019"	"2019 British F1 GP"	"Williams"	"19"	"14"	""
"2019"	"2019 Austrian F1 GP"	"Williams"	"20"	"18"	""
"2019"	"2019 French F1 GP"	"Williams"	"20"	"19"	""
"2019"	"2019 Canadian F1 GP"	"Williams"	"18"	"16"	""
"2019"	"2019 Monaco F1 GP"	"Williams"	"18"	"15"	""
"2019"	"2019 Spanish F1 GP"	"Williams"	"19"	"17"	""
"2019"	"2019 Azerbaijan F1 GP"	"Williams"	"16"	"15"	""
"2019"	"2019 Chinese F1 GP"	"Williams"	"17"	"16"	""
"2019"	"2019 Bahrain F1 GP"	"Williams"	"19"	"15"	""
"2019"	"2019 Australian F1 GP"	"Williams"	"19"	"16"	""
"2021"	"2021 Belgian F1 GP"	"Williams"	"2"	"2"	""
