"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1997"	"1997 European F1 GP"	"Benetton"	"8"	"4"	""
"1997"	"1997 Japanese F1 GP"	"Benetton"	"5"	"8"	""
"1997"	"1997 Luxembourg F1 GP"	"Benetton"	"7"	"4"	""
"1997"	"1997 Austrian F1 GP"	"Benetton"	"18"	"10"	""
"1997"	"1997 Italian F1 GP"	"Benetton"	"7"	"7"	""
"1997"	"1997 Belgian F1 GP"	"Benetton"	"15"	"6"	""
"1997"	"1997 Hungarian F1 GP"	"Benetton"	"7"	"8"	""
"1997"	"1997 German F1 GP"	"Benetton"	"1"	"1"	""
"1997"	"1997 Spanish F1 GP"	"Benetton"	"6"	"10"	""
"1997"	"1997 Monaco F1 GP"	"Benetton"	"17"	"9"	""
"1997"	"1997 San Marino F1 GP"	"Benetton"	"11"	"DNF"	"Spun off"
"1997"	"1997 Argentine F1 GP"	"Benetton"	"12"	"6"	""
"1997"	"1997 Brazilian F1 GP"	"Benetton"	"3"	"2"	""
"1997"	"1997 Australian F1 GP"	"Benetton"	"10"	"4"	""
"1996"	"1996 Japanese F1 GP"	"Benetton"	"4"	"4"	""
"1996"	"1996 Portuguese F1 GP"	"Benetton"	"5"	"6"	""
"1996"	"1996 Italian F1 GP"	"Benetton"	"8"	"DNF"	"Hydraulics"
"1996"	"1996 Belgian F1 GP"	"Benetton"	"5"	"6"	""
"1996"	"1996 Hungarian F1 GP"	"Benetton"	"6"	"DNF"	"Engine"
"1996"	"1996 German F1 GP"	"Benetton"	"2"	"13"	"Engine"
"1996"	"1996 British F1 GP"	"Benetton"	"7"	"2"	""
"1996"	"1996 French F1 GP"	"Benetton"	"4"	"4"	""
"1996"	"1996 Canadian F1 GP"	"Benetton"	"7"	"DNF"	"Spun off"
"1996"	"1996 Spanish F1 GP"	"Benetton"	"5"	"DNF"	"Spun off"
"1996"	"1996 Monaco F1 GP"	"Benetton"	"4"	"DNF"	"Gearbox"
"1996"	"1996 San Marino F1 GP"	"Benetton"	"7"	"3"	""
"1996"	"1996 European F1 GP"	"Benetton"	"8"	"9"	""
"1996"	"1996 Argentine F1 GP"	"Benetton"	"5"	"DNF"	"Suspension"
"1996"	"1996 Brazilian F1 GP"	"Benetton"	"8"	"DNF"	"Hydraulics"
"1996"	"1996 Australian F1 GP"	"Benetton"	"7"	"4"	""
"1995"	"1995 Australian F1 GP"	"Ferrari"	"4"	"DNF"	"Engine"
"1995"	"1995 Japanese F1 GP"	"Ferrari"	"5"	"DNF"	"Electrical"
"1995"	"1995 Pacific F1 GP"	"Ferrari"	"5"	"4"	""
"1995"	"1995 European F1 GP"	"Ferrari"	"4"	"DNF"	"Electrical"
"1995"	"1995 Portuguese F1 GP"	"Ferrari"	"4"	"4"	""
"1995"	"1995 Italian F1 GP"	"Ferrari"	"3"	"DNF"	"Suspension"
"1995"	"1995 Belgian F1 GP"	"Ferrari"	"1"	"DNF"	"Electrical"
"1995"	"1995 Hungarian F1 GP"	"Ferrari"	"4"	"3"	""
"1995"	"1995 German F1 GP"	"Ferrari"	"4"	"3"	""
"1995"	"1995 British F1 GP"	"Ferrari"	"4"	"DNF"	"Wheel"
"1995"	"1995 French F1 GP"	"Ferrari"	"7"	"12"	""
"1995"	"1995 Canadian F1 GP"	"Ferrari"	"4"	"11"	"Collision"
"1995"	"1995 Monaco F1 GP"	"Ferrari"	"4"	"3"	""
"1995"	"1995 Spanish F1 GP"	"Ferrari"	"3"	"3"	""
"1995"	"1995 San Marino F1 GP"	"Ferrari"	"2"	"3"	""
"1995"	"1995 Argentine F1 GP"	"Ferrari"	"8"	"6"	""
"1995"	"1995 Brazilian F1 GP"	"Ferrari"	"5"	"3"	""
"1994"	"1994 Australian F1 GP"	"Ferrari"	"11"	"2"	""
"1994"	"1994 Japanese F1 GP"	"Ferrari"	"11"	"DNF"	"Ignition"
"1994"	"1994 European F1 GP"	"Ferrari"	"6"	"5"	""
"1994"	"1994 Portuguese F1 GP"	"Ferrari"	"1"	"DNF"	"Gearbox"
"1994"	"1994 Italian F1 GP"	"Ferrari"	"2"	"2"	""
"1994"	"1994 Belgian F1 GP"	"Ferrari"	"11"	"DNF"	"Engine"
"1994"	"1994 Hungarian F1 GP"	"Ferrari"	"4"	"12"	"Engine"
"1994"	"1994 German F1 GP"	"Ferrari"	"1"	"1"	""
"1994"	"1994 British F1 GP"	"Ferrari"	"3"	"DNF"	"Engine"
"1994"	"1994 French F1 GP"	"Ferrari"	"5"	"3"	""
"1994"	"1994 Canadian F1 GP"	"Ferrari"	"3"	"4"	""
"1994"	"1994 Spanish F1 GP"	"Ferrari"	"7"	"DNF"	"Gearbox"
"1994"	"1994 Monaco F1 GP"	"Ferrari"	"3"	"3"	""
"1994"	"1994 San Marino F1 GP"	"Ferrari"	"3"	"DNF"	"Suspension"
"1994"	"1994 Pacific F1 GP"	"Ferrari"	"5"	"2"	""
"1994"	"1994 Brazilian F1 GP"	"Ferrari"	"17"	"DNF"	"Engine"
"1993"	"1993 Australian F1 GP"	"Ferrari"	"6"	"5"	""
"1993"	"1993 Japanese F1 GP"	"Ferrari"	"5"	"DNF"	"Engine"
"1993"	"1993 Portuguese F1 GP"	"Ferrari"	"8"	"DNF"	"Accident"
"1993"	"1993 Italian F1 GP"	"Ferrari"	"6"	"DNF"	"Suspension"
"1993"	"1993 Belgian F1 GP"	"Ferrari"	"16"	"10"	"Collision"
"1993"	"1993 Hungarian F1 GP"	"Ferrari"	"6"	"3"	""
"1993"	"1993 German F1 GP"	"Ferrari"	"9"	"6"	""
"1993"	"1993 British F1 GP"	"Ferrari"	"13"	"DNF"	"Suspension"
"1993"	"1993 French F1 GP"	"Ferrari"	"14"	"14"	""
