"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"2013"	"2013 Brazilian F1 GP"	"Caterham"	"20"	"18"	""
"2013"	"2013 USA F1 GP"	"Caterham"	"18"	"19"	""
"2013"	"2013 Abu Dhabi F1 GP"	"Caterham"	"18"	"18"	""
"2013"	"2013 Indian F1 GP"	"Caterham"	"20"	"DNF"	"Accident damage"
"2013"	"2013 Japanese F1 GP"	"Caterham"	"19"	"DNF"	"Collision"
"2013"	"2013 Korean F1 GP"	"Caterham"	"20"	"15"	""
"2013"	"2013 Singapore F1 GP"	"Caterham"	"20"	"16"	""
"2013"	"2013 Italian F1 GP"	"Caterham"	"19"	"18"	""
"2013"	"2013 Belgian F1 GP"	"Caterham"	"14"	"16"	""
"2013"	"2013 Hungarian F1 GP"	"Caterham"	"20"	"14"	""
"2013"	"2013 German F1 GP"	"Caterham"	"20"	"18"	""
"2013"	"2013 British F1 GP"	"Caterham"	"20"	"18"	""
"2013"	"2013 Canadian F1 GP"	"Caterham"	"21"	"DNF"	"Collision"
"2013"	"2013 Monaco F1 GP"	"Caterham"	"15"	"15"	""
"2013"	"2013 Spanish F1 GP"	"Caterham"	"18"	"DNF"	"Lost wheel"
"2013"	"2013 Bahrain F1 GP"	"Caterham"	"20"	"21"	""
"2013"	"2013 Chinese F1 GP"	"Caterham"	"21"	"18"	""
"2013"	"2013 Malaysian F1 GP"	"Caterham"	"22"	"15"	""
"2013"	"2013 Australian F1 GP"	"Caterham"	"21"	"18"	""
