"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1982"	"1982 Belgian F1 GP"	"Ferrari"	"0"	"DNS"	"Fatal Accident"
"1982"	"1982 San Marino F1 GP"	"Ferrari"	"3"	"2"	""
"1982"	"1982 USA West F1 GP"	"Ferrari"	"7"	"DSQ"	"Illegal Rear Wing"
"1982"	"1982 Brazilian F1 GP"	"Ferrari"	"2"	"DNF"	"Spun Off"
"1982"	"1982 South African F1 GP"	"Ferrari"	"3"	"DNF"	"Turbo"
"1981"	"1981 Caesars Palace F1 GP"	"Ferrari"	"3"	"DSQ"	"Disqualified"
"1981"	"1981 Canadian F1 GP"	"Ferrari"	"11"	"3"	""
"1981"	"1981 Italian F1 GP"	"Ferrari"	"9"	"DNF"	"Engine"
"1981"	"1981 Dutch F1 GP"	"Ferrari"	"16"	"DNF"	"Collision"
"1981"	"1981 Austrian F1 GP"	"Ferrari"	"3"	"DNF"	"Accident"
"1981"	"1981 German F1 GP"	"Ferrari"	"8"	"10"	""
"1981"	"1981 British F1 GP"	"Ferrari"	"8"	"DNF"	"spun Off"
"1981"	"1981 French F1 GP"	"Ferrari"	"11"	"DNF"	"Electrical"
"1981"	"1981 Spanish F1 GP"	"Ferrari"	"7"	"1"	""
"1981"	"1981 Monaco F1 GP"	"Ferrari"	"2"	"1"	""
"1981"	"1981 Belgian F1 GP"	"Ferrari"	"7"	"4"	""
"1981"	"1981 San Marino F1 GP"	"Ferrari"	"1"	"7"	""
"1981"	"1981 Argentine F1 GP"	"Ferrari"	"7"	"DNF"	"Transmission"
"1981"	"1981 Brazilian F1 GP"	"Ferrari"	"7"	"DNF"	"Turbo"
"1981"	"1981 USA West F1 GP"	"Ferrari"	"5"	"DNF"	"Halfshaft"
"1980"	"1980 USA F1 GP"	"Ferrari"	"18"	"DNF"	"Accident"
"1980"	"1980 Canadian F1 GP"	"Ferrari"	"22"	"5"	""
"1980"	"1980 Italian F1 GP"	"Ferrari"	"8"	"DNF"	"Puncture"
"1980"	"1980 Dutch F1 GP"	"Ferrari"	"7"	"7"	""
"1980"	"1980 Austrian F1 GP"	"Ferrari"	"15"	"8"	""
"1980"	"1980 German F1 GP"	"Ferrari"	"16"	"6"	""
"1980"	"1980 British F1 GP"	"Ferrari"	"19"	"DNF"	"Engine"
"1980"	"1980 French F1 GP"	"Ferrari"	"17"	"8"	""
"1980"	"1980 Monaco F1 GP"	"Ferrari"	"6"	"5"	""
"1980"	"1980 Belgian F1 GP"	"Ferrari"	"12"	"6"	""
