"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1961"	"1961 French F1 GP"	"De Tomaso"	"26"	"DNF"	"Engine"
"1960"	"1960 Italian F1 GP"	"Cooper-Climax"	"5"	"DNF"	"Engine"
"1960"	"1960 Monaco F1 GP"	"Cooper-Climax"	"0"	"DNQ"	"No Time"
"1960"	"1960 Argentine F1 GP"	"Maserati"	"18"	"DNF"	"Overheating"
"1959"	"1959 Italian F1 GP"	"Cooper-Climax"	"12"	"12"	""
"1959"	"1959 French F1 GP"	"Maserati"	"21"	"8"	""
"1959"	"1959 Monaco F1 GP"	"Maserati"	"0"	"DNQ"	"No Time"
"1958"	"1958 Dutch F1 GP"	"Maserati"	"16"	"DNF"	"Halfshaft"
"1958"	"1958 Monaco F1 GP"	"Maserati"	"14"	"DNF"	"Engine"
"1957"	"1957 talian F1 GP"	"Maserati"	"12"	"5"	""
"1957"	"1957 Pescara F1 GP"	"Maserati"	"10"	"6"	""
"1957"	"1957 German F1 GP"	"Maserati"	"13"	"10"	""
"1957"	"1957 Monaco F1 GP"	"Maserati"	"14"	"DNF"	"Oil Leak"
"1956"	"1956 German F1 GP"	"Ferrari"	"17"	"DNF"	"Engine"
"1956"	"1956 Monaco F1 GP"	"Ferrari"	"0"	"DNQ"	"No Time"
