"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1996"	"1996 Japanese F1 GP"	"Minardi"	"20"	"DNQ"	"DNQ"
"1996"	"1996 Portuguese F1 GP"	"Minardi"	"20"	"15"	""
"1996"	"1996 Italian F1 GP"	"Minardi"	"20"	"DNF"	"Engine"
"1996"	"1996 Belgian F1 GP"	"Minardi"	"0"	"DNQ"	"DNQ"
"1996"	"1996 Hungarian F1 GP"	"Minardi"	"20"	"10"	"Spun off"
"1996"	"1996 German F1 GP"	"Minardi"	"0"	"DNQ"	"DNQ"
"1995"	"1995 Italian F1 GP"	"Pacific"	"24"	"DNF"	"Spun off"
"1995"	"1995 Belgian F1 GP"	"Pacific"	"23"	"DNF"	"Gearbox"
"1995"	"1995 Hungarian F1 GP"	"Pacific"	"24"	"DNF"	"Spun off"
"1995"	"1995 German F1 GP"	"Pacific"	"24"	"DNF"	"Gearbox"
